sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone12,1",high,776914985.0,0.32177175,0.688397006,604058332.0,0.350206541,0.097041161,84986
0,1,"iPhone12,1",high,698771394.0,0.293055625,0.599140015,645748064.0,0.374391208,0.103517321,83202
0,2,"iPhone12,1",high,805262688.0,0.335195833,0.70539628,584608120.0,0.338793708,0.093622861,86136
0,3,"iPhone12,1",high,857282760.0,0.355538875,0.758011134,526595865.0,0.30575875,0.084230156,86652
0,4,"iPhone12,1",high,838462354.0,0.344593708,0.76037498,545528204.0,0.316295875,0.087335554,86352
0,5,"iPhone12,1",high,625914494.0,0.262145083,0.54126221,683364491.0,0.395905583,0.109669966,81038
1,0,"iPhone12,1",high,654661808.0,0.31325025,0.400316274,741749242.0,0.429249958,0.118381475,68560
1,1,"iPhone12,1",high,718638085.0,0.344270916,0.438754541,689982817.0,0.399291875,0.110322463,66296
1,2,"iPhone12,1",high,516847493.0,0.248555666,0.313211268,822835785.0,0.476174166,0.131540235,61840
1,3,"iPhone12,1",high,686049758.0,0.329808458,0.417008891,712541909.0,0.412347666,0.113837126,73986
1,4,"iPhone12,1",high,553237696.0,0.26837625,0.331305127,807978283.0,0.467576166,0.129140301,62704
1,5,"iPhone12,1",high,762089226.0,0.363174791,0.468096752,653847724.0,0.37838225,0.104573561,67502
2,0,"iPhone12,1",high,702396682.0,0.346089416,0.411977653,213264191.0,0.123423833,0.034152551,59988
2,1,"iPhone12,1",high,641170744.0,0.319721833,0.36893556,246330660.0,0.142550708,0.039522048,55804
2,2,"iPhone12,1",high,627152287.0,0.314300583,0.357822243,252062268.0,0.145867583,0.040387035,50594
2,3,"iPhone12,1",high,684906812.0,0.343710333,0.39014819,209044946.0,0.12097375,0.033575203,54858
2,4,"iPhone12,1",high,688335324.0,0.34105,0.400263722,216857554.0,0.125495041,0.034779182,58844
2,5,"iPhone12,1",high,715179249.0,0.356069666,0.412614586,206940778.0,0.119756416,0.033117464,60082
3,0,"iPhone12,1",high,643462579.0,0.32386875,0.365234614,215041070.0,0.1244435,0.034523577,50786
3,1,"iPhone12,1",high,692018687.0,0.339814833,0.407878826,197902746.0,0.114526125,0.031776032,56846
3,2,"iPhone12,1",high,603913111.0,0.295361,0.358428401,301914584.0,0.174716916,0.048473395,50960
3,3,"iPhone12,1",high,763025829.0,0.375235375,0.449206926,148232143.0,0.085781625,0.023715352,56414
3,4,"iPhone12,1",high,617870113.0,0.308028,0.355993821,248027045.0,0.143532916,0.039823017,50812
3,5,"iPhone12,1",high,677025713.0,0.336340416,0.392044953,200482078.0,0.116018916,0.032134281,53960
4,0,"iPhone12,1",high,795198876.0,0.392971375,0.464531263,382789560.0,0.221519708,0.061592723,68204
4,1,"iPhone12,1",high,775038713.0,0.381342708,0.455989341,413828383.0,0.239542666,0.066518169,69878
4,2,"iPhone12,1",high,547612565.0,0.277036208,0.308339798,577653923.0,0.334287166,0.092842062,71866
4,3,"iPhone12,1",high,718310581.0,0.352750416,0.423693453,442035212.0,0.255804541,0.071075613,63706
4,4,"iPhone12,1",high,668290418.0,0.334234583,0.38320922,491772010.0,0.2846295,0.079103517,69396
4,5,"iPhone12,1",high,652499900.0,0.32619925,0.37445322,490829498.0,0.284108125,0.078957168,66080
5,0,"iPhone12,1",high,663108369.0,0.327043333,0.388585243,680711049.0,0.393926208,0.109261881,64552
