sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone12,1",high,2548298538.0,0.982624541,2.693582637,27279315.0,0.023515666,0.002811459,174348
1,0,"iPhone12,1",high,2678525335.0,1.006823166,2.915902989,68147.0,5.375e-05,6.125e-06,165756
2,0,"iPhone12,1",high,2700536035.0,1.013927083,2.941975885,13241.0,2.2958e-05,4.98e-07,174296
3,0,"iPhone12,1",high,2769483783.0,1.04051275,3.027773439,11895.0,2.0625e-05,4.74e-07,174100
4,0,"iPhone12,1",high,2814353810.0,1.056783958,3.06789123,7181.0,1.2458e-05,5.84e-07,182066
5,0,"iPhone12,1",high,2737571700.0,1.027855875,2.998570272,0.0,0.0,0.0,169538
6,0,"iPhone12,1",high,2836139593.0,1.064845083,3.099279438,17947.0,3.1125e-05,6.71e-07,184592
7,0,"iPhone12,1",high,2731765307.0,1.025701833,2.995684901,0.0,0.0,0.0,167512
8,0,"iPhone12,1",high,2775314098.0,1.05566125,2.962820924,27228.0,2.3666e-05,1.634e-06,182308
9,0,"iPhone12,1",high,2704534636.0,1.018578041,2.954165673,0.0,0.0,0.0,166714
10,0,"iPhone12,1",high,2792684864.0,1.048553625,3.072288636,98290.0,0.000151375,7.491e-06,182494
11,0,"iPhone12,1",high,2751957225.0,1.033268291,3.025710306,20280.0,3.5125e-05,7.98e-07,168676
12,0,"iPhone12,1",high,2806168332.0,1.054419041,3.085703377,12954.0,2.25e-05,4.98e-07,184150
13,0,"iPhone12,1",high,2841381404.0,1.0668515,3.126161438,0.0,0.0,0.0,170848
14,0,"iPhone12,1",high,2744197768.0,1.030389208,3.025769552,18070.0,3.1375e-05,7.3e-07,183178
15,0,"iPhone12,1",high,2668251888.0,1.00187025,2.941271428,13661.0,2.3666e-05,5.07e-07,163168
16,0,"iPhone12,1",high,2667160523.0,1.002262166,2.936340012,15123.0,2.6291e-05,6.13e-07,175816
17,0,"iPhone12,1",high,2690437852.0,1.010110291,2.970177798,0.0,0.0,0.0,168054
18,0,"iPhone12,1",high,2731833958.0,1.0256265,3.01634496,0.0,0.0,0.0,173690
19,0,"iPhone12,1",high,2752706223.0,1.033461166,3.039131474,13989.0,2.4291e-05,5.36e-07,175174
20,0,"iPhone12,1",high,2671670621.0,1.00383175,2.945448971,0.0,0.0,0.0,161970
21,0,"iPhone12,1",high,2672989160.0,1.003574708,2.953325443,0.0,0.0,0.0,179768
22,0,"iPhone12,1",high,2674868253.0,1.00424375,2.95519268,18966.0,3.2958e-05,7.73e-07,164072
23,0,"iPhone12,1",high,2735088050.0,1.028012125,3.014758265,154009.0,0.000130708,1.8049e-05,179502
24,0,"iPhone12,1",high,2803635440.0,1.053464166,3.084313708,103260.0,8.8166e-05,1.1621e-05,171578
25,0,"iPhone12,1",high,2782119428.0,1.044983166,3.059195447,23870.0,4.15e-05,1.012e-06,183170
26,0,"iPhone12,1",high,2700970049.0,1.015003833,2.96985628,8347.0,1.4541e-05,3.9e-07,165642
27,0,"iPhone12,1",high,2759471400.0,1.036517416,3.034113707,15250.0,2.6458e-05,6.39e-07,181046
28,0,"iPhone12,1",high,2689618449.0,1.011170875,2.966926535,40652.0,5.0208e-05,2.355e-06,166428
29,0,"iPhone12,1",high,2807162281.0,1.054676041,3.104108532,13928.0,2.4125e-05,5.97e-07,182370
30,0,"iPhone12,1",high,2694924373.0,1.012363041,2.975751163,19229.0,3.3333e-05,7.58e-07,167214
31,0,"iPhone12,1",high,2664328920.0,1.00104625,2.936378773,10430.0,1.8083e-05,4.22e-07,167000
32,0,"iPhone12,1",high,2685953378.0,1.008580375,2.970090392,0.0,0.0,0.0,175596
33,0,"iPhone12,1",high,2674368519.0,1.004445041,2.954612844,43273.0,7.5083e-05,1.747e-06,163014
34,0,"iPhone12,1",high,2738347559.0,1.029421708,3.016462269,23247.0,4.0416e-05,1.577e-06,181276
35,0,"iPhone12,1",high,2754013619.0,1.034804625,3.039922767,31495.0,5.4583e-05,1.386e-06,167860
36,0,"iPhone12,1",high,2790062135.0,1.048693708,3.080535984,19722.0,3.425e-05,1.245e-06,184010
37,0,"iPhone12,1",high,2693943299.0,1.012421791,2.972350645,18982.0,3.3e-05,7.87e-07,164874
38,0,"iPhone12,1",high,2788793716.0,1.047806625,3.072263893,20645.0,3.5833e-05,8.83e-07,183350
39,0,"iPhone12,1",high,2763135182.0,1.038907708,3.041840027,28204.0,4.9e-05,1.194e-06,168150
40,0,"iPhone12,1",high,2703114022.0,1.01558775,2.971424205,18091.0,3.1375e-05,7.22e-07,178312
41,0,"iPhone12,1",high,2803841541.0,1.052814833,3.079848407,13526.0,2.3416e-05,5.46e-07,170796
42,0,"iPhone12,1",high,2658960881.0,0.99962225,2.922660728,36150.0,6.2791e-05,1.381e-06,173864
43,0,"iPhone12,1",high,2734393211.0,1.02676325,3.018901111,22265.0,3.8583e-05,2.466e-06,170574
44,0,"iPhone12,1",high,2756923689.0,1.035186625,3.030023369,21690.0,3.7666e-05,1.25e-06,175610
45,0,"iPhone12,1",high,2677233787.0,1.005197458,2.940932186,65095.0,7.0166e-05,7.056e-06,169944
46,0,"iPhone12,1",high,2721070122.0,1.022444041,2.982981238,0.0,0.0,0.0,164028
47,0,"iPhone12,1",high,2707472255.0,1.016549583,2.97326994,12359.0,2.15e-05,5.03e-07,180614
48,0,"iPhone12,1",high,2840264708.0,1.066415666,3.130936864,15818.0,2.7416e-05,1.393e-06,169878
49,0,"iPhone12,1",high,2748095388.0,1.031799041,3.03227286,0.0,0.0,0.0,182978
