sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone12,1",low,11025123.0,0.012120333,0.002876562,866656553.0,0.517079541,0.13065792,43524
0,1,"iPhone12,1",low,11914637.0,0.0130885,0.003111091,871467570.0,0.517170916,0.132398468,43782
0,2,"iPhone12,1",low,19361637.0,0.021256958,0.005062934,844121144.0,0.500396916,0.128497443,43740
0,3,"iPhone12,1",low,7199047.0,0.00792675,0.00187563,860584823.0,0.50936625,0.131281126,43848
0,4,"iPhone12,1",low,17355329.0,0.019030583,0.004534273,841242644.0,0.501152375,0.127282526,43962
0,5,"iPhone12,1",low,596315.0,0.000653791,0.000152887,872929653.0,0.516884333,0.133171294,44178
1,0,"iPhone12,1",low,0.0,0.0,0.0,965021902.0,0.575064333,0.145758695,46226
1,1,"iPhone12,1",low,0.0,0.0,0.0,955200762.0,0.573479958,0.143020742,45998
1,2,"iPhone12,1",low,0.0,0.0,0.0,956325072.0,0.568647125,0.14496075,45892
1,3,"iPhone12,1",low,0.0,0.0,0.0,950485684.0,0.573103083,0.141341103,45768
1,4,"iPhone12,1",low,0.0,0.0,0.0,965301384.0,0.580168958,0.144185506,46136
1,5,"iPhone12,1",low,0.0,0.0,0.0,959783447.0,0.576839291,0.143336468,46034
2,0,"iPhone12,1",low,0.0,0.0,0.0,730935985.0,0.440180833,0.108823523,37420
2,1,"iPhone12,1",low,0.0,0.0,0.0,735299788.0,0.439526083,0.110703784,37578
2,2,"iPhone12,1",low,0.0,0.0,0.0,722162782.0,0.434999,0.107348192,36804
2,3,"iPhone12,1",low,0.0,0.0,0.0,757173037.0,0.451184916,0.114359334,38258
2,4,"iPhone12,1",low,0.0,0.0,0.0,748874546.0,0.45014725,0.111717146,37988
2,5,"iPhone12,1",low,0.0,0.0,0.0,742695751.0,0.447862583,0.110343904,37806
3,0,"iPhone12,1",low,0.0,0.0,0.0,1015437182.0,0.611161875,0.1513559,46226
3,1,"iPhone12,1",low,0.0,0.0,0.0,1025882330.0,0.611432375,0.155028926,46834
3,2,"iPhone12,1",low,0.0,0.0,0.0,1018956739.0,0.610070375,0.152953882,46276
3,3,"iPhone12,1",low,0.0,0.0,0.0,1022661781.0,0.611319375,0.153848857,46580
3,4,"iPhone12,1",low,0.0,0.0,0.0,999099463.0,0.598553375,0.149837529,45516
3,5,"iPhone12,1",low,0.0,0.0,0.0,1015449543.0,0.61048125,0.151572483,46178
4,0,"iPhone12,1",low,0.0,0.0,0.0,1079483891.0,0.649203041,0.161018401,49068
4,1,"iPhone12,1",low,0.0,0.0,0.0,1100762046.0,0.664227166,0.163586776,50034
4,2,"iPhone12,1",low,0.0,0.0,0.0,1081065053.0,0.653655416,0.160106093,49074
4,3,"iPhone12,1",low,0.0,0.0,0.0,1076096903.0,0.647699375,0.160241386,48860
4,4,"iPhone12,1",low,0.0,0.0,0.0,1085550973.0,0.653006791,0.161995646,49304
4,5,"iPhone12,1",low,0.0,0.0,0.0,1068350603.0,0.644398791,0.158810798,48590
