sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone12,1",low,1197033098.0,0.905829458,0.450561395,213591469.0,0.123620041,0.033268535,91484
1,0,"iPhone12,1",low,1738101145.0,1.037697458,0.767417482,4586428.0,0.002658708,0.00054564,105754
2,0,"iPhone12,1",low,1819213802.0,1.018083541,0.849606092,0.0,0.0,0.0,124470
3,0,"iPhone12,1",low,1837507658.0,1.042833041,0.848647539,0.0,0.0,0.0,114246
4,0,"iPhone12,1",low,1853559545.0,1.007466458,0.878600889,16327.0,1.4166e-05,8.79e-07,110500
5,0,"iPhone12,1",low,1897569509.0,1.020216208,0.905691779,0.0,0.0,0.0,127906
6,0,"iPhone12,1",low,1972188948.0,1.060334625,0.942616296,11307.0,1.9625e-05,4.53e-07,118230
7,0,"iPhone12,1",low,1937085787.0,1.052373041,0.921944495,19741.0,3.4333e-05,7.87e-07,128316
8,0,"iPhone12,1",low,1816782709.0,1.017826791,0.848721231,0.0,0.0,0.0,113630
9,0,"iPhone12,1",low,1642359064.0,1.00319225,0.715549988,4611558.0,0.002797583,0.000504949,102888
10,0,"iPhone12,1",low,1948296405.0,1.058418041,0.929997548,70898.0,0.000123041,4.008e-06,122854
11,0,"iPhone12,1",low,1895421780.0,1.064148875,0.883690704,23707.0,4.1125e-05,8.86e-07,122632
12,0,"iPhone12,1",low,1924878436.0,1.056657666,0.90803693,25887.0,4.4958e-05,1.043e-06,113830
13,0,"iPhone12,1",low,1959987627.0,1.053773916,0.936306812,40818.0,7.0916e-05,1.739e-06,131796
14,0,"iPhone12,1",low,1909623815.0,1.026695958,0.912468758,0.0,0.0,0.0,114210
15,0,"iPhone12,1",low,1888096365.0,1.015121833,0.908226194,18817.0,3.2625e-05,7.34e-07,125070
16,0,"iPhone12,1",low,1740474644.0,1.016034625,0.787293374,22206.0,1.5416e-05,1.376e-06,110860
17,0,"iPhone12,1",low,1829853198.0,1.004112333,0.867426084,0.0,0.0,0.0,111788
18,0,"iPhone12,1",low,1622469106.0,1.001852666,0.696820738,71699.0,4.1458e-05,9.226e-06,101592
19,0,"iPhone12,1",low,1844418153.0,0.999458666,0.877357912,3118020.0,0.001818041,0.000471067,117970
20,0,"iPhone12,1",low,1841091703.0,1.004337291,0.871656878,14186.0,2.4625e-05,5.12e-07,119344
21,0,"iPhone12,1",low,1860840930.0,1.000467958,0.889698194,20000.0,3.475e-05,7.14e-07,112294
22,0,"iPhone12,1",low,1815858215.0,0.990718333,0.860285536,4272313.0,0.002494333,0.000639584,110402
23,0,"iPhone12,1",low,1782249619.0,1.002265791,0.825613452,115995.0,0.000140708,6.786e-06,121822
24,0,"iPhone12,1",low,1864614594.0,1.002497375,0.892389585,30496.0,5.2916e-05,1.145e-06,114188
25,0,"iPhone12,1",low,1860042433.0,1.000038791,0.890542225,55329.0,9.6166e-05,1.983e-06,110382
26,0,"iPhone12,1",low,1766073328.0,1.000574666,0.813095519,206206.0,0.00019275,1.6184e-05,121000
27,0,"iPhone12,1",low,1826130661.0,1.000474666,0.862702849,148936.0,0.000204375,9.179e-06,114028
28,0,"iPhone12,1",low,1859490326.0,1.003395833,0.888794389,14080.0,2.4416e-05,4.75e-07,111318
29,0,"iPhone12,1",low,1745198216.0,0.997455958,0.798104726,320068.0,0.000276916,3.0111e-05,110524
30,0,"iPhone12,1",low,1757228429.0,1.003306708,0.803789997,120590.0,9.1958e-05,1.0269e-05,117376
31,0,"iPhone12,1",low,1847153090.0,1.003990333,0.875883986,12985.0,2.25e-05,4.56e-07,113710
32,0,"iPhone12,1",low,1676683880.0,1.002786083,0.748044892,29242.0,5.0833e-05,1.902e-06,103972
33,0,"iPhone12,1",low,763298499.0,0.806965125,0.206043516,327483208.0,0.189530291,0.051309438,57748
34,0,"iPhone12,1",low,1705689303.0,1.006092208,0.771885048,59354506.0,0.034419208,0.009288526,119380
35,0,"iPhone12,1",low,1929834292.0,1.041185708,0.922728314,25100.0,4.3583e-05,1.026e-06,119596
36,0,"iPhone12,1",low,1880474294.0,1.011023,0.900766735,17086.0,2.9666e-05,8.94e-07,111274
37,0,"iPhone12,1",low,1870829662.0,1.005837708,0.895012347,26315.0,2.2458e-05,1.594e-06,127764
38,0,"iPhone12,1",low,1972048318.0,1.060259125,0.945539839,21203.0,3.6875e-05,8.86e-07,117690
39,0,"iPhone12,1",low,1868805563.0,1.004749375,0.896056766,0.0,0.0,0.0,123732
40,0,"iPhone12,1",low,1919838547.0,1.032186708,0.921685123,0.0,0.0,0.0,119264
41,0,"iPhone12,1",low,1964004379.0,1.055932166,0.939889257,0.0,0.0,0.0,121800
42,0,"iPhone12,1",low,1868131349.0,1.00438675,0.894630044,0.0,0.0,0.0,121750
43,0,"iPhone12,1",low,1864901155.0,1.002655416,0.892793581,27478.0,4.0541e-05,5.85e-07,112036
44,0,"iPhone12,1",low,1866885424.0,1.003716875,0.892449522,0.0,0.0,5.84e-07,121148
45,0,"iPhone12,1",low,1862887986.0,1.001567666,0.888989925,14974.0,2.6e-05,0.0,118168
46,0,"iPhone12,1",low,1866158290.0,1.003325791,0.892492705,21051.0,3.6541e-05,2.406e-06,111742
47,0,"iPhone12,1",low,1864724755.0,1.002555208,0.891974218,29631.0,5.1375e-05,6.57e-07,122496
48,0,"iPhone12,1",low,1859873805.0,1.003552458,0.887333447,18262.0,3.1708e-05,1.494e-06,117026
49,0,"iPhone12,1",low,1861634123.0,1.004512,0.887872323,0.0,0.0,0.0,111270
