sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPad14,1",high,706193760.0,0.281647958,0.672937389,997173860.0,0.494629833,0.103135459,147296
0,1,"iPad14,1",high,1004322512.0,0.402305958,0.94720503,758767393.0,0.37636475,0.078459716,183402
0,2,"iPad14,1",high,861404317.0,0.347651083,0.809779502,882266039.0,0.437622958,0.091113447,171490
0,3,"iPad14,1",high,766319595.0,0.310181125,0.716196141,946875589.0,0.46966875,0.097835378,157020
0,4,"iPad14,1",high,752336601.0,0.302784458,0.707124825,954922958.0,0.473660541,0.098808059,150268
0,5,"iPad14,1",high,806745547.0,0.3199865,0.771079448,901134073.0,0.446979416,0.093160455,164368
1,0,"iPad14,1",high,661088331.0,0.290904916,0.557825941,978947386.0,0.485578291,0.101103773,143378
1,1,"iPad14,1",high,753453360.0,0.330099166,0.640627113,879684252.0,0.436340458,0.090892517,147162
1,2,"iPad14,1",high,674956777.0,0.296321958,0.573406225,947610674.0,0.470034166,0.097933259,127674
1,3,"iPad14,1",high,824769387.0,0.362500458,0.699085011,825979841.0,0.409701583,0.085244736,156432
1,4,"iPad14,1",high,787178091.0,0.344126541,0.671819362,855101884.0,0.424147666,0.088389001,149542
1,5,"iPad14,1",high,714385230.0,0.312797166,0.608659651,896400266.0,0.444640583,0.092559412,133810
2,0,"iPad14,1",high,715159001.0,0.321085625,0.586180907,944804209.0,0.468639541,0.097663632,146338
2,1,"iPad14,1",high,789082666.0,0.355278208,0.642949586,883167968.0,0.438068291,0.091156917,151048
2,2,"iPad14,1",high,798376842.0,0.359754166,0.650633737,847770405.0,0.420508291,0.08759441,155586
2,3,"iPad14,1",high,732821197.0,0.328629625,0.599961763,947938358.0,0.470197416,0.097894163,142710
2,4,"iPad14,1",high,779010983.0,0.35029625,0.636053928,893207319.0,0.4430475,0.092426678,152626
2,5,"iPad14,1",high,727083044.0,0.326075541,0.596416055,950558385.0,0.471496458,0.09825524,147914
3,0,"iPad14,1",high,671200849.0,0.304417208,0.541819817,678062064.0,0.336330125,0.06998388,125850
3,1,"iPad14,1",high,705805457.0,0.319916166,0.570159259,652541180.0,0.3236725,0.067425957,121076
3,2,"iPad14,1",high,764090911.0,0.346657041,0.617702531,586228039.0,0.2907795,0.060588521,135376
3,3,"iPad14,1",high,719036020.0,0.326207791,0.580544817,624370324.0,0.309699416,0.064543475,131608
3,4,"iPad14,1",high,788729886.0,0.357406041,0.638225798,558021785.0,0.276786833,0.057514701,139076
3,5,"iPad14,1",high,689018550.0,0.312615875,0.556613644,637233703.0,0.316079416,0.06585152,133296
4,0,"iPad14,1",high,780589481.0,0.363672583,0.622951223,256304098.0,0.12713075,0.026551887,120154
4,1,"iPad14,1",high,778509687.0,0.363667791,0.619634357,267414253.0,0.13264225,0.026983944,127414
4,2,"iPad14,1",high,738433048.0,0.346457541,0.586641129,308914486.0,0.153227416,0.031993779,113018
4,3,"iPad14,1",high,717712064.0,0.335374833,0.571605692,299375977.0,0.148495791,0.031036545,108024
4,4,"iPad14,1",high,678211561.0,0.317223208,0.53891942,348300914.0,0.172764541,0.03610527,105978
4,5,"iPad14,1",high,754687512.0,0.350953333,0.602795936,304108691.0,0.150842916,0.031552122,113002
5,0,"iPad14,1",high,716804264.0,0.341302375,0.564081274,158676586.0,0.078706416,0.01640282,104208
5,1,"iPad14,1",high,690001000.0,0.327813958,0.544004569,197423329.0,0.097925291,0.021086291,103162
5,2,"iPad14,1",high,706546453.0,0.335189083,0.55664241,165871734.0,0.082275208,0.017216721,111362
5,3,"iPad14,1",high,724313370.0,0.3440035,0.570619279,182946515.0,0.090745208,0.018944328,111060
5,4,"iPad14,1",high,633023518.0,0.300492458,0.498135221,253319048.0,0.125651125,0.026279664,99568
5,5,"iPad14,1",high,755094131.0,0.356865541,0.598118365,136019908.0,0.067469166,0.014071497,105806
6,0,"iPad14,1",high,672759675.0,0.318509708,0.530433316,525642280.0,0.260867708,0.054490356,111016
6,1,"iPad14,1",high,697522866.0,0.330060291,0.54974558,484085425.0,0.240430708,0.050197385,112610
6,2,"iPad14,1",high,736011371.0,0.348868875,0.580283512,460691774.0,0.228672041,0.047708182,122134
6,3,"iPad14,1",high,613990162.0,0.29087825,0.482777182,572558470.0,0.28432525,0.059314642,117998
6,4,"iPad14,1",high,691376354.0,0.327196291,0.544237825,447151542.0,0.221978541,0.046312945,125658
6,5,"iPad14,1",high,748662284.0,0.355524583,0.588061684,459346221.0,0.228184625,0.047578935,134102
7,0,"iPad14,1",high,778992118.0,0.368827041,0.613320136,363089580.0,0.180418416,0.037668396,133950
7,1,"iPad14,1",high,759582058.0,0.3606795,0.596114074,377830485.0,0.187850875,0.039056449,131258
7,2,"iPad14,1",high,636566619.0,0.302849708,0.499565854,499889078.0,0.248424833,0.05186508,107656
7,3,"iPad14,1",high,729100478.0,0.345068708,0.573947885,427926316.0,0.212599458,0.044367522,116034
7,4,"iPad14,1",high,672755148.0,0.319211583,0.528447624,489864293.0,0.24334125,0.050825268,113992
