sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPad14,1",high,2928208781.0,1.017459625,3.314724177,39323122.0,0.031540875,0.003114638,409586
1,0,"iPad14,1",high,2991466951.0,1.0175055,3.511185593,23770.0,2.2875e-05,1.038e-06,413200
2,0,"iPad14,1",high,2943270951.0,1.002945791,3.514033398,15773.0,2.6333e-05,6.29e-07,402736
3,0,"iPad14,1",high,2940504684.0,1.000157791,3.505660808,0.0,0.0,0.0,402226
4,0,"iPad14,1",high,2972807183.0,1.011144666,3.552702028,0.0,0.0,0.0,405570
5,0,"iPad14,1",high,2976939167.0,1.041194958,3.355717219,0.0,0.0,0.0,405250
6,0,"iPad14,1",high,3016901199.0,1.061454416,3.352538655,0.0,0.0,0.0,407840
7,0,"iPad14,1",high,2923141313.0,1.002068125,3.445413633,0.0,0.0,0.0,400008
8,0,"iPad14,1",high,2909562883.0,1.002906416,3.389536416,0.0,0.0,0.0,398882
9,0,"iPad14,1",high,2860991698.0,1.005044375,3.190849913,0.0,0.0,0.0,394924
10,0,"iPad14,1",high,2885564344.0,1.000919583,3.312501115,22886.0,1.1416e-05,1.772e-06,396510
11,0,"iPad14,1",high,2877424469.0,1.001224875,3.280988903,9808.0,1.6416e-05,3.34e-07,395440
12,0,"iPad14,1",high,2879544836.0,1.004725291,3.263220167,0.0,0.0,0.0,395014
13,0,"iPad14,1",high,2913625061.0,1.018134458,3.289831356,0.0,0.0,0.0,398794
14,0,"iPad14,1",high,3045438617.0,1.066704625,3.419987272,0.0,0.0,0.0,412976
15,0,"iPad14,1",high,2896555345.0,1.015691833,3.243768009,0.0,0.0,0.0,397564
16,0,"iPad14,1",high,2942485119.0,1.031721791,3.295922575,0.0,0.0,0.0,401878
17,0,"iPad14,1",high,2871216986.0,1.009768166,3.193941341,10727.0,1.7875e-05,3.55e-07,394918
18,0,"iPad14,1",high,3034361746.0,1.06581175,3.384537923,11053.0,1.8541e-05,3.44e-07,410124
19,0,"iPad14,1",high,3010301645.0,1.059398291,3.342379742,0.0,0.0,0.0,411460
20,0,"iPad14,1",high,2908656967.0,1.025279166,3.215905459,0.0,0.0,0.0,394196
21,0,"iPad14,1",high,2895081020.0,1.018434416,3.217225683,0.0,0.0,0.0,397902
22,0,"iPad14,1",high,2913312193.0,1.030229958,3.195558025,0.0,0.0,0.0,399172
23,0,"iPad14,1",high,2839392446.0,1.005658875,3.102460604,0.0,0.0,0.0,393010
24,0,"iPad14,1",high,2850075305.0,1.006327958,3.138510163,9567.0,1.5958e-05,3.32e-07,392972
25,0,"iPad14,1",high,2942569893.0,1.041175333,3.224053428,0.0,0.0,0.0,401938
26,0,"iPad14,1",high,2826667678.0,1.030752333,2.89583228,7625.0,1.2708e-05,2.91e-07,388500
27,0,"iPad14,1",high,2799912061.0,1.023258625,2.854173622,0.0,0.0,0.0,374276
28,0,"iPad14,1",high,2875378158.0,1.017700416,3.144689059,8428.0,1.4e-05,2.83e-07,396022
29,0,"iPad14,1",high,2934273061.0,1.0667555,3.018142552,10171.0,1.6958e-05,3.08e-07,400964
30,0,"iPad14,1",high,2794344355.0,1.016352541,2.863274804,0.0,0.0,0.0,388254
31,0,"iPad14,1",high,2919851666.0,1.036128041,3.173243851,8123.0,1.3541e-05,2.59e-07,399712
32,0,"iPad14,1",high,2922400487.0,1.066343708,2.992977846,0.0,0.0,0.0,399970
33,0,"iPad14,1",high,2994861430.0,1.062332208,3.257142579,0.0,0.0,0.0,406960
34,0,"iPad14,1",high,2794236353.0,1.01601,2.876255303,0.0,0.0,0.0,386164
35,0,"iPad14,1",high,2897530093.0,1.012298375,3.265716595,8441.0,1.4166e-05,3.11e-07,396100
36,0,"iPad14,1",high,3011456150.0,1.054446416,3.381242063,9641.0,1.6083e-05,3.5e-07,411044
37,0,"iPad14,1",high,3014379184.0,1.0587565,3.36018762,0.0,0.0,0.0,408556
38,0,"iPad14,1",high,2847920525.0,1.001594583,3.163961026,8259.0,1.375e-05,3.12e-07,392716
39,0,"iPad14,1",high,2843041990.0,1.002144583,3.146084413,18592.0,9.208e-06,1.422e-06,390288
40,0,"iPad14,1",high,2824792423.0,1.002052625,3.073298019,10700.0,5.333e-06,6.06e-07,375504
41,0,"iPad14,1",high,2729702698.0,1.0032225,2.772343896,0.0,0.0,0.0,383302
42,0,"iPad14,1",high,2804645233.0,1.002268875,2.993753955,0.0,0.0,0.0,383656
43,0,"iPad14,1",high,2728397661.0,1.003141791,2.768282816,0.0,0.0,0.0,371398
44,0,"iPad14,1",high,2803581126.0,1.003435416,2.984355406,0.0,0.0,0.0,386752
45,0,"iPad14,1",high,2824545894.0,1.00190625,3.069667432,0.0,0.0,0.0,375128
46,0,"iPad14,1",high,2858169620.0,1.002378833,3.196114554,8261.0,1.3791e-05,3.04e-07,394916
47,0,"iPad14,1",high,2791191201.0,1.001598,2.966835416,0.0,0.0,0.0,387816
48,0,"iPad14,1",high,2780850593.0,1.000406416,2.940009363,0.0,0.0,0.0,376918
49,0,"iPad14,1",high,2860833137.0,1.003700416,3.192308826,18048.0,3.0041e-05,6.14e-07,387162
