sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPad14,1",low,1008413589.0,0.372726916,1.043882883,459672552.0,0.234020166,0.047470049,172316
0,1,"iPad14,1",low,937019931.0,0.344851375,0.965748146,521853149.0,0.265506291,0.053877862,164304
0,2,"iPad14,1",low,759232405.0,0.279950583,0.787369121,603082751.0,0.304228916,0.062427733,141200
0,3,"iPad14,1",low,932787248.0,0.3456465,0.958231659,509292238.0,0.25385775,0.052863232,162142
0,4,"iPad14,1",low,869896808.0,0.32282375,0.895008603,586090707.0,0.2918275,0.060867082,149390
0,5,"iPad14,1",low,854207362.0,0.315859166,0.882210926,572903508.0,0.284418875,0.059555319,147842
1,0,"iPad14,1",low,875562546.0,0.373069125,0.797494832,378749881.0,0.188122208,0.03939644,130110
1,1,"iPad14,1",low,855175937.0,0.360814,0.783253594,402852060.0,0.199940375,0.041934849,131302
1,2,"iPad14,1",low,794613550.0,0.328835708,0.73225888,469163740.0,0.232972458,0.048859148,137246
1,3,"iPad14,1",low,759704262.0,0.324231791,0.692082277,446349237.0,0.221590541,0.046448183,126058
1,4,"iPad14,1",low,661081721.0,0.283146916,0.600373366,524098253.0,0.2601995,0.054503937,127800
1,5,"iPad14,1",low,699880249.0,0.294641666,0.638990148,519622096.0,0.257985791,0.054053053,131330
2,0,"iPad14,1",low,482260788.0,0.360486666,0.298737271,513877621.0,0.255148166,0.053531482,92936
2,1,"iPad14,1",low,516195612.0,0.3872985,0.320704532,462447786.0,0.229734541,0.048196897,96536
2,2,"iPad14,1",low,395542897.0,0.298504291,0.243784113,662593797.0,0.329176291,0.069040091,86492
2,3,"iPad14,1",low,520353067.0,0.384800958,0.323597917,487741564.0,0.242240083,0.050738261,97192
2,4,"iPad14,1",low,465625745.0,0.34893025,0.287978905,562645389.0,0.279378708,0.058585041,92046
2,5,"iPad14,1",low,423723550.0,0.316129458,0.263003683,618180206.0,0.307142833,0.064377374,89140
3,0,"iPad14,1",low,456398256.0,0.347774958,0.278411266,535002092.0,0.265646416,0.055748222,93770
3,1,"iPad14,1",low,463065261.0,0.351932291,0.282039317,528731662.0,0.262585666,0.054956357,93960
3,2,"iPad14,1",low,434765248.0,0.33118,0.264960668,572943655.0,0.284502416,0.059682007,81740
3,3,"iPad14,1",low,488399297.0,0.3715525,0.298120794,487706778.0,0.242114375,0.050795572,93474
3,4,"iPad14,1",low,405506113.0,0.305057916,0.248592573,623731196.0,0.309735875,0.064905197,78344
3,5,"iPad14,1",low,415492787.0,0.319125666,0.253528892,608567157.0,0.302227291,0.063405711,79278
4,0,"iPad14,1",low,461747437.0,0.3519595,0.280327874,434545350.0,0.215990833,0.045239734,89026
4,1,"iPad14,1",low,419216084.0,0.315419958,0.255677668,520588949.0,0.258685958,0.054275072,85774
4,2,"iPad14,1",low,444217127.0,0.336430625,0.270551355,470560881.0,0.233742791,0.048949718,90460
4,3,"iPad14,1",low,450481308.0,0.347956791,0.272368849,445840986.0,0.221466958,0.046368578,80084
4,4,"iPad14,1",low,395788544.0,0.29650525,0.24164222,524155080.0,0.260387208,0.054524741,87950
4,5,"iPad14,1",low,455337727.0,0.342894166,0.278038408,460932848.0,0.228923583,0.047943571,91342
5,0,"iPad14,1",low,403870900.0,0.313466958,0.244596388,681662422.0,0.338347458,0.071026969,89620
5,1,"iPad14,1",low,417752660.0,0.322979041,0.251993486,675717226.0,0.335316166,0.070389122,87458
5,2,"iPad14,1",low,427955439.0,0.333241083,0.258118319,618530251.0,0.306951041,0.064422143,92808
5,3,"iPad14,1",low,428970920.0,0.335884166,0.258188868,646336907.0,0.320785208,0.067307405,87616
5,4,"iPad14,1",low,482233595.0,0.371662666,0.293099905,569198284.0,0.282515041,0.05925705,96318
5,5,"iPad14,1",low,452351773.0,0.345834416,0.274995949,604719097.0,0.30007275,0.062980148,94836
6,0,"iPad14,1",low,433751245.0,0.345942083,0.25818028,683714425.0,0.339135875,0.071227088,92328
6,1,"iPad14,1",low,386894062.0,0.304671291,0.231569947,812029885.0,0.40279725,0.084535303,88760
6,2,"iPad14,1",low,486832187.0,0.388273291,0.29062202,669860270.0,0.332337083,0.069728685,100372
6,3,"iPad14,1",low,394185855.0,0.312510458,0.23651658,772584066.0,0.383216625,0.080484969,96004
6,4,"iPad14,1",low,424641652.0,0.334193333,0.254951029,740026516.0,0.367113625,0.07703497,96462
6,5,"iPad14,1",low,377779702.0,0.301357375,0.226078589,797646594.0,0.395699041,0.083033768,93848
7,0,"iPad14,1",low,435145027.0,0.339895791,0.261585722,911560827.0,0.452201916,0.094961879,108146
7,1,"iPad14,1",low,396871395.0,0.317652041,0.236225262,936135162.0,0.464341208,0.097507917,101298
7,2,"iPad14,1",low,479575932.0,0.376889,0.288035077,833612198.0,0.413536708,0.086881518,106232
7,3,"iPad14,1",low,484401382.0,0.381931333,0.290620737,826912513.0,0.410223708,0.085817197,105058
7,4,"iPad14,1",low,408873360.0,0.329079875,0.243234055,904946530.0,0.448897833,0.094253158,101850
7,5,"iPad14,1",low,467773195.0,0.372887375,0.280186215,855766292.0,0.424476458,0.089126753,106180
8,0,"iPad14,1",low,426456129.0,0.326832166,0.260811834,487223031.0,0.242058875,0.050715802,76216
8,1,"iPad14,1",low,493296813.0,0.373225375,0.301817222,394277660.0,0.195846083,0.041029058,92624
8,2,"iPad14,1",low,445183855.0,0.335879208,0.272656625,473324370.0,0.234995583,0.04924904,87478
8,3,"iPad14,1",low,474084263.0,0.358476708,0.290716192,423440409.0,0.210269,0.044362562,91768
8,4,"iPad14,1",low,477398169.0,0.358340708,0.29413839,417453737.0,0.20728925,0.043385647,85522
8,5,"iPad14,1",low,474114703.0,0.35831775,0.291735663,435966500.0,0.216487666,0.045248472,88392
9,0,"iPad14,1",low,445054015.0,0.322494666,0.27799363,333901131.0,0.166214875,0.034647814,84794
9,1,"iPad14,1",low,494534418.0,0.359202,0.306866482,277516307.0,0.13824725,0.028824938,86878
9,2,"iPad14,1",low,412492881.0,0.299940125,0.257029405,353482728.0,0.175940333,0.036726306,68458
9,3,"iPad14,1",low,512110584.0,0.372008083,0.318729522,236589183.0,0.117963333,0.024599842,85994
9,4,"iPad14,1",low,420014609.0,0.305000875,0.264086272,360421845.0,0.179775375,0.037358517,73364
9,5,"iPad14,1",low,489594584.0,0.355205666,0.304906596,267819418.0,0.133582,0.027810423,72972
10,0,"iPad14,1",low,492139665.0,0.360265958,0.305618688,408669573.0,0.203171083,0.042536924,87666
10,1,"iPad14,1",low,422634080.0,0.31054675,0.263146426,495186921.0,0.246136125,0.05153551,78048
10,2,"iPad14,1",low,424966499.0,0.308742375,0.264188786,524788700.0,0.260911416,0.054614242,89812
10,3,"iPad14,1",low,431275221.0,0.314504041,0.268089975,484491569.0,0.240889625,0.05044762,73366
10,4,"iPad14,1",low,439630182.0,0.321174625,0.273750394,483515871.0,0.240421833,0.050342919,88432
10,5,"iPad14,1",low,508620730.0,0.374091333,0.314322961,390100857.0,0.193977958,0.040598343,93532
11,0,"iPad14,1",low,484502589.0,0.378462,0.293075915,691889804.0,0.3432085,0.072082697,102112
11,1,"iPad14,1",low,403484182.0,0.321948708,0.240827647,797661217.0,0.395710916,0.083111605,91314
11,2,"iPad14,1",low,398869367.0,0.318671333,0.237739164,818822256.0,0.406201833,0.085350567,96998
11,3,"iPad14,1",low,401865610.0,0.314395958,0.241377977,803395630.0,0.398508875,0.083633759,97742
11,4,"iPad14,1",low,487622058.0,0.388146333,0.29117186,666901305.0,0.330847291,0.069469509,100630
11,5,"iPad14,1",low,337025240.0,0.265641791,0.203621178,902015575.0,0.447417083,0.094028372,94426
12,0,"iPad14,1",low,403509911.0,0.320833083,0.240952717,887235786.0,0.440094916,0.092409833,100598
