sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPad14,1",low,1338099472.0,0.970974375,0.790213359,38862329.0,0.031946166,0.003027248,191077
1,0,"iPad14,1",low,1460062713.0,1.057999625,0.866503343,0.0,0.0,0.0,199854
2,0,"iPad14,1",low,1405108262.0,1.018187583,0.832308711,0.0,0.0,0.0,194734
3,0,"iPad14,1",low,1410047986.0,1.021767458,0.835804677,8521.0,1.4208e-05,4.52e-07,194610
4,0,"iPad14,1",low,1400872364.0,1.015117916,0.830788943,0.0,0.0,0.0,192062
5,0,"iPad14,1",low,1415790733.0,1.025928083,0.839900887,27443.0,4.5791e-05,1.133e-06,191812
6,0,"iPad14,1",low,1414748229.0,1.025172875,0.839697204,36725.0,6.1333e-05,1.291e-06,184518
7,0,"iPad14,1",low,1418543171.0,1.027928416,0.843187744,26586.0,1.3166e-05,1.942e-06,196422
8,0,"iPad14,1",low,1416811481.0,1.026672833,0.843710294,11493.0,1.9166e-05,4.05e-07,196246
9,0,"iPad14,1",low,1417431807.0,1.027109541,0.844606762,14079.0,2.225e-05,3.32e-07,195980
10,0,"iPad14,1",low,1452155983.0,1.052268208,0.865406671,87216.0,4.3291e-05,8.245e-06,199182
11,0,"iPad14,1",low,1400058690.0,1.014517166,0.834333267,9180.0,1.5333e-05,3.14e-07,193738
12,0,"iPad14,1",low,1384438850.0,1.003199083,0.82513146,16615.0,2.7666e-05,6.72e-07,189594
13,0,"iPad14,1",low,1383975866.0,1.002862916,0.825173579,0.0,0.0,0.0,178940
14,0,"iPad14,1",low,1383214114.0,1.002311041,0.824410347,12472.0,2.0791e-05,4.43e-07,193782
15,0,"iPad14,1",low,1382707014.0,1.0019435,0.823952226,8233.0,1.375e-05,3.03e-07,193054
16,0,"iPad14,1",low,1382761814.0,1.001983333,0.823964193,0.0,0.0,0.0,191430
17,0,"iPad14,1",low,1380622629.0,1.000518291,0.820955814,204978.0,0.000192791,1.2559e-05,186644
18,0,"iPad14,1",low,1383104098.0,1.0022385,0.821742165,48345.0,8.0541e-05,1.88e-06,182430
19,0,"iPad14,1",low,1378160247.0,0.998757208,0.819887318,1631364.0,0.000829791,0.000156606,192992
20,0,"iPad14,1",low,1379169885.0,0.999960375,0.821628496,215071.0,0.000106916,1.7105e-05,191366
21,0,"iPad14,1",low,1396132403.0,1.012047708,0.834310511,9934048.0,0.004929125,0.001007239,191672
22,0,"iPad14,1",low,1384421946.0,1.003651791,0.830151018,2794799.0,0.001386208,0.000259081,180718
23,0,"iPad14,1",low,1382025015.0,1.002241583,0.828919755,614287.0,0.000304791,5.6713e-05,190692
24,0,"iPad14,1",low,1380172352.0,1.000814458,0.826106334,164390.0,8.1666e-05,1.1043e-05,192348
25,0,"iPad14,1",low,1382190858.0,1.001820958,0.829595025,199327.0,9.8916e-05,1.7399e-05,191390
26,0,"iPad14,1",low,1384122625.0,1.002978541,0.828928129,18803.0,3.1333e-05,8.28e-07,187954
27,0,"iPad14,1",low,1385391387.0,1.003887166,0.829145999,0.0,0.0,0.0,181746
28,0,"iPad14,1",low,1383847675.0,1.002768541,0.826836521,12983.0,2.1625e-05,4.8e-07,193692
29,0,"iPad14,1",low,1253166323.0,0.9080935,0.747928585,35547665.0,0.026023625,0.003195486,176528
30,0,"iPad14,1",low,0.0,0.0,0.0,485249645.0,0.780402875,0.025047498,21530
31,0,"iPad14,1",low,0.0,0.0,0.0,43950006.0,0.072608583,0.002224189,1458
32,0,"iPad14,1",low,0.0,0.0,0.0,158156845.0,0.141772875,0.012939283,4732
33,0,"iPad14,1",low,702556880.0,0.509209416,0.410459885,631009511.0,0.314389083,0.064652074,131652
34,0,"iPad14,1",low,428770864.0,0.310747791,0.251228429,1212945964.0,0.602066208,0.124989616,113050
35,0,"iPad14,1",low,472205191.0,0.342223375,0.276729574,1155011142.0,0.573484375,0.118986288,120656
36,0,"iPad14,1",low,896678032.0,0.649890791,0.531169512,591982853.0,0.294990375,0.060637597,147544
37,0,"iPad14,1",low,1404425617.0,1.017910166,0.837891289,34872357.0,0.018724416,0.003387601,187728
38,0,"iPad14,1",low,1361694825.0,0.987212166,0.808211812,64615391.0,0.032976291,0.006209728,190684
39,0,"iPad14,1",low,1414496301.0,1.025785791,0.846602204,2419262.0,0.001200791,0.000201793,194900
40,0,"iPad14,1",low,1446782231.0,1.048483416,0.865658698,652130.0,0.000334125,5.4646e-05,198120
41,0,"iPad14,1",low,1395656436.0,1.0113435,0.832832566,10289.0,1.7166e-05,3.65e-07,191086
42,0,"iPad14,1",low,1420799073.0,1.029556041,0.846358043,21555.0,3.5833e-05,6.92e-07,191820
43,0,"iPad14,1",low,1383136985.0,1.0022645,0.823430538,9251.0,1.5375e-05,3.23e-07,183522
44,0,"iPad14,1",low,1407083395.0,1.019616875,0.837352606,19827.0,3.3e-05,7.15e-07,195452
45,0,"iPad14,1",low,1407449965.0,1.0198765,0.838066686,10824.0,1.8041e-05,3.64e-07,194980
46,0,"iPad14,1",low,1394337831.0,1.010376125,0.826735604,10457.0,1.7416e-05,3.76e-07,192056
47,0,"iPad14,1",low,1427282421.0,1.034254625,0.84320494,27796.0,4.625e-05,9.76e-07,193550
48,0,"iPad14,1",low,1429508715.0,1.03586775,0.844362638,27229.0,4.5375e-05,9.56e-07,192164
49,0,"iPad14,1",low,1459312435.0,1.057464833,0.861143687,7530.0,1.2541e-05,2.66e-07,195798
