sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone12,8",high,891711027.0,0.352783208,0.859722818,1033534930.0,0.603892375,0.153306506,112264
0,1,"iPhone12,8",high,946086075.0,0.368550666,0.933741851,1005368522.0,0.587550625,0.148960535,115748
0,2,"iPhone12,8",high,893809599.0,0.349520291,0.878399249,1027900578.0,0.600526166,0.152261802,111940
0,3,"iPhone12,8",high,822948983.0,0.321722666,0.811743778,1081037211.0,0.625871083,0.160715915,107012
0,4,"iPhone12,8",high,679262320.0,0.267936958,0.660129631,1166104006.0,0.674989416,0.173482329,97910
0,5,"iPhone12,8",high,868742726.0,0.340304625,0.85542293,1043460783.0,0.603937125,0.155132651,110078
1,0,"iPhone12,8",high,1084617617.0,0.418443583,1.106359053,984269220.0,0.569600541,0.148011979,116020
1,1,"iPhone12,8",high,716450668.0,0.276405291,0.73128882,1201030938.0,0.695032833,0.180650975,99934
1,2,"iPhone12,8",high,801922313.0,0.30937975,0.818909459,1156334672.0,0.669166041,0.17383618,105352
1,3,"iPhone12,8",high,872356406.0,0.336553625,0.890250714,1102743087.0,0.638155208,0.165902339,110194
1,4,"iPhone12,8",high,889283579.0,0.343083875,0.907185363,1100173855.0,0.636667375,0.165523464,112012
1,5,"iPhone12,8",high,960933471.0,0.370726416,0.981439767,1062790967.0,0.615033208,0.159869238,113064
2,0,"iPhone12,8",high,786652861.0,0.303489,0.809863801,1139110296.0,0.659199291,0.172444078,101372
2,1,"iPhone12,8",high,946595839.0,0.365194791,0.974553416,1020574837.0,0.590604666,0.154510376,107910
2,2,"iPhone12,8",high,820930393.0,0.316717416,0.845441688,1115033835.0,0.645265916,0.168775256,103414
2,3,"iPhone12,8",high,1081393976.0,0.417199625,1.114113842,955894538.0,0.553179708,0.144671006,112516
2,4,"iPhone12,8",high,806127870.0,0.3110025,0.83100246,1138654257.0,0.658935125,0.17242095,105646
2,5,"iPhone12,8",high,801823081.0,0.309341583,0.825085054,1122037529.0,0.64932,0.16983424,101890
3,0,"iPhone12,8",high,812754129.0,0.313558625,0.842548678,1139631525.0,0.659510875,0.173345227,102702
3,1,"iPhone12,8",high,909285277.0,0.350799916,0.944886193,1096943653.0,0.63479725,0.166940761,106900
3,2,"iPhone12,8",high,1015602070.0,0.391816708,1.05469894,1029335708.0,0.59567125,0.156560149,110614
3,3,"iPhone12,8",high,961838621.0,0.37107475,0.998168583,1070957063.0,0.619758125,0.16295602,107256
3,4,"iPhone12,8",high,1070794726.0,0.413110083,1.111864,996450532.0,0.576709333,0.151669925,114012
3,5,"iPhone12,8",high,665022604.0,0.256564,0.689947266,1262607498.0,0.730672458,0.192137273,99466
4,0,"iPhone12,8",high,813858044.0,0.313983708,0.850365336,1190686790.0,0.689045875,0.182195866,104338
4,1,"iPhone12,8",high,873118520.0,0.336846208,0.912528984,1171350815.0,0.677854458,0.179138831,106378
4,2,"iPhone12,8",high,1051862394.0,0.405807916,1.099606049,1046574355.0,0.605646875,0.160231173,110036
4,3,"iPhone12,8",high,900448791.0,0.347389833,0.942106328,1118096254.0,0.6470425,0.171171384,105200
4,4,"iPhone12,8",high,747046492.0,0.288208041,0.780808471,1239595405.0,0.717347916,0.189664803,102998
4,5,"iPhone12,8",high,1102029752.0,0.425159458,1.152820817,1027023725.0,0.594333916,0.157144065,113362
5,0,"iPhone12,8",high,893961685.0,0.344886166,0.940448363,1083290515.0,0.626893625,0.166647842,103784
5,1,"iPhone12,8",high,782173715.0,0.301759291,0.822197336,1167258149.0,0.675484791,0.179300822,101738
5,2,"iPhone12,8",high,845056529.0,0.326019166,0.889039763,1115351129.0,0.645446208,0.171441829,102496
5,3,"iPhone12,8",high,966834196.0,0.373000541,1.015988959,1040346454.0,0.602040916,0.160118187,105100
5,4,"iPhone12,8",high,790318226.0,0.304901,0.831025505,1160978499.0,0.671850625,0.178540421,102052
5,5,"iPhone12,8",high,1035736850.0,0.399586625,1.089801467,1000615749.0,0.579049375,0.153942632,106982
6,0,"iPhone12,8",high,884942773.0,0.341406083,0.9356669,904783545.0,0.523591791,0.139720177,97956
6,1,"iPhone12,8",high,785364961.0,0.30298925,0.830497661,944001767.0,0.546284166,0.14579357,94542
6,2,"iPhone12,8",high,943495795.0,0.363995041,0.998521437,833382831.0,0.482273625,0.128845397,98478
6,3,"iPhone12,8",high,937701611.0,0.361759791,0.991944913,838171351.0,0.485042541,0.129375646,98394
6,4,"iPhone12,8",high,1001594662.0,0.386409875,1.059118979,798251348.0,0.461942583,0.12325177,99672
6,5,"iPhone12,8",high,776846237.0,0.299703208,0.821481203,936456357.0,0.541928041,0.144670842,94860
7,0,"iPhone12,8",high,1079409711.0,0.416429166,1.147868036,837582024.0,0.484698291,0.130310717,103930
7,1,"iPhone12,8",high,967779386.0,0.37336275,1.029086585,916882677.0,0.53059175,0.142696542,102076
7,2,"iPhone12,8",high,891728064.0,0.344022625,0.948882074,921757689.0,0.533419291,0.143405545,98902
7,3,"iPhone12,8",high,813610801.0,0.313885666,0.865108684,985932152.0,0.57054925,0.153294724,97646
7,4,"iPhone12,8",high,898896489.0,0.346792666,0.955724551,944544661.0,0.54659825,0.146827873,99728
7,5,"iPhone12,8",high,857896857.0,0.330970958,0.913255561,964619476.0,0.558217,0.150036885,98618
8,0,"iPhone12,8",high,958135303.0,0.369641083,1.024544787,791337968.0,0.457938333,0.124461773,98080
8,1,"iPhone12,8",high,809339375.0,0.312236666,0.866337446,919064248.0,0.531851833,0.14447474,94756
8,2,"iPhone12,8",high,771162931.0,0.297508458,0.824945883,949833675.0,0.549658208,0.149177388,94730
8,3,"iPhone12,8",high,980147522.0,0.378133166,1.047815621,804156318.0,0.465354958,0.126337026,99358
8,4,"iPhone12,8",high,917287465.0,0.353882416,0.981770016,849945790.0,0.491853041,0.133624893,97626
8,5,"iPhone12,8",high,828729194.0,0.319717291,0.887031474,911698440.0,0.527589125,0.143345705,95806
9,0,"iPhone12,8",high,1047664425.0,0.405679666,1.113507245,1118302767.0,0.647146333,0.175737204,115230
9,1,"iPhone12,8",high,1307672429.0,0.507459875,1.385780922,930078002.0,0.538248791,0.146179705,117074
9,2,"iPhone12,8",high,448196817.0,0.174720083,0.469114459,1496077136.0,0.865758458,0.235061264,97566
