sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone12,1",high,2640738358.0,1.017549541,2.753953383,27489287.0,0.02351025,0.002689134,179740
1,0,"iPhone12,1",high,2741157417.0,1.02938975,2.931155369,2434142.0,0.001408625,0.000353335,166440
2,0,"iPhone12,1",high,2668370384.0,1.002537541,2.851921512,24751.0,2.5708e-05,1.558e-06,177560
3,0,"iPhone12,1",high,2788904058.0,1.047560875,2.980218615,311271.0,0.000201666,4.1506e-05,169970
4,0,"iPhone12,1",high,2680291395.0,1.006770583,2.864666977,5908277.0,0.003453083,0.000858701,176360
5,0,"iPhone12,1",high,2811890534.0,1.0562195,3.005341484,5107437.0,0.002982333,0.000738757,172606
6,0,"iPhone12,1",high,2700584895.0,1.014114,2.886595305,894083.0,0.000517416,0.000128338,176632
7,0,"iPhone12,1",high,2719548443.0,1.021086791,2.914140697,0.0,0.0,0.0,169152
8,0,"iPhone12,1",high,2734503759.0,1.026819583,2.922020884,7532422.0,0.004358958,0.001104696,174296
9,0,"iPhone12,1",high,2687031419.0,1.008886708,2.880012808,120002.0,0.000136458,1.2471e-05,171012
10,0,"iPhone12,1",high,2661388226.0,0.999283875,2.851826242,2346408.0,0.001357791,0.000337853,162064
11,0,"iPhone12,1",high,2690738598.0,1.010350291,2.877517152,10530.0,1.8291e-05,4.65e-07,178300
12,0,"iPhone12,1",high,2673598966.0,1.003947,2.861346026,186148.0,0.00010775,2.4091e-05,165318
13,0,"iPhone12,1",high,2816173384.0,1.057325166,3.022873036,241959.0,0.000140041,3.1858e-05,182148
14,0,"iPhone12,1",high,2801720666.0,1.051962375,3.001755866,572643.0,0.000331375,8.1392e-05,171344
15,0,"iPhone12,1",high,2771190442.0,1.040502625,2.976330001,422939.0,0.000274875,5.8107e-05,182070
16,0,"iPhone12,1",high,2708422203.0,1.016951083,2.902845716,109134.0,9.9833e-05,1.1241e-05,166368
17,0,"iPhone12,1",high,2766383749.0,1.040635625,2.960258576,324259.0,0.000215166,3.3961e-05,179642
18,0,"iPhone12,1",high,2810172226.0,1.05509675,3.013893412,323601.0,0.000217458,4.399e-05,171900
19,0,"iPhone12,1",high,2839584317.0,1.066143083,3.044980453,18804.0,3.2666e-05,1.086e-06,185668
20,0,"iPhone12,1",high,2717945314.0,1.020447291,2.920582341,39975.0,5.2291e-05,2.184e-06,165430
21,0,"iPhone12,1",high,2835405665.0,1.064536125,3.051359655,0.0,0.0,0.0,185738
22,0,"iPhone12,1",high,2780701848.0,1.044111625,2.988673358,1709133.0,0.001021458,0.000240209,167528
23,0,"iPhone12,1",high,2769261137.0,1.039737958,2.972762088,247823.0,0.000165875,3.2212e-05,183690
24,0,"iPhone12,1",high,2721505407.0,1.021782666,2.932333542,50902.0,6.7375e-05,3.834e-06,164846
25,0,"iPhone12,1",high,2840336453.0,1.066387666,3.050229288,24909.0,4.3291e-05,1.06e-06,186740
26,0,"iPhone12,1",high,2833656132.0,1.063902791,3.045965203,26239.0,1.5208e-05,2.005e-06,175080
27,0,"iPhone12,1",high,2707944496.0,1.016705583,2.921473808,0.0,0.0,0.0,175470
28,0,"iPhone12,1",high,2800922123.0,1.051670833,3.021888789,14514.0,8.416e-06,1.155e-06,168940
29,0,"iPhone12,1",high,2806585650.0,1.053760166,3.029136485,84114.0,7e-05,8.436e-06,184630
30,0,"iPhone12,1",high,2798959552.0,1.050895166,3.018008761,118896.0,9.0666e-05,1.4367e-05,178058
31,0,"iPhone12,1",high,2806367089.0,1.053637625,3.027204458,67045.0,5.175e-05,6.168e-06,175146
32,0,"iPhone12,1",high,2829045221.0,1.062128916,3.041888876,6741362.0,0.003922958,0.000986592,183572
33,0,"iPhone12,1",high,2753693609.0,1.0338985,2.973551241,12622.0,2.1916e-05,5.53e-07,168710
34,0,"iPhone12,1",high,2665485113.0,1.000786833,2.867013933,139793.0,0.000116791,1.676e-05,172394
