sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone12,1",low,1813967326.0,1.032189416,0.796045712,4124445.0,0.002394166,0.000522051,126064
1,0,"iPhone12,1",low,1893018250.0,1.017726666,0.863758019,2118160.0,0.001238291,0.000299413,115044
2,0,"iPhone12,1",low,1922313955.0,1.033476583,0.877019463,39846.0,6.9208e-05,1.199e-06,125832
3,0,"iPhone12,1",low,1883171917.0,1.012432875,0.861011305,63457.0,5.1041e-05,8.191e-06,118244
4,0,"iPhone12,1",low,1580465107.0,1.007913208,0.644356552,8146868.0,0.0047145,0.001165534,100566
5,0,"iPhone12,1",low,1890876805.0,1.023842791,0.859284887,65897.0,3.8125e-05,6.106e-06,112232
6,0,"iPhone12,1",low,1943413351.0,1.04481975,0.886469474,69228.0,4.0083e-05,8.489e-06,132302
7,0,"iPhone12,1",low,1959732145.0,1.053617,0.894018821,2418989.0,0.001426,0.000343527,116000
8,0,"iPhone12,1",low,1966206449.0,1.057073625,0.897359408,14572.0,2.5291e-05,5.33e-07,132660
9,0,"iPhone12,1",low,1928461942.0,1.03829375,0.878860923,50309.0,6.3583e-05,3.498e-06,115260
10,0,"iPhone12,1",low,1931211786.0,1.043905958,0.87812174,239929.0,0.000212083,2.8699e-05,129438
11,0,"iPhone12,1",low,1955244595.0,1.051180208,0.892307191,14932.0,8.666e-06,1.02e-06,118192
12,0,"iPhone12,1",low,1864589308.0,1.002441458,0.849722759,594010.0,0.000389916,5.4094e-05,120934
13,0,"iPhone12,1",low,1863261313.0,1.001727791,0.851002297,1693433.0,0.000992625,0.000234581,119352
14,0,"iPhone12,1",low,1866943370.0,1.003707333,0.85227652,334706.0,0.00023475,4.2985e-05,112064
15,0,"iPhone12,1",low,1855764593.0,1.001305,0.844854499,75477.0,4.3708e-05,8.51e-06,123918
16,0,"iPhone12,1",low,1944663892.0,1.045491541,0.887575144,481343.0,0.000312125,6.5069e-05,120232
17,0,"iPhone12,1",low,1871048628.0,1.005914375,0.854018089,501093.0,0.00034275,6.6877e-05,110838
18,0,"iPhone12,1",low,1971188979.0,1.059751875,0.899881315,2637982.0,0.001526583,0.000374148,134296
19,0,"iPhone12,1",low,1952062741.0,1.049469083,0.890178374,57546.0,4.675e-05,5.762e-06,114796
20,0,"iPhone12,1",low,1920081534.0,1.035873875,0.874484236,3426532.0,0.001982875,0.000495617,131388
21,0,"iPhone12,1",low,1902469369.0,1.022806708,0.868297203,26656.0,4.625e-05,1.098e-06,114018
22,0,"iPhone12,1",low,1979034789.0,1.06396975,0.903693974,37701.0,5.8166e-05,2.771e-06,132012
23,0,"iPhone12,1",low,1966977269.0,1.061120208,0.89539805,11666.0,2.025e-05,4.55e-07,117748
24,0,"iPhone12,1",low,1984163206.0,1.066726875,0.905764769,19858.0,3.4416e-05,7.83e-07,132162
25,0,"iPhone12,1",low,1953991321.0,1.050505541,0.891570085,6809849.0,0.003940875,0.000974492,117452
26,0,"iPhone12,1",low,1923168828.0,1.033934875,0.877697154,188146.0,0.000108916,2.4777e-05,127976
27,0,"iPhone12,1",low,1875027541.0,1.008053166,0.856194544,0.0,0.0,0.0,115864
28,0,"iPhone12,1",low,1876682868.0,1.013145,0.854770171,0.0,0.0,0.0,111406
29,0,"iPhone12,1",low,1933060602.0,1.039252791,0.882831716,50142.0,2.9e-05,5.71e-06,132022
30,0,"iPhone12,1",low,1875518083.0,1.012502958,0.853934038,25590.0,4.4416e-05,1.069e-06,112770
31,0,"iPhone12,1",low,1940149962.0,1.043068041,0.88534802,373449.0,0.000230375,5.1035e-05,129070
32,0,"iPhone12,1",low,1910764201.0,1.027265625,0.872358991,61752.0,6.2458e-05,6.571e-06,116898
33,0,"iPhone12,1",low,1938208940.0,1.045635416,0.882887772,26983.0,4.6833e-05,1.264e-06,124474
34,0,"iPhone12,1",low,1891285661.0,1.016793666,0.863792298,36501.0,6.3375e-05,1.875e-06,120058
35,0,"iPhone12,1",low,1885368702.0,1.013612625,0.861150232,83821.0,5.8833e-05,8.307e-06,112500
36,0,"iPhone12,1",low,1858676271.0,1.002879916,0.846894404,32903.0,5.7125e-05,8.44e-07,125950
37,0,"iPhone12,1",low,1977251885.0,1.063010791,0.903337422,23406.0,2.4791e-05,1.888e-06,119652
38,0,"iPhone12,1",low,1977023959.0,1.06288825,0.902991152,72835.0,4.9083e-05,8.24e-06,130576
39,0,"iPhone12,1",low,1983056397.0,1.06613125,0.905611767,487296.0,0.000289458,6.6998e-05,119754
40,0,"iPhone12,1",low,1963018694.0,1.055364833,0.897387804,11265.0,1.9583e-05,4.69e-07,129898
41,0,"iPhone12,1",low,1898241471.0,1.024169666,0.865921298,23516.0,4.0875e-05,9.37e-07,116590
42,0,"iPhone12,1",low,1984087609.0,1.066685666,0.907427538,34348.0,5.7875e-05,2.065e-06,128306
43,0,"iPhone12,1",low,1911733988.0,1.027787,0.873895467,96712.0,6.4916e-05,1.172e-05,119404
44,0,"iPhone12,1",low,1941150331.0,1.047241125,0.884488188,7609963.0,0.004436458,0.001090884,118906
45,0,"iPhone12,1",low,1861419800.0,1.000736958,0.850228874,28263.0,4.9041e-05,1.022e-06,124152
46,0,"iPhone12,1",low,1847626380.0,1.000624666,0.841333232,0.0,0.0,0.0,112222
47,0,"iPhone12,1",low,1866153393.0,1.00328175,0.853002734,85511.0,6.5583e-05,9.404e-06,120906
48,0,"iPhone12,1",low,1862268150.0,1.001193041,0.850588049,62034.0,6.2e-05,4.796e-06,119402
49,0,"iPhone12,1",low,1854681882.0,1.000751541,0.845840888,50237.0,4.8208e-05,6.517e-06,111624
