sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone13,3",high,2946135960.0,1.012873666,3.099263976,34444485.0,0.02363075,0.002679629,413368
1,0,"iPhone13,3",high,3091175913.0,1.030681375,3.320720678,0.0,0.0,0.0,422422
2,0,"iPhone13,3",high,3166189158.0,1.055924208,3.392406402,5190113.0,0.002845375,0.000454586,434736
3,0,"iPhone13,3",high,3054018513.0,1.0183005,3.285489675,69880.0,3.825e-05,5.472e-06,414714
4,0,"iPhone13,3",high,3053205322.0,1.018687125,3.280653311,114849.0,6.3e-05,8.815e-06,410636
5,0,"iPhone13,3",high,3189705667.0,1.063779541,3.430094265,66389.0,4.5416e-05,4.447e-06,440958
6,0,"iPhone13,3",high,3189718276.0,1.063846041,3.45028495,228200.0,0.000125,1.8157e-05,438924
7,0,"iPhone13,3",high,3104811385.0,1.035489041,3.34616891,19214.0,2.0958e-05,7.24e-07,417592
8,0,"iPhone13,3",high,3058249788.0,1.019878833,3.301062574,3188521.0,0.001748041,0.000277168,423990
9,0,"iPhone13,3",high,3102331471.0,1.034681916,3.367539461,1862603.0,0.001038041,0.000162647,421020
10,0,"iPhone13,3",high,3167565632.0,1.056655333,3.440840536,2216981.0,0.001273333,0.000193574,437184
11,0,"iPhone13,3",high,3007539272.0,1.002983208,3.270388284,3374709.0,0.001850208,0.000296354,409436
12,0,"iPhone13,3",high,2997436333.0,0.999636958,3.25144741,3289024.0,0.001803083,0.000290532,406788
13,0,"iPhone13,3",high,3044335776.0,1.015298916,3.310736538,1229574.0,0.000694166,0.000105985,418038
14,0,"iPhone13,3",high,3178567432.0,1.060482083,3.45300587,69912.0,4.5541e-05,4.533e-06,432098
15,0,"iPhone13,3",high,3106485851.0,1.036020583,3.383399911,145030.0,7.95e-05,1.2132e-05,430154
16,0,"iPhone13,3",high,3177972452.0,1.059783875,3.46885137,146172.0,8.0125e-05,1.2171e-05,424922
17,0,"iPhone13,3",high,2995298727.0,0.998829166,3.262578057,0.0,0.0,0.0,416664
18,0,"iPhone13,3",high,3182416045.0,1.0612385,3.472201256,2285590.0,0.0012615,0.000200427,430042
19,0,"iPhone13,3",high,3100432164.0,1.035420625,3.380720362,1998054.0,0.001104791,0.000173827,430628
20,0,"iPhone13,3",high,2992501294.0,1.00294,3.265094904,45757.0,2.5041e-05,3.349e-06,407492
21,0,"iPhone13,3",high,3075102859.0,1.031386666,3.350461178,175425.0,0.0001375,1.2598e-05,412594
