model, mode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, primes
"iPhone14,2", high, 1364699906.0, 0.445893875, 1.50591578, 22374493.0, 0.013459833, 0.002012366, 9592
"iPhone14,2", high, 1371997558.0, 0.443812958, 1.519690811, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1372988587.0, 0.454154458, 1.480502615, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1373393571.0, 0.45761425, 1.475172353, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1373065312.0, 0.460914666, 1.438534277, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1371423952.0, 0.448872333, 1.508369048, 8567.0, 1.4375e-05, 2.65e-07, 9592
"iPhone14,2", high, 1371345990.0, 0.444584375, 1.506812644, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1372687035.0, 0.4543295, 1.484926332, 13606.0, 6.75e-06, 5.38e-07, 9592
"iPhone14,2", high, 1371180685.0, 0.450556916, 1.506136688, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1371084664.0, 0.450214666, 1.50466085, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1376710037.0, 0.460114041, 1.47459222, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1370477295.0, 0.47254225, 1.34523567, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1370871005.0, 0.470730875, 1.364287087, 7438.0, 8.333e-06, 3.4e-07, 9592
"iPhone14,2", high, 1372584762.0, 0.455456166, 1.464234781, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1375455610.0, 0.455483208, 1.498933682, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1369446318.0, 0.455899791, 1.448663893, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1374678771.0, 0.457374416, 1.483505397, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1376180266.0, 0.456905958, 1.490666108, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1374158444.0, 0.456868833, 1.487040613, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1376759748.0, 0.457329958, 1.452950735, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1373549826.0, 0.458375541, 1.467113681, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1376756784.0, 0.460573125, 1.452827109, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1372558798.0, 0.460441041, 1.441881736, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1372737493.0, 0.4608425, 1.438243867, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1376814274.0, 0.461947916, 1.43306024, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1372837669.0, 0.462007333, 1.461021437, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1377186894.0, 0.463440208, 1.420752298, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1374121149.0, 0.46158575, 1.433006026, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1376055490.0, 0.463222458, 1.419335558, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1372794742.0, 0.461870041, 1.457219096, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1388388625.0, 0.468552375, 1.397937541, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1373175761.0, 0.464004333, 1.431497845, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1375805746.0, 0.465236958, 1.396081068, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1373894448.0, 0.464245166, 1.431222512, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1375590486.0, 0.466640208, 1.378250635, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1372332650.0, 0.466444833, 1.399586449, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1372988173.0, 0.466064, 1.406170423, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1386559525.0, 0.470372916, 1.400463872, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1373585229.0, 0.467186041, 1.366126582, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1375493930.0, 0.467836375, 1.393653432, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1374261548.0, 0.4674155, 1.394520865, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1375336195.0, 0.467780958, 1.393569788, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1375185693.0, 0.471468958, 1.365112795, 15557.0, 2.6041e-05, 5.52e-07, 9592
"iPhone14,2", high, 1385137711.0, 0.493393666, 1.264353873, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1383576165.0, 0.491340333, 1.279080574, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1384286386.0, 0.491622625, 1.304385184, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1379680995.0, 0.489670291, 1.257219127, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1374791565.0, 0.488182166, 1.283786451, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1384133577.0, 0.489560833, 1.29303991, 0.0, 0.0, 0.0, 9592
"iPhone14,2", high, 1383453075.0, 0.490916958, 1.281481048, 0.0, 0.0, 0.0, 9592
