sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone14,2",low,421110787.0,0.329303541,0.202895638,1055790919.0,0.530175875,0.104105028,122494
0,1,"iPhone14,2",low,489764934.0,0.393892708,0.230420476,1090793882.0,0.547315291,0.107287479,132544
0,2,"iPhone14,2",low,396531284.0,0.318208666,0.186902063,1089688287.0,0.546458708,0.107405162,121246
0,3,"iPhone14,2",low,432187979.0,0.343701416,0.204602862,1015597423.0,0.504728208,0.100337146,122368
0,4,"iPhone14,2",low,401735267.0,0.311056083,0.193875518,1041837087.0,0.517709541,0.102964894,119206
0,5,"iPhone14,2",low,455800890.0,0.365733416,0.21438202,939772693.0,0.466167208,0.092916153,121712
1,0,"iPhone14,2",low,488542905.0,0.398132708,0.226918632,1308670210.0,0.649121458,0.1296787,124688
1,1,"iPhone14,2",low,387952902.0,0.313478416,0.182933269,1480277051.0,0.734240625,0.14668627,124958
1,2,"iPhone14,2",low,512071656.0,0.421342166,0.235407958,1273549758.0,0.63170125,0.126206671,126266
1,3,"iPhone14,2",low,203606840.0,0.166919083,0.094898792,1789670677.0,0.887705125,0.17733897,116282
1,4,"iPhone14,2",low,516574159.0,0.419105458,0.240210991,1275093722.0,0.632467,0.126299899,127912
1,5,"iPhone14,2",low,492766909.0,0.406539166,0.226104585,1307081057.0,0.648353708,0.128751569,125524
2,0,"iPhone14,2",low,452118721.0,0.367680166,0.212351189,1269213344.0,0.629559708,0.125746583,135036
2,1,"iPhone14,2",low,349310737.0,0.289041416,0.161259354,1397701757.0,0.693281916,0.138353302,123788
2,2,"iPhone14,2",low,519158239.0,0.428712833,0.24009945,1121283648.0,0.556174666,0.111035414,136200
2,3,"iPhone14,2",low,322807558.0,0.262763041,0.150651107,1447142459.0,0.717804208,0.143270199,110760
2,4,"iPhone14,2",low,391971159.0,0.323361791,0.180178535,1340000570.0,0.664661375,0.132710243,130690
2,5,"iPhone14,2",low,530322948.0,0.438266416,0.246963044,1102429450.0,0.546823125,0.109242125,136442
3,0,"iPhone14,2",low,389296964.0,0.329217125,0.179078503,1105246785.0,0.548292166,0.109260873,106786
3,1,"iPhone14,2",low,408327933.0,0.344496416,0.187568046,1091588783.0,0.54148725,0.107915915,108214
3,2,"iPhone14,2",low,350706498.0,0.292527875,0.162758106,1144662241.0,0.56779375,0.113169351,104506
3,3,"iPhone14,2",low,443472478.0,0.376053708,0.204320813,989508698.0,0.490885375,0.097838374,121930
3,4,"iPhone14,2",low,384816316.0,0.32509325,0.173917685,1136255123.0,0.563599125,0.112295689,108274
3,5,"iPhone14,2",low,451531428.0,0.374169375,0.210456431,1014090393.0,0.503102833,0.10092418,109018
4,0,"iPhone14,2",low,491264182.0,0.4129285,0.222611563,1042401648.0,0.517047833,0.103201199,121164
4,1,"iPhone14,2",low,359894864.0,0.300457625,0.163964608,1314711833.0,0.652136916,0.130151368,109668
4,2,"iPhone14,2",low,507509369.0,0.418254791,0.2337112,1036291532.0,0.514183625,0.102619856,121992
4,3,"iPhone14,2",low,302625822.0,0.257256833,0.135973391,1371910998.0,0.680534583,0.135808258,110832
4,4,"iPhone14,2",low,257279644.0,0.218018458,0.115716118,1428744394.0,0.708762583,0.141516157,105568
4,5,"iPhone14,2",low,516982344.0,0.437043791,0.233362252,1013465078.0,0.502694666,0.100324374,128680
5,0,"iPhone14,2",low,284593047.0,0.23280675,0.131895031,1548280333.0,0.767972041,0.153414508,120934
5,1,"iPhone14,2",low,498809975.0,0.404636125,0.23301189,1208130383.0,0.599252583,0.119684504,138162
5,2,"iPhone14,2",low,452273366.0,0.367493291,0.210766819,1277341014.0,0.63358125,0.126569395,127956
5,3,"iPhone14,2",low,342831890.0,0.278060333,0.160074429,1477306534.0,0.732767166,0.146363398,114716
5,4,"iPhone14,2",low,576960785.0,0.469635083,0.268659996,1078604983.0,0.535005083,0.106886741,139010
5,5,"iPhone14,2",low,337529422.0,0.277969041,0.155652376,1452698586.0,0.720560833,0.143953852,117252
6,0,"iPhone14,2",low,266333359.0,0.21606,0.12459075,1603658621.0,0.7954395,0.158886864,112558
6,1,"iPhone14,2",low,530186503.0,0.438484041,0.245041939,1117952439.0,0.554530625,0.110667424,132456
6,2,"iPhone14,2",low,453669847.0,0.373506333,0.211918716,1310857346.0,0.650205958,0.129486173,132244
6,3,"iPhone14,2",low,444411623.0,0.368864916,0.20468339,1252926529.0,0.621471083,0.124075049,133928
6,4,"iPhone14,2",low,494606424.0,0.401854,0.230732345,1222360757.0,0.6063095,0.121063305,121620
6,5,"iPhone14,2",low,395937096.0,0.324469416,0.184949906,1400775472.0,0.6948065,0.138722181,128274
7,0,"iPhone14,2",low,492733612.0,0.408801375,0.226207849,1167608911.0,0.57915275,0.11564883,133992
7,1,"iPhone14,2",low,426055904.0,0.359530083,0.192569734,1227994131.0,0.60912525,0.12159078,118172
7,2,"iPhone14,2",low,652396415.0,0.534678458,0.302365185,900264530.0,0.446551375,0.089541426,126726
7,3,"iPhone14,2",low,240445361.0,0.19698575,0.11146725,1603419836.0,0.795320666,0.158845411,110230
7,4,"iPhone14,2",low,195918190.0,0.164703125,0.088959155,1639073535.0,0.813006166,0.162319995,119890
7,5,"iPhone14,2",low,393454709.0,0.326761291,0.180281366,1328754507.0,0.659083083,0.13166866,120184
8,0,"iPhone14,2",low,352966124.0,0.287220791,0.164637099,1240238774.0,0.615177,0.122845933,109122
8,1,"iPhone14,2",low,561159478.0,0.457523458,0.261170634,932107783.0,0.46238175,0.092293516,125792
8,2,"iPhone14,2",low,653131829.0,0.542778625,0.299791296,727533965.0,0.360915708,0.072039506,134710
8,3,"iPhone14,2",low,244985853.0,0.20170025,0.113456997,1441712853.0,0.715171416,0.142842641,104434
8,4,"iPhone14,2",low,502147189.0,0.41279925,0.232222737,991800537.0,0.492090041,0.098262905,116222
8,5,"iPhone14,2",low,217899072.0,0.177835125,0.101467049,1474782459.0,0.731515166,0.145968441,103684
9,0,"iPhone14,2",low,468565724.0,0.377624916,0.224648139,638062464.0,0.316677583,0.063160421,97640
9,1,"iPhone14,2",low,358252669.0,0.29144525,0.170507045,787012308.0,0.390737916,0.077875964,82632
9,2,"iPhone14,2",low,465436008.0,0.379158708,0.221794285,639184127.0,0.317356333,0.063005536,96774
9,3,"iPhone14,2",low,436946235.0,0.358051208,0.206032655,678007517.0,0.336705083,0.067027419,96592
9,4,"iPhone14,2",low,381609782.0,0.313667291,0.176957206,748079088.0,0.371487666,0.073979731,93004
9,5,"iPhone14,2",low,440256457.0,0.356663708,0.210009051,697968405.0,0.346418833,0.069205524,97220
10,0,"iPhone14,2",low,564234556.0,0.460198333,0.264376713,846062858.0,0.419660041,0.083842161,113536
10,1,"iPhone14,2",low,438252261.0,0.36676725,0.200613477,1060184746.0,0.526156875,0.104956454,122388
10,2,"iPhone14,2",low,405022221.0,0.333817208,0.187802121,1146692563.0,0.568777125,0.113709817,110606
10,3,"iPhone14,2",low,412211175.0,0.342166416,0.190138704,1131920790.0,0.561554458,0.112060293,111870
10,4,"iPhone14,2",low,284350549.0,0.230763791,0.133682867,1323613735.0,0.656644916,0.131033715,105394
10,5,"iPhone14,2",low,455140503.0,0.380118083,0.208516035,1021289922.0,0.506763875,0.101164303,109002
11,0,"iPhone14,2",low,365808597.0,0.31284375,0.164588532,1418037401.0,0.703368833,0.140454379,131274
