model, mode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, primes
"iPhone14,2", low, 1363788757.0, 0.989555416, 0.660246778, 28913751.0, 0.018967375, 0.002379842, 9592
"iPhone14,2", low, 1373022874.0, 0.994919375, 0.676423602, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1375125038.0, 0.996442791, 0.676289704, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1374271952.0, 0.99582525, 0.669568005, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1375302438.0, 0.996571583, 0.676184107, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373195301.0, 0.995059458, 0.669938052, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1370295326.0, 0.993201541, 0.679460233, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1371277046.0, 0.99365525, 0.673557868, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1374266064.0, 0.995820916, 0.677766853, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373070930.0, 0.994954833, 0.670770074, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373128038.0, 0.994996375, 0.677740548, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373459828.0, 0.99523675, 0.670132664, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1375354576.0, 0.996612875, 0.674887503, 202282.0, 0.000111, 1.8338e-05, 9592
"iPhone14,2", low, 1375659563.0, 0.99683075, 0.676490467, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1374090938.0, 0.995694166, 0.670368591, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1376942594.0, 0.997765625, 0.675954152, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1375663765.0, 0.996837583, 0.67684722, 37022.0, 1.8541e-05, 2.667e-06, 9592
"iPhone14,2", low, 1373167858.0, 0.995025208, 0.670711876, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1371838661.0, 0.994062125, 0.671137555, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1374416112.0, 0.995929833, 0.677032271, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1375082569.0, 0.996415625, 0.677290718, 120752.0, 0.000105458, 9.938e-06, 9592
"iPhone14,2", low, 1373150846.0, 0.995012916, 0.670997241, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1372844063.0, 0.994796208, 0.677648879, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373587463.0, 0.995347, 0.670182982, 155428.0, 0.0001315, 1.0793e-05, 9592
"iPhone14,2", low, 1373259089.0, 0.995091791, 0.672982013, 935949.0, 0.00052575, 8.9005e-05, 9592
"iPhone14,2", low, 1374044774.0, 0.995667, 0.676221826, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1376385031.0, 0.997360083, 0.669534882, 67149.0, 5.1708e-05, 4.227e-06, 9592
"iPhone14,2", low, 1373950489.0, 0.995592583, 0.676979705, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373073645.0, 0.994957, 0.670634914, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373230715.0, 0.995070958, 0.677515731, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1374818636.0, 0.996221791, 0.676093443, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373877860.0, 0.995539916, 0.669779788, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373226326.0, 0.995079666, 0.676808405, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1377651977.0, 0.998274791, 0.668113295, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1374518721.0, 0.996004416, 0.67561776, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1376993354.0, 0.997797875, 0.674792157, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1374334885.0, 0.995871291, 0.668867731, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373217734.0, 0.995061916, 0.676079395, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1374806422.0, 0.996213041, 0.668946619, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373418698.0, 0.995218708, 0.675481505, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373123326.0, 0.994993708, 0.668617405, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1372943332.0, 0.994863208, 0.675868684, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1374420419.0, 0.995933625, 0.668220117, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373782391.0, 0.99547125, 0.67517745, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373194006.0, 0.995044916, 0.675316702, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1372816076.0, 0.994771291, 0.668813696, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1374336923.0, 0.995881375, 0.67487991, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1374546063.0, 0.996024791, 0.668202812, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373624851.0, 0.995357291, 0.675183207, 0.0, 0.0, 0.0, 9592
"iPhone14,2", low, 1373879513.0, 0.9955425, 0.669318786, 641128.0, 0.000378708, 5.5881e-05, 9592
