sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone15,2",high,1223315153.0,0.373073,1.281388529,780982553.0,0.392996958,0.084472111,217358
0,1,"iPhone15,2",high,873855917.0,0.269264958,0.90915848,993042015.0,0.498305041,0.107948787,180504
0,2,"iPhone15,2",high,772970783.0,0.232059208,0.822580197,1038354377.0,0.520768208,0.112860138,169494
0,3,"iPhone15,2",high,980748793.0,0.302653583,1.016426359,917677648.0,0.456397875,0.099779438,188890
0,4,"iPhone15,2",high,1063169120.0,0.32562225,1.103886399,851239248.0,0.423298125,0.091861606,193852
0,5,"iPhone15,2",high,965038960.0,0.2928135,1.011592623,905861820.0,0.450472583,0.098637054,187018
1,0,"iPhone15,2",high,1247867275.0,0.392912416,1.265002788,1096308514.0,0.543846,0.121506522,222808
1,1,"iPhone15,2",high,785951426.0,0.246526833,0.799273859,1364986240.0,0.677104458,0.151469118,167640
1,2,"iPhone15,2",high,1086788625.0,0.341591125,1.102565343,1180396331.0,0.585507958,0.130833293,208996
1,3,"iPhone15,2",high,950970324.0,0.298653375,0.961496633,1273680024.0,0.63181575,0.141308094,196700
1,4,"iPhone15,2",high,1205224371.0,0.377957166,1.228469962,1120475533.0,0.555813708,0.125049608,228790
1,5,"iPhone15,2",high,1078856245.0,0.337926208,1.098125524,1179311924.0,0.584979916,0.130940442,205174
2,0,"iPhone15,2",high,1454108187.0,0.465731375,1.424723033,903467126.0,0.448185041,0.100771854,246782
2,1,"iPhone15,2",high,948779202.0,0.304704791,0.927251631,1211369399.0,0.600877458,0.135064313,195174
2,2,"iPhone15,2",high,1036234111.0,0.332017791,1.017386281,1153278310.0,0.572076875,0.128671867,200540
2,3,"iPhone15,2",high,971293336.0,0.3116315,0.949244234,1209800997.0,0.600141958,0.135048934,196010
2,4,"iPhone15,2",high,1022053364.0,0.326640375,1.009720639,1201115652.0,0.595814291,0.134081303,201188
2,5,"iPhone15,2",high,834222027.0,0.267148291,0.818638512,1299947743.0,0.644814541,0.145038474,185790
3,0,"iPhone15,2",high,909595706.0,0.294909625,0.863957131,1309147985.0,0.649371416,0.146451091,193600
3,1,"iPhone15,2",high,981079280.0,0.317641708,0.936814336,1289413502.0,0.639604958,0.144377085,200080
3,2,"iPhone15,2",high,1111092369.0,0.359919416,1.058297019,1183823002.0,0.587250458,0.132482281,209360
3,3,"iPhone15,2",high,1004495609.0,0.325564458,0.955334919,1244716748.0,0.617436208,0.139311838,200866
3,4,"iPhone15,2",high,866716014.0,0.279663458,0.835130791,1325583021.0,0.657524166,0.148376737,175650
3,5,"iPhone15,2",high,1311032105.0,0.424191416,1.255211811,1050679141.0,0.521186416,0.117571474,221870
