sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone15,3",high,1143448554.0,0.343707375,1.19855505,1169691026.0,0.586725333,0.121985163,227342
0,1,"iPhone15,3",high,1162992845.0,0.341865291,1.234117829,1191334965.0,0.597548083,0.124391504,230822
0,2,"iPhone15,3",high,1281656179.0,0.382647166,1.339703718,1110161611.0,0.557025208,0.114888765,239550
0,3,"iPhone15,3",high,945908624.0,0.277919833,0.999529909,1297518512.0,0.64364275,0.136070024,197736
0,4,"iPhone15,3",high,1130676870.0,0.339975291,1.177263016,1182074305.0,0.586375583,0.123917489,226626
0,5,"iPhone15,3",high,979342213.0,0.307159291,0.977316629,1260584875.0,0.625332375,0.132646141,199192
1,0,"iPhone15,3",high,1182594087.0,0.355311125,1.253803331,1243396821.0,0.616790958,0.133747386,217758
1,1,"iPhone15,3",high,1219582419.0,0.3652065,1.301317503,1220047369.0,0.6051755,0.131285525,218728
1,2,"iPhone15,3",high,1214551212.0,0.363523875,1.2956476,1224728382.0,0.607496416,0.132948698,232732
1,3,"iPhone15,3",high,630541951.0,0.188988416,0.670702844,1568187855.0,0.777887041,0.168643724,175952
1,4,"iPhone15,3",high,1364527990.0,0.408543125,1.452521018,1128947453.0,0.560030291,0.121478384,244272
1,5,"iPhone15,3",high,1110035489.0,0.333376208,1.176355438,1268278378.0,0.629099,0.136431527,227346
2,0,"iPhone15,3",high,925851735.0,0.283800208,0.954511134,1402635450.0,0.695743041,0.152241801,199042
2,1,"iPhone15,3",high,1354610478.0,0.414272875,1.400498857,1147866183.0,0.569371708,0.124605368,246712
2,2,"iPhone15,3",high,1024469773.0,0.313935,1.056749513,1361806763.0,0.675542708,0.14781534,209074
2,3,"iPhone15,3",high,1029311543.0,0.316374666,1.061081141,1357715218.0,0.673461666,0.147375998,209100
2,4,"iPhone15,3",high,1145753493.0,0.350456625,1.191306797,1283347346.0,0.636573583,0.139381769,218604
2,5,"iPhone15,3",high,1194393623.0,0.367239166,1.223104066,1230387670.0,0.610304041,0.133496073,218652
3,0,"iPhone15,3",high,927597472.0,0.287717375,0.932866393,1390651319.0,0.689798375,0.151894227,198776
3,1,"iPhone15,3",high,824977353.0,0.2555655,0.83341916,1456970264.0,0.722712083,0.158981269,192248
3,2,"iPhone15,3",high,1299059024.0,0.403136583,1.304012221,1169335186.0,0.580019833,0.127645346,237874
3,3,"iPhone15,3",high,1156171068.0,0.359307125,1.163103697,1233688089.0,0.6119595,0.13462077,213902
3,4,"iPhone15,3",high,969082753.0,0.300480125,0.972730504,1359052997.0,0.674125208,0.148466722,201394
3,5,"iPhone15,3",high,1373194223.0,0.427269541,1.374961448,1134736397.0,0.562857916,0.123831659,247498
4,0,"iPhone15,3",high,1227843705.0,0.386924625,1.208339324,1150293695.0,0.570594416,0.126162187,233150
4,1,"iPhone15,3",high,865515422.0,0.271254875,0.860386648,1395986513.0,0.692449333,0.152954044,192534
