sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone15,3",high,3355099247.0,0.988608583,3.431470732,11889944.0,0.006903041,0.001074838,467820
1,0,"iPhone15,3",high,3586928910.0,1.034583416,3.77773103,17123.0,8.708e-06,1.196e-06,479932
2,0,"iPhone15,3",high,3590361374.0,1.035534083,3.806385494,62253.0,3.0875e-05,5.75e-06,493940
3,0,"iPhone15,3",high,3637659281.0,1.049209708,3.862682519,7552.0,1.2666e-05,4.28e-07,497380
4,0,"iPhone15,3",high,3609780734.0,1.041185125,3.844661535,565751.0,0.000289541,5.7444e-05,494522
5,0,"iPhone15,3",high,3505675239.0,1.011117833,3.73882374,18692.0,3.1166e-05,1.103e-06,475292
6,0,"iPhone15,3",high,3649065948.0,1.052453208,3.9059677,10846.0,5.458e-06,6.74e-07,492570
7,0,"iPhone15,3",high,3600959571.0,1.038586666,3.867827497,0.0,0.0,0.0,493628
8,0,"iPhone15,3",high,3560992714.0,1.027043,3.822553028,0.0,0.0,0.0,490712
9,0,"iPhone15,3",high,3679041837.0,1.061072208,3.951594587,0.0,0.0,0.0,500970
10,0,"iPhone15,3",high,3583710258.0,1.033621208,3.832274007,0.0,0.0,0.0,489898
11,0,"iPhone15,3",high,3492855376.0,1.0074,3.759471935,12630.0,2.1166e-05,7.8e-07,468738
12,0,"iPhone15,3",high,3482473014.0,1.004399083,3.750231153,12127.0,2.0333e-05,8.68e-07,482444
13,0,"iPhone15,3",high,3472042337.0,1.001935208,3.744007059,1534900.0,0.000785958,0.000158979,466968
14,0,"iPhone15,3",high,3482227848.0,1.00436175,3.770252886,29675.0,1.475e-05,3.161e-06,483890
15,0,"iPhone15,3",high,3488562536.0,1.006163416,3.760943739,14440.0,2.4041e-05,9.01e-07,467388
16,0,"iPhone15,3",high,3485397655.0,1.005248583,3.764111586,12412.0,2.0791e-05,7.95e-07,483350
17,0,"iPhone15,3",high,3490269622.0,1.006635541,3.765332335,6920.0,1.1541e-05,4.57e-07,467304
18,0,"iPhone15,3",high,3532356347.0,1.018752541,3.819987079,18100.0,3.0166e-05,1.312e-06,488714
19,0,"iPhone15,3",high,3559914334.0,1.026728541,3.853407487,7209.0,1.2166e-05,4.67e-07,487574
20,0,"iPhone15,3",high,3693343941.0,1.065258958,3.986660438,41388.0,2.5291e-05,4.076e-06,502682
21,0,"iPhone15,3",high,3691867364.0,1.064762416,3.99460173,9135.0,4.5e-06,6.56e-07,503040
22,0,"iPhone15,3",high,3495226510.0,1.008070083,3.78317322,0.0,0.0,0.0,467816
23,0,"iPhone15,3",high,3639554426.0,1.049675,3.939065539,7287.0,1.225e-05,4.76e-07,497654
24,0,"iPhone15,3",high,3530944634.0,1.021876458,3.828263837,2625129.0,0.001303083,0.000279151,487550
25,0,"iPhone15,3",high,3693957922.0,1.065390958,4.000975683,0.0,0.0,0.0,502416
26,0,"iPhone15,3",high,3466695518.0,1.000311625,3.75825529,6651.0,1.1083e-05,4.15e-07,464018
27,0,"iPhone15,3",high,3558414599.0,1.030461625,3.85311134,0.0,0.0,0.0,490784
28,0,"iPhone15,3",high,3559841831.0,1.027962708,3.858224553,0.0,0.0,0.0,488862
29,0,"iPhone15,3",high,3488728693.0,1.012165375,3.76689434,3525390.0,0.001764875,0.000372798,466584
30,0,"iPhone15,3",high,3595652807.0,1.046758666,3.88587484,13748.0,2.325e-05,9.3e-07,493606
31,0,"iPhone15,3",high,3484318524.0,1.009963208,3.773994239,0.0,0.0,0.0,475560
32,0,"iPhone15,3",high,3446580520.0,1.004070791,3.726180548,0.0,0.0,0.0,469340
33,0,"iPhone15,3",high,3471898169.0,1.006797708,3.750796421,0.0,0.0,0.0,463618
34,0,"iPhone15,3",high,3540731742.0,1.031823833,3.831223673,0.0,0.0,0.0,488200
35,0,"iPhone15,3",high,3577913070.0,1.041163208,3.859839134,1452740.0,0.000721333,0.000151718,487230
36,0,"iPhone15,3",high,3617095600.0,1.058707083,3.908213663,15685.0,2.6291e-05,1.029e-06,489272
37,0,"iPhone15,3",high,3587997273.0,1.053758041,3.865760592,0.0,0.0,0.0,483420
38,0,"iPhone15,3",high,3449002745.0,1.026823291,3.681466497,0.0,0.0,0.0,479426
39,0,"iPhone15,3",high,3480182446.0,1.019824958,3.74625178,0.0,0.0,0.0,467510
40,0,"iPhone15,3",high,3642331622.0,1.066799583,3.927117904,0.0,0.0,0.0,497124
41,0,"iPhone15,3",high,3430768703.0,1.007557833,3.69242289,0.0,0.0,0.0,459590
42,0,"iPhone15,3",high,3472513334.0,1.022214791,3.732734837,0.0,0.0,0.0,481814
43,0,"iPhone15,3",high,3624141946.0,1.062166916,3.902175519,10184.0,1.7041e-05,6.48e-07,493212
44,0,"iPhone15,3",high,3485932097.0,1.024551958,3.748179749,0.0,0.0,0.0,468164
45,0,"iPhone15,3",high,3459036902.0,1.019762291,3.708975665,0.0,0.0,0.0,474576
46,0,"iPhone15,3",high,3444447459.0,1.010902916,3.703124314,0.0,0.0,0.0,467664
47,0,"iPhone15,3",high,3589184899.0,1.055556791,3.8606419,0.0,0.0,0.0,489488
48,0,"iPhone15,3",high,3605758341.0,1.063219708,3.858686376,10382.0,5.166e-06,7.48e-07,483992
49,0,"iPhone15,3",high,3611030408.0,1.065896541,3.864621875,18465.0,9.5e-06,1.45e-06,488964
