sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone15,3",low,341640202.0,0.29050725,0.150023496,1307925268.0,0.654755083,0.132640521,124592
0,1,"iPhone15,3",low,398432905.0,0.338799416,0.175060626,1235159786.0,0.618548125,0.125280515,128543
0,2,"iPhone15,3",low,375820777.0,0.319571875,0.166224498,1249117558.0,0.625709291,0.12674209,126962
0,3,"iPhone15,3",low,368071785.0,0.312982583,0.162538663,1248709458.0,0.61977275,0.126872019,125620
0,4,"iPhone15,3",low,409140496.0,0.347904875,0.180416364,1194658091.0,0.592829291,0.121539964,128308
0,5,"iPhone15,3",low,461062799.0,0.392113041,0.203179204,1099389109.0,0.545518,0.11184087,130508
1,0,"iPhone15,3",low,373292901.0,0.317422833,0.165706991,1292164359.0,0.640959291,0.132149861,113656
1,1,"iPhone15,3",low,285676675.0,0.242919583,0.126063808,1412117217.0,0.700470458,0.14438937,108648
1,2,"iPhone15,3",low,613144664.0,0.52137575,0.271457989,886603148.0,0.439787875,0.090684458,119868
1,3,"iPhone15,3",low,287711584.0,0.244650125,0.12732668,1415221090.0,0.70198675,0.144708945,109646
1,4,"iPhone15,3",low,536806120.0,0.456462666,0.239434078,1024809253.0,0.508343208,0.104825265,117832
1,5,"iPhone15,3",low,243990274.0,0.207472333,0.108523089,1510264143.0,0.749131083,0.154122204,107560
2,0,"iPhone15,3",low,350475451.0,0.298020083,0.155682451,1424107701.0,0.706395875,0.145927634,118938
2,1,"iPhone15,3",low,340105026.0,0.28920175,0.150482383,1467951716.0,0.72814325,0.150414199,118308
2,2,"iPhone15,3",low,504434400.0,0.428935958,0.223998775,1176316129.0,0.583484291,0.120608806,136804
2,3,"iPhone15,3",low,500656373.0,0.425723375,0.223267076,1201997428.0,0.596222458,0.123264071,130802
2,4,"iPhone15,3",low,469049767.0,0.398847333,0.20837612,1250699614.0,0.620380541,0.128188479,135586
2,5,"iPhone15,3",low,310916893.0,0.264382291,0.138662513,1519609434.0,0.753789416,0.15609497,114404
3,0,"iPhone15,3",low,378139789.0,0.321543416,0.167924004,1280328892.0,0.635117333,0.131340618,122196
3,1,"iPhone15,3",low,319172093.0,0.271401708,0.141480776,1403407974.0,0.696164125,0.144014665,121778
3,2,"iPhone15,3",low,312117764.0,0.265403041,0.138653299,1416427180.0,0.702584708,0.14528677,109896
3,3,"iPhone15,3",low,428885845.0,0.364694708,0.190723503,1223862022.0,0.60707775,0.125512848,120182
3,4,"iPhone15,3",low,315096712.0,0.2679425,0.139591375,1420939400.0,0.704823291,0.145735513,110760
3,5,"iPhone15,3",low,618960631.0,0.526321333,0.274700473,890438683.0,0.441680708,0.091359927,136088
4,0,"iPhone15,3",low,464592614.0,0.395057166,0.20616791,1138054804.0,0.564506041,0.116994238,114968
4,1,"iPhone15,3",low,333717019.0,0.283769583,0.148052586,1349189380.0,0.669232625,0.138570336,111202
4,2,"iPhone15,3",low,325302475.0,0.276614458,0.144354257,1357140558.0,0.6731765,0.13949547,117288
4,3,"iPhone15,3",low,370535483.0,0.315077666,0.164300292,1273218738.0,0.631576958,0.130805225,110160
4,4,"iPhone15,3",low,339097565.0,0.288344958,0.150451997,1333840105.0,0.661662958,0.137068761,115432
4,5,"iPhone15,3",low,521135883.0,0.443137416,0.231038611,1043669774.0,0.517688125,0.10720983,126570
5,0,"iPhone15,3",low,551802560.0,0.469214375,0.246099951,998055849.0,0.495061666,0.102649849,133728
5,1,"iPhone15,3",low,184502102.0,0.156887708,0.081871177,1586159862.0,0.786803666,0.163206951,103990
5,2,"iPhone15,3",low,313442443.0,0.266529666,0.139700459,1401232242.0,0.695047416,0.142784438,117766
5,3,"iPhone15,3",low,551985964.0,0.469370291,0.245897074,1023744905.0,0.507804166,0.105329778,135238
5,4,"iPhone15,3",low,520597951.0,0.442679916,0.231835599,1046796839.0,0.519238041,0.10773038,127812
5,5,"iPhone15,3",low,216375638.0,0.183990541,0.096269736,1556558418.0,0.772123125,0.160086296,110872
6,0,"iPhone15,3",low,378676679.0,0.322000041,0.168260896,1224870544.0,0.607574791,0.126060919,110818
6,1,"iPhone15,3",low,178020445.0,0.151376083,0.079110196,1589901227.0,0.788631791,0.163266181,103518
6,2,"iPhone15,3",low,341781506.0,0.290627083,0.151846449,1309500003.0,0.649569208,0.136169735,110420
6,3,"iPhone15,3",low,467258343.0,0.397323791,0.207805108,1130088283.0,0.560575791,0.11628927,114412
6,4,"iPhone15,3",low,372633025.0,0.316861041,0.165875183,1276397527.0,0.633148041,0.131350792,110320
6,5,"iPhone15,3",low,608471660.0,0.517401458,0.270955913,874858363.0,0.433951541,0.089961835,119866
7,0,"iPhone15,3",low,419664696.0,0.356853583,0.186743222,1222356791.0,0.606320916,0.125947515,118926
7,1,"iPhone15,3",low,581251975.0,0.494289833,0.258582214,929855713.0,0.461232541,0.096307147,134782
7,2,"iPhone15,3",low,450834384.0,0.383358,0.201350979,1148535564.0,0.569737875,0.118404688,119366
7,3,"iPhone15,3",low,212766789.0,0.180921875,0.095290011,1541906203.0,0.764825416,0.158953787,109458
7,4,"iPhone15,3",low,266144592.0,0.226310541,0.11945366,1457797500.0,0.723105125,0.15018461,116596
7,5,"iPhone15,3",low,417481382.0,0.354996583,0.186809639,1216084442.0,0.603210125,0.125360929,127470
8,0,"iPhone15,3",low,525618796.0,0.446949291,0.233925715,924892026.0,0.458807,0.095440236,123364
8,1,"iPhone15,3",low,409936956.0,0.348581333,0.18242395,1121724594.0,0.556417833,0.115669636,109558
8,2,"iPhone15,3",low,260808988.0,0.221773666,0.116106655,1339843339.0,0.664606083,0.138097093,107618
8,3,"iPhone15,3",low,309920754.0,0.263534791,0.138305229,1257717411.0,0.623860625,0.12974767,112894
8,4,"iPhone15,3",low,382889667.0,0.325582333,0.170620948,1142017731.0,0.566480583,0.117804915,113382
8,5,"iPhone15,3",low,462125011.0,0.392958458,0.205875635,1045096270.0,0.518412375,0.107749824,113827
9,0,"iPhone15,3",low,392430076.0,0.333694791,0.174921557,1254840095.0,0.622434166,0.129444138,112146
9,1,"iPhone15,3",low,449807325.0,0.382484333,0.200321663,1164819049.0,0.577780166,0.120152745,123854
9,2,"iPhone15,3",low,365304760.0,0.310629333,0.162985316,1321270096.0,0.655383291,0.136279991,117384
9,3,"iPhone15,3",low,427964397.0,0.363910333,0.190986584,1201751259.0,0.596123166,0.123964274,118608
9,4,"iPhone15,3",low,352953291.0,0.300126583,0.157440209,1321811022.0,0.655653541,0.136274306,112472
9,5,"iPhone15,3",low,361108401.0,0.307061375,0.160759279,1334594954.0,0.661992833,0.137677937,110857
10,0,"iPhone15,3",low,299322843.0,0.254522958,0.133371657,1365635855.0,0.677391375,0.140893178,106238
10,1,"iPhone15,3",low,367702381.0,0.312667833,0.163836668,1229024047.0,0.609626958,0.126839002,114992
10,2,"iPhone15,3",low,652582036.0,0.554909541,0.291014809,851303422.0,0.422294291,0.087892831,133386
10,3,"iPhone15,3",low,387890403.0,0.329834458,0.172951914,1221580347.0,0.605998583,0.12608165,109328
10,4,"iPhone15,3",low,338368641.0,0.287724916,0.150712061,1290416647.0,0.640108041,0.133147242,107560
10,5,"iPhone15,3",low,307851519.0,0.261775041,0.137160655,1334744240.0,0.662067666,0.137811033,119298
11,0,"iPhone15,3",low,305147662.0,0.259475791,0.136034454,1430424436.0,0.709537708,0.146618129,126150
11,1,"iPhone15,3",low,455469505.0,0.387299083,0.203116351,1150365113.0,0.570610875,0.118680271,114528
11,2,"iPhone15,3",low,382406600.0,0.325171208,0.170439103,1260627234.0,0.625303291,0.130057895,116576
11,3,"iPhone15,3",low,398093279.0,0.33851625,0.177840787,1239682317.0,0.614938666,0.127883431,126270
11,4,"iPhone15,3",low,516940919.0,0.439569875,0.230492811,1073147523.0,0.53236475,0.110742417,133382
11,5,"iPhone15,3",low,293380404.0,0.24947,0.130804825,1419835232.0,0.704273458,0.146436961,113148
12,0,"iPhone15,3",low,469628258.0,0.39933825,0.209514901,1159898227.0,0.575339458,0.120710109,117250
12,1,"iPhone15,3",low,287246925.0,0.244254333,0.128134911,1464247257.0,0.726303458,0.151248427,118206
12,2,"iPhone15,3",low,405137868.0,0.34450075,0.180712391,1250675082.0,0.620366166,0.129072277,112486
12,3,"iPhone15,3",low,258709104.0,0.219987791,0.115398744,1489665828.0,0.73891275,0.153861193,110434
12,4,"iPhone15,3",low,495256806.0,0.42113125,0.22142687,1102858630.0,0.547044666,0.113912302,116584
12,5,"iPhone15,3",low,431010626.0,0.366500708,0.192805419,1205842853.0,0.598151166,0.124470939,114068
13,0,"iPhone15,3",low,346672984.0,0.294785958,0.155238899,1345117879.0,0.667212416,0.13897584,121202
13,1,"iPhone15,3",low,379466537.0,0.322671,0.16934829,1305439537.0,0.647530666,0.1348269,120422
13,2,"iPhone15,3",low,582391652.0,0.495224458,0.259763503,930479997.0,0.461541375,0.096158086,134844
13,3,"iPhone15,3",low,345885434.0,0.294116416,0.154471637,1344970961.0,0.667164708,0.138840207,110736
13,4,"iPhone15,3",low,362114705.0,0.307916666,0.161855697,1324163778.0,0.656818416,0.136826503,125352
13,5,"iPhone15,3",low,338395211.0,0.287747333,0.151385067,1349867527.0,0.669568708,0.139495367,121602
14,0,"iPhone15,3",low,300350339.0,0.2553965,0.134132627,1445143175.0,0.716851333,0.149334099,115966
14,1,"iPhone15,3",low,332045601.0,0.282347916,0.148302097,1404280175.0,0.696557375,0.145132134,111624
14,2,"iPhone15,3",low,440130110.0,0.374255083,0.196817906,1216157135.0,0.603244083,0.125702582,115050
14,3,"iPhone15,3",low,391894116.0,0.333238708,0.175097899,1317572158.0,0.653548083,0.13618406,127630
14,4,"iPhone15,3",low,439484742.0,0.373706583,0.196293559,1232969690.0,0.61158425,0.127459026,118964
14,5,"iPhone15,3",low,474300351.0,0.403311041,0.21178924,1172690485.0,0.581683041,0.121252648,122472
15,0,"iPhone15,3",low,341996488.0,0.290809375,0.152822995,1381593539.0,0.685329916,0.142896193,112138
15,1,"iPhone15,3",low,404930571.0,0.344323958,0.180893391,1280961995.0,0.635389291,0.13227523,127930
15,2,"iPhone15,3",low,505038803.0,0.429448833,0.225847869,1137240793.0,0.564099166,0.117646957,134866
15,3,"iPhone15,3",low,403362159.0,0.342990291,0.180289574,1308590609.0,0.649094208,0.135353625,118408
15,4,"iPhone15,3",low,549284204.0,0.467104166,0.245946805,1067812624.0,0.5296615,0.110394019,134190
15,5,"iPhone15,3",low,189202958.0,0.160884666,0.084730259,1660262615.0,0.823582875,0.171662691,106678
16,0,"iPhone15,3",low,502420330.0,0.427222208,0.224586309,1174145796.0,0.582420625,0.121417785,134664
16,1,"iPhone15,3",low,420863844.0,0.3578725,0.188084278,1295397134.0,0.642549208,0.134144621,118878
16,2,"iPhone15,3",low,419568906.0,0.356771583,0.187822445,1302585372.0,0.64611425,0.134620116,115872
16,3,"iPhone15,3",low,402817005.0,0.342526833,0.180280428,1294829219.0,0.642266833,0.13379327,122322
16,4,"iPhone15,3",low,405017209.0,0.344397666,0.181032552,1337155606.0,0.663262666,0.138279741,117930
16,5,"iPhone15,3",low,322280166.0,0.274043791,0.144578157,1463304425.0,0.725861375,0.151141538,126328
17,0,"iPhone15,3",low,336420813.0,0.286068083,0.150647925,1388244556.0,0.688626125,0.1435621,112792
17,1,"iPhone15,3",low,403560966.0,0.343159208,0.180421057,1291809839.0,0.640770791,0.133318668,124632
17,2,"iPhone15,3",low,350174515.0,0.297763125,0.156672135,1366453269.0,0.67779525,0.141419696,126486
17,3,"iPhone15,3",low,345553834.0,0.293834458,0.15507027,1362567097.0,0.675867541,0.140978601,119074
17,4,"iPhone15,3",low,639399274.0,0.543699375,0.286161196,893866688.0,0.443393666,0.092549157,138478
17,5,"iPhone15,3",low,315903828.0,0.268622,0.141624427,1423314070.0,0.706002875,0.147310091,113986
18,0,"iPhone15,3",low,501424881.0,0.426375583,0.224223558,1173319910.0,0.581995666,0.121307342,133408
18,1,"iPhone15,3",low,481820267.0,0.409705375,0.215465936,1222910292.0,0.606617458,0.126746803,125224
18,2,"iPhone15,3",low,351710820.0,0.299069708,0.157246856,1440952877.0,0.71474825,0.149016947,117364
18,3,"iPhone15,3",low,381137932.0,0.32409225,0.170394187,1387890430.0,0.688428583,0.143636432,115584
18,4,"iPhone15,3",low,297349211.0,0.252844458,0.132965921,1528779667.0,0.758311833,0.158209204,112926
18,5,"iPhone15,3",low,458273659.0,0.389682833,0.204893057,1242501126.0,0.616311416,0.128471953,126320
19,0,"iPhone15,3",low,453852332.0,0.385923333,0.203341154,1216754888.0,0.603539958,0.125765656,118420
19,1,"iPhone15,3",low,417360739.0,0.354893583,0.186645813,1270444355.0,0.630172208,0.131463352,125680
19,2,"iPhone15,3",low,179064069.0,0.152263166,0.080219057,1678180158.0,0.832446875,0.173537748,106156
19,3,"iPhone15,3",low,400057892.0,0.340180291,0.178871888,1312371479.0,0.650968333,0.135809846,130186
19,4,"iPhone15,3",low,500890042.0,0.425921041,0.22421315,1150923109.0,0.570909916,0.119141146,134026
19,5,"iPhone15,3",low,447563803.0,0.380575958,0.200387482,1254134333.0,0.62208125,0.129768302,124910
20,0,"iPhone15,3",low,148325609.0,0.126125375,0.066336244,1705582124.0,0.846015958,0.176490534,104658
20,1,"iPhone15,3",low,621580722.0,0.528547583,0.2781075,929549486.0,0.461079833,0.096196379,127170
20,2,"iPhone15,3",low,458755917.0,0.390092958,0.205439769,1199668429.0,0.5950655,0.12416757,132514
20,3,"iPhone15,3",low,386462792.0,0.328620083,0.17369364,1294769352.0,0.642262875,0.133919092,114276
20,4,"iPhone15,3",low,376173357.0,0.319894291,0.168863932,1348720999.0,0.6689995,0.139432694,114664
20,5,"iPhone15,3",low,394145006.0,0.335152541,0.176914922,1289996906.0,0.639870041,0.133419335,112156
21,0,"iPhone15,3",low,468777044.0,0.398614333,0.209720151,1268697876.0,0.629304,0.131347065,136318
21,1,"iPhone15,3",low,359286850.0,0.305511666,0.160777617,1437585073.0,0.713079041,0.148830731,129340
21,2,"iPhone15,3",low,510768978.0,0.434321166,0.228797681,1195299640.0,0.59289875,0.123752582,120396
21,3,"iPhone15,3",low,405428062.0,0.344746541,0.181365941,1382407540.0,0.685713583,0.142708459,131140
21,4,"iPhone15,3",low,334478576.0,0.284416375,0.1496724,1478054679.0,0.733150916,0.153000721,126986
21,5,"iPhone15,3",low,394733364.0,0.335652875,0.176647677,1374038814.0,0.681557125,0.14228252,133760
22,0,"iPhone15,3",low,310501441.0,0.264028166,0.139238842,1194534111.0,0.592518208,0.123920202,102634
22,1,"iPhone15,3",low,378185158.0,0.321581125,0.169379046,1117853152.0,0.554483083,0.115935388,108202
22,2,"iPhone15,3",low,392046906.0,0.333367916,0.175965162,1125034700.0,0.5580585,0.116680555,122176
22,3,"iPhone15,3",low,440467908.0,0.374542166,0.198625013,1029236357.0,0.510535458,0.107156577,111420
22,4,"iPhone15,3",low,426508494.0,0.362672166,0.191677291,1031250072.0,0.511525041,0.106984836,110996
22,5,"iPhone15,3",low,426511651.0,0.362674791,0.191006536,1035188762.0,0.513485708,0.107320798,107890
23,0,"iPhone15,3",low,367177113.0,0.312221,0.16483591,908655996.0,0.450746,0.094482943,97528
23,1,"iPhone15,3",low,452805768.0,0.385033291,0.203035363,767968085.0,0.38095925,0.07990294,100974
23,2,"iPhone15,3",low,386952304.0,0.329039291,0.173707732,900856913.0,0.446853791,0.093650627,98826
23,3,"iPhone15,3",low,404228854.0,0.343726916,0.181951517,853870079.0,0.423561875,0.088836977,99262
23,4,"iPhone15,3",low,402779948.0,0.342494875,0.180813113,837449995.0,0.415427166,0.087114263,98158
