sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone15,3",low,0.0,0.0,0.0,1983367842.0,0.984051583,0.201829541,106298
1,0,"iPhone15,3",low,833802481.0,0.709057083,0.36550961,588589519.0,0.291998708,0.059675955,140398
2,0,"iPhone15,3",low,1251877391.0,1.064526416,0.547585528,159880.0,0.000135,1.3188e-05,179404
3,0,"iPhone15,3",low,1212959312.0,1.031430791,0.531018966,110238.0,5.4666e-05,1.0187e-05,161890
4,0,"iPhone15,3",low,1244315323.0,1.058094666,0.544285372,25926.0,4.3583e-05,1.459e-06,161334
5,0,"iPhone15,3",low,1229044706.0,1.045108541,0.538214016,79199.0,7.8333e-05,7.084e-06,178724
6,0,"iPhone15,3",low,1177808114.0,1.001549416,0.515780271,19746.0,3.2916e-05,1.158e-06,158130
7,0,"iPhone15,3",low,1245224573.0,1.058868375,0.544796335,18029.0,1.9375e-05,8.98e-07,161976
8,0,"iPhone15,3",low,1224588311.0,1.04131925,0.536049195,0.0,0.0,0.0,177166
9,0,"iPhone15,3",low,1192003335.0,1.013611083,0.521793409,20407.0,3.4e-05,1.34e-06,160060
10,0,"iPhone15,3",low,1250212605.0,1.06311175,0.547039418,161544.0,9.7291e-05,1.4771e-05,162534
11,0,"iPhone15,3",low,1222655296.0,1.039675208,0.535024131,0.0,0.0,0.0,176644
12,0,"iPhone15,3",low,1196508311.0,1.017441458,0.523384143,31884.0,4.4375e-05,2.082e-06,160600
13,0,"iPhone15,3",low,1181116680.0,1.004353625,0.516994378,22685.0,3.7833e-05,1.483e-06,157050
14,0,"iPhone15,3",low,1226721444.0,1.043132458,0.537547615,54704.0,2.7291e-05,4.937e-06,171668
15,0,"iPhone15,3",low,1197635065.0,1.018399333,0.524316419,26418.0,4.4e-05,1.513e-06,164648
16,0,"iPhone15,3",low,1195104697.0,1.0162485,0.522354234,506226.0,0.000276833,4.9494e-05,159456
17,0,"iPhone15,3",low,1249126484.0,1.062184958,0.546915608,7459.0,1.2458e-05,3.82e-07,166704
18,0,"iPhone15,3",low,1220672430.0,1.037989291,0.53333499,45879.0,2.275e-05,3.735e-06,172686
19,0,"iPhone15,3",low,1254396979.0,1.066674291,0.549,24874.0,3.0375e-05,1.433e-06,164940
20,0,"iPhone15,3",low,1201776141.0,1.021921083,0.524858321,14436.0,2.4208e-05,7.7e-07,163210
21,0,"iPhone15,3",low,1239867188.0,1.054311125,0.542098932,25722.0,3.0375e-05,1.329e-06,174676
22,0,"iPhone15,3",low,1219245831.0,1.036800583,0.534038119,28833.0,4.8958e-05,2.347e-06,161348
23,0,"iPhone15,3",low,1228765611.0,1.044871708,0.537246746,0.0,0.0,0.0,170382
24,0,"iPhone15,3",low,1227759247.0,1.044015458,0.53711745,32763.0,5.6541e-05,2.313e-06,169110
25,0,"iPhone15,3",low,1179872642.0,1.003295666,0.515654027,233201.0,0.000141041,2.2968e-05,157710
26,0,"iPhone15,3",low,1178783391.0,1.002369416,0.515016385,7615.0,6.833e-06,4.73e-07,156464
27,0,"iPhone15,3",low,1198293312.0,1.018788583,0.524028181,20157.0,9.958e-06,1.166e-06,169856
28,0,"iPhone15,3",low,1203397648.0,1.022882708,0.525696807,23110.0,3.8583e-05,1.24e-06,164818
29,0,"iPhone15,3",low,1201379629.0,1.021583958,0.525204399,21878.0,3.65e-05,1.409e-06,159792
