sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone16,1",high,1206572990.0,0.34436675,1.389962414,1144216857.0,0.544998583,0.143051986,233478
0,1,"iPhone16,1",high,1258949983.0,0.362259625,1.435752635,1125008282.0,0.535811958,0.140674434,237860
0,2,"iPhone16,1",high,1192381433.0,0.344577583,1.345953786,1128187544.0,0.536654,0.141119695,231356
0,3,"iPhone16,1",high,1195321711.0,0.341431333,1.375156617,1161060376.0,0.550023125,0.145293097,232938
0,4,"iPhone16,1",high,1129989917.0,0.327245791,1.284795575,1161016080.0,0.549897458,0.145245831,225560
0,5,"iPhone16,1",high,1280029402.0,0.367183458,1.469140687,1100281400.0,0.521003875,0.137822141,238976
1,0,"iPhone16,1",high,1119312626.0,0.333594625,1.14297105,1094094305.0,0.5180325,0.139805721,206450
1,1,"iPhone16,1",high,1125048766.0,0.335180083,1.149461117,1099052806.0,0.520380916,0.140116649,206346
1,2,"iPhone16,1",high,1138382225.0,0.33721425,1.173287767,1075240098.0,0.509121333,0.137742586,207750
1,3,"iPhone16,1",high,1143378866.0,0.338586,1.178305798,1079154378.0,0.5109905,0.138258904,208022
1,4,"iPhone16,1",high,1182912116.0,0.352078333,1.211369332,1052711481.0,0.498438458,0.135174958,212156
1,5,"iPhone16,1",high,1120068851.0,0.331570833,1.155375093,1076693456.0,0.509793875,0.137869619,205082
2,0,"iPhone16,1",high,1133566163.0,0.347688791,1.11028714,1079140610.0,0.510951958,0.139648668,206098
2,1,"iPhone16,1",high,1173771909.0,0.360277625,1.150678234,1054182337.0,0.499134291,0.136764803,219174
2,2,"iPhone16,1",high,1130626361.0,0.346721875,1.109179957,1094071939.0,0.518047583,0.141042373,206482
2,3,"iPhone16,1",high,1111277644.0,0.340845208,1.088694098,1098083877.0,0.519920958,0.141744024,204862
2,4,"iPhone16,1",high,1098240503.0,0.336937458,1.076607808,1089175727.0,0.515703208,0.140655535,203930
2,5,"iPhone16,1",high,1051066042.0,0.321878208,1.03229223,1114674694.0,0.527776875,0.143663583,200598
3,0,"iPhone16,1",high,1085917908.0,0.337343875,1.046180534,1074012775.0,0.508523416,0.139378425,201906
3,1,"iPhone16,1",high,1073073856.0,0.334952541,1.026908017,1061973031.0,0.502822916,0.137773253,201576
3,2,"iPhone16,1",high,1108499034.0,0.345845458,1.061952714,1041322132.0,0.493053833,0.135243533,202710
3,3,"iPhone16,1",high,1107474364.0,0.34453075,1.065030182,1064779586.0,0.504174375,0.138146308,203246
3,4,"iPhone16,1",high,1059292881.0,0.329809916,1.01851443,1083117045.0,0.512833583,0.140043152,200112
3,5,"iPhone16,1",high,1097246780.0,0.341793875,1.053493546,1076301229.0,0.509606666,0.139808018,202774
4,0,"iPhone16,1",high,1035422958.0,0.328037333,0.969464627,993833698.0,0.470597708,0.129459775,195548
4,1,"iPhone16,1",high,1055038408.0,0.334459,0.988379579,964323340.0,0.456636708,0.125564023,184304
4,2,"iPhone16,1",high,1122218486.0,0.3556805,1.051299975,960959927.0,0.454994,0.125165882,201328
4,3,"iPhone16,1",high,978087740.0,0.31006675,0.915088223,1010079098.0,0.478307541,0.131568578,191460
4,4,"iPhone16,1",high,1082622057.0,0.342178416,1.017518728,980561225.0,0.464302541,0.128084051,198818
4,5,"iPhone16,1",high,1000033752.0,0.316536875,0.938524234,1001602580.0,0.474244333,0.130372501,192738
5,0,"iPhone16,1",high,1030104170.0,0.331899916,0.939656495,1097406157.0,0.519598208,0.143271181,198178
5,1,"iPhone16,1",high,1086226159.0,0.347164541,1.005226728,1044612384.0,0.494601875,0.136340476,204686
5,2,"iPhone16,1",high,1050101954.0,0.336087875,0.96890808,1060384594.0,0.502074541,0.138418033,198846
5,3,"iPhone16,1",high,1077908786.0,0.345642541,0.991092915,1050003183.0,0.497162291,0.136986514,200632
5,4,"iPhone16,1",high,1126218122.0,0.360571708,1.038889727,1032194499.0,0.48872175,0.134721537,204040
5,5,"iPhone16,1",high,1054378693.0,0.338167666,0.968794566,1071930560.0,0.507536375,0.139898324,199292
6,0,"iPhone16,1",high,1021413076.0,0.330990125,0.924666275,1061174587.0,0.502442625,0.138939095,195974
6,1,"iPhone16,1",high,1032545673.0,0.335107625,0.934109113,1049485637.0,0.496909666,0.137333365,193544
6,2,"iPhone16,1",high,1052092388.0,0.340627708,0.954362356,1063358245.0,0.503475666,0.13913783,198986
6,3,"iPhone16,1",high,1082481555.0,0.35048225,0.98111022,1003839473.0,0.475295958,0.131059243,199536
6,4,"iPhone16,1",high,1015028528.0,0.328516333,0.921808474,1053700177.0,0.498942791,0.137900281,195482
6,5,"iPhone16,1",high,1061424895.0,0.343566333,0.962559164,1042869089.0,0.493776916,0.136529023,199106
7,0,"iPhone16,1",high,1020181508.0,0.333140083,0.915942328,1008528476.0,0.477516333,0.132356727,193490
7,1,"iPhone16,1",high,1031136734.0,0.335960333,0.928238968,1020348753.0,0.483113125,0.133941366,195920
7,2,"iPhone16,1",high,1093597471.0,0.356853375,0.982102259,966148649.0,0.457450541,0.126783707,199312
7,3,"iPhone16,1",high,962576626.0,0.314733416,0.861867354,1064827795.0,0.504171583,0.140069292,189992
7,4,"iPhone16,1",high,1019044535.0,0.331756291,0.918851327,998832084.0,0.472926208,0.131069717,193248
7,5,"iPhone16,1",high,993096266.0,0.324229625,0.892274185,1037959921.0,0.491468625,0.136223005,191636
8,0,"iPhone16,1",high,978076524.0,0.320937708,0.873631602,1112438238.0,0.5267135,0.146109357,191258
8,1,"iPhone16,1",high,1028987318.0,0.338322875,0.917967877,1075856654.0,0.509393083,0.141292415,197472
8,2,"iPhone16,1",high,1054814471.0,0.346313666,0.942126857,1075322042.0,0.50914,0.141169428,199578
8,3,"iPhone16,1",high,1102351535.0,0.362356541,0.983085818,1076583489.0,0.509737333,0.141355944,204370
8,4,"iPhone16,1",high,1102182183.0,0.363228458,0.980282115,1086208873.0,0.514337708,0.142632189,204466
8,5,"iPhone16,1",high,1061895114.0,0.348978958,0.946877368,1081591041.0,0.512127625,0.142088691,200494
9,0,"iPhone16,1",high,1034887505.0,0.34338825,0.912964238,1138364683.0,0.538989166,0.149833301,199712
9,1,"iPhone16,1",high,1074131594.0,0.357208041,0.946568832,1122999865.0,0.531713458,0.14781693,202574
9,2,"iPhone16,1",high,1040198348.0,0.343079083,0.925082448,1103954618.0,0.522761125,0.145267339,199250
9,3,"iPhone16,1",high,1078201083.0,0.356856125,0.954323566,1112535256.0,0.526759375,0.14645595,203054
9,4,"iPhone16,1",high,1072200509.0,0.353533666,0.952497011,1121308533.0,0.530913166,0.147625167,202694
9,5,"iPhone16,1",high,1118488229.0,0.370117541,0.990587578,1092015346.0,0.517043875,0.143703538,206462
10,0,"iPhone16,1",high,1034812344.0,0.34524425,0.907644757,1093710463.0,0.517891125,0.144111174,197120
10,1,"iPhone16,1",high,1096908384.0,0.3654715,0.964343035,1058358564.0,0.50110775,0.139475879,202502
10,2,"iPhone16,1",high,1036564583.0,0.34433,0.914401161,1113112469.0,0.52703275,0.146733472,199190
10,3,"iPhone16,1",high,1062004804.0,0.35450375,0.931552665,1111075413.0,0.526067875,0.146341148,201348
10,4,"iPhone16,1",high,1051839485.0,0.349681583,0.926533582,1104461064.0,0.522953791,0.145514063,200244
10,5,"iPhone16,1",high,1005642890.0,0.334915083,0.884006133,1131612750.0,0.535791541,0.149110147,196698
11,0,"iPhone16,1",high,988390142.0,0.332535041,0.858276575,1157424376.0,0.548011833,0.152821254,191010
11,1,"iPhone16,1",high,1074003141.0,0.359611375,0.938490706,1098145408.0,0.519964583,0.144286979,201700
11,2,"iPhone16,1",high,1107024627.0,0.371913875,0.964046411,1100168669.0,0.5209035,0.145242036,204350
11,3,"iPhone16,1",high,1086782320.0,0.364101583,0.948665911,1095951377.0,0.518910833,0.144680287,202912
11,4,"iPhone16,1",high,1070302496.0,0.357942541,0.936420854,1133978051.0,0.536911958,0.149751499,202580
11,5,"iPhone16,1",high,1006104387.0,0.33853625,0.874596923,1123691729.0,0.532041208,0.148427474,196240
12,0,"iPhone16,1",high,965109111.0,0.32573575,0.835168808,1072278505.0,0.507701583,0.141648411,183866
12,1,"iPhone16,1",high,1033802221.0,0.349098416,0.894727053,1022513365.0,0.48413525,0.135866465,196338
12,2,"iPhone16,1",high,991665153.0,0.335573833,0.856417043,1056806661.0,0.500371291,0.139627649,194012
12,3,"iPhone16,1",high,1041953093.0,0.351448833,0.902178691,1004247868.0,0.475504375,0.132787471,196196
12,4,"iPhone16,1",high,983703426.0,0.332588666,0.849860116,1051457218.0,0.497839458,0.138904319,192416
12,5,"iPhone16,1",high,985973524.0,0.332954833,0.852855341,1042723641.0,0.493720041,0.137850572,187874
13,0,"iPhone16,1",high,940843675.0,0.320324458,0.805919387,1048688957.0,0.496547958,0.138817495,188100
13,1,"iPhone16,1",high,961444533.0,0.326775291,0.825070294,1043409979.0,0.494028375,0.138070382,190186
13,2,"iPhone16,1",high,1017293723.0,0.345176041,0.875007621,1026479643.0,0.486012833,0.135783721,194710
13,3,"iPhone16,1",high,965346881.0,0.327198916,0.831103414,1040832889.0,0.492808708,0.137634319,188558
13,4,"iPhone16,1",high,1016890776.0,0.345295208,0.874371447,1038913938.0,0.491899416,0.137458117,194006
13,5,"iPhone16,1",high,981625411.0,0.332354458,0.846207313,1009086871.0,0.477777791,0.133470975,178258
14,0,"iPhone16,1",high,988180081.0,0.336206041,0.847415343,1028351172.0,0.486897791,0.136224306,188344
14,1,"iPhone16,1",high,971188788.0,0.332608625,0.82599636,1041619297.0,0.493180416,0.137993655,187416
14,2,"iPhone16,1",high,985431831.0,0.335760208,0.843801255,1026557261.0,0.486048083,0.1360226,190236
14,3,"iPhone16,1",high,944750039.0,0.322844458,0.805643003,1048667388.0,0.496544208,0.138881618,172074
14,4,"iPhone16,1",high,1017335756.0,0.346984791,0.870811361,1023955659.0,0.48481675,0.13534119,191998
14,5,"iPhone16,1",high,958338189.0,0.326943416,0.819026036,1040869063.0,0.492825416,0.137910086,190112
15,0,"iPhone16,1",high,936355415.0,0.321363166,0.794057486,1040535471.0,0.492667958,0.137966291,174150
15,1,"iPhone16,1",high,942854019.0,0.322783416,0.803218275,1046384419.0,0.495500666,0.138461499,174548
15,2,"iPhone16,1",high,964403526.0,0.331221208,0.817906871,1033812940.0,0.489547166,0.13708786,179476
15,3,"iPhone16,1",high,976299091.0,0.335349208,0.827424231,1023795026.0,0.484768041,0.134550044,191838
15,4,"iPhone16,1",high,1043187679.0,0.357875916,0.886615498,985366998.0,0.466546,0.131011985,189740
15,5,"iPhone16,1",high,944679680.0,0.324212625,0.801337717,1031938942.0,0.488622833,0.136808715,184028
16,0,"iPhone16,1",high,990495171.0,0.341101875,0.836571347,1069871696.0,0.506611291,0.141297804,193956
16,1,"iPhone16,1",high,988143724.0,0.340355916,0.835223346,1050292513.0,0.497348583,0.139607359,192950
16,2,"iPhone16,1",high,1040322854.0,0.358519416,0.879222015,1036573886.0,0.490836875,0.13753168,190674
16,3,"iPhone16,1",high,1022992248.0,0.352503208,0.86330857,1043844393.0,0.494267916,0.13966496,195454
16,4,"iPhone16,1",high,978414776.0,0.337044458,0.826761468,1057393552.0,0.500781333,0.140256518,183472
16,5,"iPhone16,1",high,1014466930.0,0.349233541,0.857679772,1026668890.0,0.486121458,0.136195438,184054
17,0,"iPhone16,1",high,1032031828.0,0.356699916,0.866636201,965668626.0,0.457448625,0.128902806,192944
17,1,"iPhone16,1",high,1001383438.0,0.346696833,0.839989102,1015158554.0,0.480790083,0.134813588,192062
17,2,"iPhone16,1",high,940938425.0,0.326106916,0.788688824,1018445299.0,0.482520333,0.135179132,187982
17,3,"iPhone16,1",high,849215795.0,0.293432291,0.713909708,1071925459.0,0.507795875,0.142287412,162564
17,4,"iPhone16,1",high,1023165779.0,0.353527166,0.861160451,963010756.0,0.456089375,0.127857545,193150
17,5,"iPhone16,1",high,964797675.0,0.334113291,0.808551586,980088959.0,0.464197083,0.130107132,185196
18,0,"iPhone16,1",high,1021858352.0,0.354086708,0.85459382,1001150139.0,0.474070083,0.133218665,191576
18,1,"iPhone16,1",high,856201620.0,0.297465,0.71441187,1121781700.0,0.53135375,0.148300497,165834
18,2,"iPhone16,1",high,989002386.0,0.342682583,0.828800243,1032026006.0,0.488746208,0.137289832,190220
18,3,"iPhone16,1",high,972387724.0,0.336793125,0.814995565,1084906704.0,0.513711083,0.144286895,193226
18,4,"iPhone16,1",high,976336010.0,0.338259125,0.818112384,1020392107.0,0.483249916,0.135626657,188880
18,5,"iPhone16,1",high,920471783.0,0.319109,0.76998743,1035991585.0,0.490647791,0.137781253,182610
19,0,"iPhone16,1",high,1035618625.0,0.360343541,0.861292529,1001871422.0,0.474455333,0.133269983,190538
19,1,"iPhone16,1",high,833514581.0,0.29046075,0.692030693,1095159827.0,0.518722833,0.146699354,178800
