sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone16,1",high,3614807879.0,0.9807315,4.547899933,29702363.0,0.017978125,0.002985795,497376
1,0,"iPhone16,1",high,3871006616.0,1.024841333,5.087051984,1206049.0,0.000571083,0.00014723,537474
2,0,"iPhone16,1",high,3938101444.0,1.049266375,5.208445742,567783.0,0.000282916,6.6281e-05,541190
3,0,"iPhone16,1",high,3933391989.0,1.062831583,5.13196014,138203.0,0.000121458,1.2685e-05,535696
4,0,"iPhone16,1",high,3763441433.0,1.026713833,4.81500378,77848.0,6.7916e-05,7.777e-06,517394
5,0,"iPhone16,1",high,3905828407.0,1.060670458,5.041532789,48974.0,6.6125e-05,2.961e-06,532146
6,0,"iPhone16,1",high,3866171707.0,1.053204375,4.915675835,170238.0,9.85e-05,1.7879e-05,527964
7,0,"iPhone16,1",high,3773056597.0,1.032655,4.767640963,42339.0,4.9125e-05,3.804e-06,509602
8,0,"iPhone16,1",high,3677763675.0,1.02400375,4.510339104,26191.0,3.5541e-05,2.206e-06,510314
9,0,"iPhone16,1",high,3660972024.0,1.009412541,4.572388773,74585.0,3.6458e-05,8.348e-06,501974
10,0,"iPhone16,1",high,3667159902.0,1.023553041,4.464404365,4615750.0,0.002186583,0.000583332,503644
11,0,"iPhone16,1",high,3595316498.0,1.005166666,4.361013669,66196.0,5.7416e-05,5.898e-06,483312
12,0,"iPhone16,1",high,3674660257.0,1.030225375,4.428510783,26251.0,3.6125e-05,1.654e-06,504448
13,0,"iPhone16,1",high,3734496890.0,1.031474083,4.644532411,138925.0,0.000103583,1.4561e-05,519686
14,0,"iPhone16,1",high,3789714993.0,1.063042291,4.557602458,32774.0,3.7875e-05,2.8e-06,515376
15,0,"iPhone16,1",high,3710674563.0,1.036612083,4.507129907,223112.0,0.000105625,2.6531e-05,504796
16,0,"iPhone16,1",high,3695418423.0,1.038121291,4.419369395,792868.0,0.00037575,9.655e-05,503478
17,0,"iPhone16,1",high,3723117947.0,1.055135083,4.326578171,53061.0,4.4541e-05,4.491e-06,514816
18,0,"iPhone16,1",high,3748900192.0,1.058492958,4.401662281,219169.0,0.000135041,2.0452e-05,516158
19,0,"iPhone16,1",high,3551379717.0,1.000715708,4.210997651,2768740.0,0.001364083,0.000336462,481862
20,0,"iPhone16,1",high,3528064401.0,1.0015,4.131033641,1332668.0,0.000661166,0.00016156,482150
21,0,"iPhone16,1",high,3661896951.0,1.028763583,4.390133604,42418.0,4e-05,3.928e-06,500580
22,0,"iPhone16,1",high,3589424615.0,1.010924291,4.272252222,9235.0,1.2416e-05,5.74e-07,494254
23,0,"iPhone16,1",high,3728934587.0,1.055915583,4.352310059,156809.0,8.4875e-05,1.7332e-05,506622
24,0,"iPhone16,1",high,3741107093.0,1.05918775,4.360947026,9771.0,1.325e-05,5.39e-07,506848
25,0,"iPhone16,1",high,3743732167.0,1.058491166,4.384987663,3045098.0,0.0014835,0.000375542,523652
26,0,"iPhone16,1",high,3597260512.0,1.025629,4.093767541,86064.0,6.4125e-05,8.963e-06,489928
27,0,"iPhone16,1",high,3760171180.0,1.057149541,4.494064921,39014.0,5.2791e-05,2.95e-06,516414
28,0,"iPhone16,1",high,3597499292.0,1.02266475,4.14319468,70932.0,8.0166e-05,5.192e-06,492566
29,0,"iPhone16,1",high,3559918370.0,1.018667083,4.008391321,46714.0,6.275e-05,3.361e-06,476684
30,0,"iPhone16,1",high,3650611712.0,1.027613916,4.350039788,14075.0,1.9416e-05,8.3e-07,499760
31,0,"iPhone16,1",high,3655395921.0,1.030469541,4.323858456,144954.0,8.3625e-05,1.707e-05,500058
32,0,"iPhone16,1",high,3623680441.0,1.033070541,4.128732105,31368.0,4.2791e-05,1.967e-06,497702
33,0,"iPhone16,1",high,3607215261.0,1.028200625,4.108785846,25378.0,3.4125e-05,1.882e-06,496156
34,0,"iPhone16,1",high,3650567726.0,1.03349175,4.262555797,43480.0,5.1541e-05,2.773e-06,499692
35,0,"iPhone16,1",high,3656071611.0,1.04452275,4.131034724,35996.0,4.9291e-05,2.664e-06,500132
