model, mode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, primes
iPhone16,1, high, 1369384432.0, 0.38670225, 1.578372747, 12896841.0, 0.007049208, 0.00156615, 9592
iPhone16,1, high, 1375094799.0, 0.363935875, 1.717674084, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1372180297.0, 0.363202541, 1.737161263, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1374688904.0, 0.363837125, 1.79180886, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1372046085.0, 0.363196083, 1.747084755, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1370808504.0, 0.362893291, 1.756054707, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1372677231.0, 0.363354625, 1.811190384, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1374102323.0, 0.363862458, 1.765805879, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1372883049.0, 0.363410916, 1.771808934, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1370721436.0, 0.362837375, 1.822336632, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1369573956.0, 0.362578291, 1.775900693, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1370898467.0, 0.362887541, 1.777314468, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1372538524.0, 0.363324708, 1.776515583, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1370713340.0, 0.362879041, 1.831747923, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1371762562.0, 0.363113291, 1.78403252, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1372391461.0, 0.363255625, 1.787592263, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1371114859.0, 0.362909458, 1.842377246, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1373212749.0, 0.364160458, 1.780302059, 274170.0, 0.000150291, 2.3707e-05, 9592
iPhone16,1, high, 1370557115.0, 0.362768625, 1.795798186, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1372022910.0, 0.363114583, 1.848701527, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1369053083.0, 0.364006166, 1.798006346, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1372598740.0, 0.364705208, 1.792084683, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1372374264.0, 0.364890958, 1.844764878, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1374312644.0, 0.36671075, 1.839218879, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1373107728.0, 0.367405083, 1.780907774, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1373423840.0, 0.367890125, 1.823164251, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1374454007.0, 0.368428458, 1.823950156, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1373794338.0, 0.369532708, 1.809895825, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1374435447.0, 0.370298708, 1.815197642, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1372981709.0, 0.370106333, 1.802335423, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1376049102.0, 0.371058541, 1.809583955, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1377512603.0, 0.372214041, 1.802900499, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1374298900.0, 0.371335083, 1.787198826, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1374437664.0, 0.371511, 1.847559142, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1376680470.0, 0.371682, 1.78616454, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1374955656.0, 0.372191583, 1.779773555, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1373993999.0, 0.372279791, 1.777530716, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1375692662.0, 0.372726958, 1.767347411, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1374424663.0, 0.3726705, 1.816775073, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1376858171.0, 0.373108458, 1.761514309, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1375230507.0, 0.372994541, 1.757302304, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1375556475.0, 0.373341083, 1.805485219, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1376150539.0, 0.373930708, 1.75444399, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1387810885.0, 0.370043083, 1.825207377, 16876.0, 1.2541e-05, 7.59e-07, 9592
iPhone16,1, high, 1374805523.0, 0.367115083, 1.788899412, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1375405199.0, 0.3681165, 1.822216079, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1374611667.0, 0.369267541, 1.819699878, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1374387827.0, 0.369677166, 1.804608188, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1373501782.0, 0.369752666, 1.8007206, 0.0, 0.0, 0.0, 9592
iPhone16,1, high, 1375920075.0, 0.370104708, 1.802875737, 0.0, 0.0, 0.0, 9592
