sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone16,1",low,0.0,0.0,0.0,1309048306.0,0.624058666,0.156001505,77638
0,1,"iPhone16,1",low,0.0,0.0,0.0,1292055454.0,0.6161065,0.153797605,76764
0,2,"iPhone16,1",low,0.0,0.0,0.0,1290252765.0,0.615264708,0.153616042,76814
0,3,"iPhone16,1",low,0.0,0.0,0.0,1297997232.0,0.616292,0.154732755,77610
0,4,"iPhone16,1",low,0.0,0.0,0.0,1289601375.0,0.612322916,0.153740785,77090
0,5,"iPhone16,1",low,0.0,0.0,0.0,1277550778.0,0.606648958,0.152247917,76590
1,0,"iPhone16,1",low,303109488.0,0.248750041,0.130562657,1249191679.0,0.591471666,0.149824624,104362
1,1,"iPhone16,1",low,219252921.0,0.180450708,0.09435705,1374768500.0,0.650931375,0.164886469,100206
1,2,"iPhone16,1",low,142952607.0,0.122946041,0.06072218,1483601328.0,0.702517083,0.178033845,95460
1,3,"iPhone16,1",low,205556011.0,0.164360083,0.089226395,1425385648.0,0.67489775,0.170997205,100798
1,4,"iPhone16,1",low,262000434.0,0.218512,0.112202629,1327637972.0,0.628617291,0.159137419,103400
1,5,"iPhone16,1",low,290580753.0,0.239893,0.124949687,1262477617.0,0.597764375,0.151274943,103732
2,0,"iPhone16,1",low,433721710.0,0.383120958,0.182736473,1267051789.0,0.599955041,0.151906623,115460
2,1,"iPhone16,1",low,284971869.0,0.251388833,0.120014925,1541645853.0,0.729992333,0.185541848,113342
2,2,"iPhone16,1",low,458123429.0,0.406189791,0.192840017,1237932303.0,0.586142875,0.148935099,120004
2,3,"iPhone16,1",low,434889316.0,0.38734975,0.182562242,1279995913.0,0.6060575,0.153972908,117160
2,4,"iPhone16,1",low,312159083.0,0.273427833,0.131673716,1499771776.0,0.710180125,0.180538249,113160
2,5,"iPhone16,1",low,382806896.0,0.341669166,0.160825024,1363212964.0,0.645529083,0.164152994,114936
3,0,"iPhone16,1",low,337998139.0,0.299485041,0.142672114,1501709242.0,0.711082375,0.181273956,132108
