sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"iPhone16,1",low,682737045.0,0.508030208,0.301569508,1116717968.0,0.537597791,0.131321369,149662
1,0,"iPhone16,1",low,1352983832.0,1.006707375,0.597999299,129855.0,6.9666e-05,1.3893e-05,191148
2,0,"iPhone16,1",low,1417970203.0,1.055055541,0.627822949,30205.0,4.0833e-05,1.622e-06,195652
3,0,"iPhone16,1",low,1408156064.0,1.04775375,0.622867671,331401.0,0.000172125,3.6028e-05,194048
4,0,"iPhone16,1",low,1363231314.0,1.014326541,0.603011307,82076.0,5.3833e-05,8.99e-06,185048
5,0,"iPhone16,1",low,1389954116.0,1.03421025,0.615011183,60985.0,8.2958e-05,3.12e-06,181632
6,0,"iPhone16,1",low,1433503721.0,1.066614,0.633180739,162840.0,0.000131041,1.476e-05,197022
7,0,"iPhone16,1",low,1401664291.0,1.042929958,0.620483032,66631.0,6.7833e-05,5.552e-06,194504
8,0,"iPhone16,1",low,1421275668.0,1.057515375,0.62921028,49530.0,6.4958e-05,3.002e-06,195584
9,0,"iPhone16,1",low,1422406590.0,1.058356916,0.629409091,1427549.0,0.000705458,0.000167559,195122
10,0,"iPhone16,1",low,1421846515.0,1.057941375,0.629896113,230497.0,0.000126375,2.3273e-05,194296
11,0,"iPhone16,1",low,1384076911.0,1.029837291,0.613403768,56444.0,3.5833e-05,5.49e-06,183158
12,0,"iPhone16,1",low,1420154423.0,1.056681625,0.629822849,52187.0,7.0416e-05,3.343e-06,190252
13,0,"iPhone16,1",low,1399073419.0,1.041028208,0.619945853,52196.0,6.9541e-05,3.668e-06,194524
14,0,"iPhone16,1",low,1346642374.0,1.001983375,0.596807453,28915.0,3.0458e-05,1.393e-06,188484
15,0,"iPhone16,1",low,1347007052.0,1.002254583,0.597203508,74194.0,7.8625e-05,6.733e-06,181214
16,0,"iPhone16,1",low,1363214405.0,1.01431475,0.604163186,44253.0,6.1833e-05,2.781e-06,182112
17,0,"iPhone16,1",low,1408374144.0,1.047915125,0.624042496,18655.0,2.5416e-05,9.41e-07,194974
18,0,"iPhone16,1",low,1395906084.0,1.038638416,0.618759065,61060.0,7.4375e-05,3.797e-06,193092
19,0,"iPhone16,1",low,1418072362.0,1.0551315,0.628608629,21469.0,2.8958e-05,1.155e-06,194248
20,0,"iPhone16,1",low,1347641370.0,1.002754416,0.597424858,79016.0,4.5291e-05,7.657e-06,173032
21,0,"iPhone16,1",low,1377265003.0,1.02476825,0.610636368,0.0,0.0,0.0,193000
22,0,"iPhone16,1",low,1347750648.0,1.002807916,0.597443731,15905.0,2.15e-05,7.29e-07,188700
23,0,"iPhone16,1",low,1377596713.0,1.02501525,0.610721561,17150.0,2.3458e-05,8.86e-07,187748
24,0,"iPhone16,1",low,1416694175.0,1.054106083,0.627731805,272778.0,0.000140541,3.0664e-05,187150
25,0,"iPhone16,1",low,1368142395.0,1.01798075,0.605566063,18309.0,1.6291e-05,1.215e-06,186720
26,0,"iPhone16,1",low,1391504554.0,1.0353635,0.616683614,36592.0,5.1666e-05,2.367e-06,193340
27,0,"iPhone16,1",low,1420737570.0,1.057114583,0.629668023,40175.0,5.5e-05,2.735e-06,195180
