model, mode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, primes
"iPhone16,1", low, 0.0, 0.0, 0.0, 3679704654.0, 1.868478375, 0.411767637, 9592
"iPhone16,1", low, 773250348.0, 0.57536475, 0.340796595, 1603379219.0, 0.76113825, 0.191628157, 9592
"iPhone16,1", low, 1373075144.0, 1.021648458, 0.609883089, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1372256992.0, 1.021065208, 0.611018736, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1373711146.0, 1.022121958, 0.610419065, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1373361207.0, 1.021862166, 0.616491037, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374705378.0, 1.022862041, 0.610184759, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1372522764.0, 1.021237875, 0.610753143, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1373353359.0, 1.021855833, 0.61055055, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374563384.0, 1.022756291, 0.610053738, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1372021426.0, 1.020879708, 0.617458683, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1375011182.0, 1.023089458, 0.609999137, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1373799799.0, 1.022188, 0.610526518, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1373173691.0, 1.021721958, 0.611478487, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1375682911.0, 1.023589, 0.610014387, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1372181664.0, 1.020984166, 0.611310446, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1377455125.0, 1.024907375, 0.610126679, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374324672.0, 1.022578375, 0.610503091, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1368318253.0, 1.018113625, 0.613100263, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1372373348.0, 1.021126708, 0.611952316, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1375633114.0, 1.023552333, 0.616814582, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374203990.0, 1.0224885, 0.61106553, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1375439667.0, 1.023407625, 0.610474736, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374503537.0, 1.022711583, 0.610893711, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374727028.0, 1.022877833, 0.616775323, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1375352606.0, 1.023351833, 0.610481102, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1372876019.0, 1.021500166, 0.611360838, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374098442.0, 1.022409958, 0.611105258, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374471855.0, 1.02268775, 0.616917874, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374319482.0, 1.02257475, 0.610962331, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1373871035.0, 1.022240708, 0.610919498, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374537777.0, 1.022736666, 0.610643249, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374490432.0, 1.022706541, 0.610655272, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374010162.0, 1.022344333, 0.616744716, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1375031116.0, 1.023104166, 0.610464119, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1378877262.0, 1.025965708, 0.615343326, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1373890965.0, 1.022255458, 0.610766926, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374366956.0, 1.022609625, 0.610463295, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374052130.0, 1.022375291, 0.610534862, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1373896641.0, 1.022270625, 0.610574168, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374144239.0, 1.022443833, 0.616523501, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374697064.0, 1.022855333, 0.610514091, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1373412799.0, 1.021899875, 0.610765704, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1373614009.0, 1.019395541, 0.613497266, 77711.0, 4.3916e-05, 7.563e-06, 9592
"iPhone16,1", low, 1373868162.0, 1.022238875, 0.610871375, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374428678.0, 1.0226555, 0.610375768, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1374279133.0, 1.022543958, 0.616428793, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1373697122.0, 1.022140375, 0.610708412, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1373193021.0, 1.021736083, 0.610923893, 0.0, 0.0, 0.0, 9592
"iPhone16,1", low, 1373518122.0, 1.021978166, 0.610834847, 0.0, 0.0, 0.0, 9592
