model, mode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, primes
MacBookPro18,2, high, 1373378115.0, 0.428757041, 2.017314983, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1370341878.0, 0.4266175, 1.974383843, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1370849871.0, 0.42803725, 2.065047146, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1370377896.0, 0.428348875, 1.998228309, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1370338829.0, 0.4266425, 2.039842082, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1372199468.0, 0.429740416, 2.00249328, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1372166993.0, 0.4288225, 2.035983848, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371185306.0, 0.433216708, 1.98403385, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371366799.0, 0.428039, 2.036514772, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371310412.0, 0.42793725, 2.037322703, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1370257509.0, 0.427923166, 1.991565472, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371756064.0, 0.428190458, 2.044217991, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371703248.0, 0.429097833, 1.992230355, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1372312426.0, 0.430707, 2.056078123, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1370128194.0, 0.427931625, 1.979672643, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371893559.0, 0.428275333, 2.05260014, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371584755.0, 0.429447041, 2.002757593, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371388318.0, 0.427855833, 2.010205192, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371789473.0, 0.428184666, 2.012722483, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371301503.0, 0.432777625, 2.054747218, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1370830625.0, 0.428521583, 2.019367821, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1372195828.0, 0.4280625, 2.023463991, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1372473905.0, 0.428838625, 2.00851109, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371474834.0, 0.42892325, 2.020331112, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1370947810.0, 0.427265541, 2.016462906, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371266088.0, 0.428253791, 1.994034968, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1375152798.0, 0.429700708, 2.033438493, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1372399719.0, 0.428118875, 2.032948613, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371552803.0, 0.428186791, 1.996074215, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1370735603.0, 0.42930575, 2.055039627, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371879391.0, 0.428162, 1.982649726, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371744516.0, 0.432690458, 2.057337365, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371679618.0, 0.42839375, 1.999179085, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371101455.0, 0.428151083, 2.043780188, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371393519.0, 0.428886916, 2.014779161, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371603649.0, 0.427808166, 2.024710355, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1372526852.0, 0.4290975, 2.020133283, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371828915.0, 0.428248958, 1.9980272, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371245459.0, 0.42790225, 2.011376284, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1372299295.0, 0.428649958, 2.025780437, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371065780.0, 0.428078708, 2.024557386, 12350.0, 1.2708e-05, 5.49e-07, 9592
MacBookPro18,2, high, 1372464691.0, 0.4285165, 2.047394634, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371046886.0, 0.427582416, 2.005568908, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371992968.0, 0.428816375, 1.996214409, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371518672.0, 0.432207666, 2.054501283, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371503611.0, 0.42801525, 2.020382809, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371485295.0, 0.427418875, 1.982890763, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1372238212.0, 0.428202125, 1.997713073, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1371951364.0, 0.428760666, 2.030544011, 0.0, 0.0, 0.0, 9592
MacBookPro18,2, high, 1372077768.0, 0.428489875, 2.02427631, 0.0, 0.0, 0.0, 9592
