sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"MacBookPro18,2",low,2179896283.0,0.819780916,2.543357403,400331202.0,0.194450083,0.059929682,329633
0,1,"MacBookPro18,2",low,2202672466.0,0.835726583,2.553296519,384151985.0,0.186136083,0.057542084,331606
0,2,"MacBookPro18,2",low,2218929939.0,0.839992416,2.576006643,311392317.0,0.150868875,0.046734342,332908
0,3,"MacBookPro18,2",low,2273656220.0,0.850533625,2.658657206,351855889.0,0.170475416,0.052795751,337830
0,4,"MacBookPro18,2",low,2183534235.0,0.826105458,2.536352413,379656386.0,0.183942416,0.056951352,329310
0,5,"MacBookPro18,2",low,2317300446.0,0.871741583,2.696897503,307145188.0,0.148812291,0.046002978,339876
0,6,"MacBookPro18,2",low,2182300873.0,0.8226715,2.540471137,384370196.0,0.186227041,0.057520444,329286
0,7,"MacBookPro18,2",low,2198049784.0,0.822737,2.569493899,406705451.0,0.197048125,0.061084679,332530
0,8,"MacBookPro18,2",low,2262690689.0,0.854873083,2.626213769,370131560.0,0.17932775,0.055344315,337188
0,9,"MacBookPro18,2",low,2153692612.0,0.806084666,2.514195285,435115475.0,0.2108115,0.065331499,327892
1,0,"MacBookPro18,2",low,2215116274.0,0.827871041,2.594355053,357810417.0,0.173357666,0.053463367,314477
1,1,"MacBookPro18,2",low,2184407990.0,0.816386875,2.557765976,350718668.0,0.169921958,0.052384257,312180
1,2,"MacBookPro18,2",low,2046671713.0,0.764912958,2.397318462,469147164.0,0.227301208,0.070131335,301988
1,3,"MacBookPro18,2",low,2331139921.0,0.8712295,2.73118593,290235682.0,0.1406175,0.043251559,336240
1,4,"MacBookPro18,2",low,2223941697.0,0.831157583,2.606437294,370440900.0,0.179477583,0.055339089,315808
1,5,"MacBookPro18,2",low,2155474021.0,0.805576666,2.52484076,397912172.0,0.192786916,0.05951551,308890
1,6,"MacBookPro18,2",low,2280817440.0,0.852425125,2.67167352,317298347.0,0.153730458,0.047385002,320500
1,7,"MacBookPro18,2",low,2199547999.0,0.822060125,2.577217527,374775962.0,0.181577375,0.056011624,313748
1,8,"MacBookPro18,2",low,2193727487.0,0.819868333,2.57046252,360690514.0,0.174753291,0.053895921,311092
1,9,"MacBookPro18,2",low,2312230562.0,0.864161375,2.709656436,293778388.0,0.1423345,0.043883671,320874
2,0,"MacBookPro18,2",low,2073030639.0,0.774759625,2.429158984,394298983.0,0.191036875,0.058920996,301992
2,1,"MacBookPro18,2",low,2228211938.0,0.832748958,2.612449472,301107516.0,0.145885958,0.044960676,324932
2,2,"MacBookPro18,2",low,2133524123.0,0.797364125,2.501357559,378277687.0,0.183274458,0.05657839,305944
2,3,"MacBookPro18,2",low,2082280471.0,0.778212,2.440876504,358438182.0,0.173662333,0.053526689,302876
2,4,"MacBookPro18,2",low,2170459244.0,0.811168416,2.542665784,339579765.0,0.164525625,0.050652738,320854
2,5,"MacBookPro18,2",low,2050567494.0,0.766361,2.403089917,401173337.0,0.194367208,0.059899021,300350
2,6,"MacBookPro18,2",low,2240956578.0,0.837523833,2.62548213,328340678.0,0.159079916,0.049051293,331252
2,7,"MacBookPro18,2",low,2165145775.0,0.809180291,2.53820362,332493980.0,0.161093125,0.049669452,321644
2,8,"MacBookPro18,2",low,2203216015.0,0.823407875,2.582102941,326494602.0,0.158186166,0.048729329,329636
2,9,"MacBookPro18,2",low,2174149759.0,0.812551416,2.546974413,309477631.0,0.149941208,0.046209937,323104
