model, mode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, primes
"MacBookPro18,2", low, 1370535344.0, 0.512216208, 1.569545017, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370695272.0, 0.512333666, 1.618978859, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369827366.0, 0.512820541, 1.572421373, 27361.0, 2.8125e-05, 6.23e-07, 9592
"MacBookPro18,2", low, 1370884749.0, 0.512344791, 1.618599855, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369896560.0, 0.511976166, 1.593893023, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369838837.0, 0.51197725, 1.589922185, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369744812.0, 0.511919333, 1.590189056, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370071989.0, 0.512034833, 1.589832028, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369980140.0, 0.512028125, 1.616799279, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370515739.0, 0.5122055, 1.570209449, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369804730.0, 0.511943375, 1.597876858, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370070359.0, 0.5120405, 1.61250917, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369926286.0, 0.512602833, 1.588352747, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369874906.0, 0.511962875, 1.589805268, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370101707.0, 0.512050541, 1.589985452, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370567848.0, 0.5122285, 1.620489103, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370258362.0, 0.512106708, 1.582053627, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370012505.0, 0.512018916, 1.596247135, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370080565.0, 0.512037583, 1.587741328, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1371098154.0, 0.512420333, 1.618335712, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370864429.0, 0.512333375, 1.570211348, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370518736.0, 0.512209416, 1.60492373, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370689312.0, 0.512271333, 1.612000934, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370029592.0, 0.512679041, 1.5780655, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370250730.0, 0.512103333, 1.588061853, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369980367.0, 0.512004208, 1.619801962, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370223071.0, 0.512096875, 1.573921379, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369168609.0, 0.511704625, 1.590493474, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369791077.0, 0.511936208, 1.596597696, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370358096.0, 0.51216525, 1.622803972, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369841395.0, 0.511953916, 1.590219194, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1377074232.0, 0.51465425, 1.582140094, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370137781.0, 0.512064208, 1.587673967, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369305013.0, 0.511749083, 1.615116515, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369860096.0, 0.5124215, 1.588197488, 23115.0, 1.7375e-05, 7.97e-07, 9592
"MacBookPro18,2", low, 1370357040.0, 0.512142916, 1.604403482, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369494657.0, 0.511818083, 1.590546636, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370111696.0, 0.512046375, 1.589765282, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369795162.0, 0.511940333, 1.604018466, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370566139.0, 0.5122235, 1.590600624, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370385717.0, 0.512156666, 1.590132939, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370165112.0, 0.512072, 1.620502661, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370634660.0, 0.512246833, 1.58983668, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369806156.0, 0.511948166, 1.593573425, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369683448.0, 0.512510083, 1.584473387, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370343814.0, 0.512143083, 1.619972349, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370149609.0, 0.512069458, 1.58981642, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370144915.0, 0.512065708, 1.588205818, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1369777583.0, 0.511926583, 1.589083018, 0.0, 0.0, 0.0, 9592
"MacBookPro18,2", low, 1370166427.0, 0.512088166, 1.588508482, 0.0, 0.0, 0.0, 9592
