sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"MacBookPro18,3",high,2259945635.0,0.758048916,3.16109459,513005334.0,0.249330291,0.070789736,341678
0,1,"MacBookPro18,3",high,2351034212.0,0.792730333,3.272896511,467501981.0,0.226630416,0.064506418,347776
0,2,"MacBookPro18,3",high,2267133628.0,0.758841625,3.168897202,509417691.0,0.246812916,0.07035941,342280
0,3,"MacBookPro18,3",high,2320638287.0,0.778946166,3.233355366,493905945.0,0.239296541,0.068252478,348238
0,4,"MacBookPro18,3",high,2335462941.0,0.781748625,3.234012992,481614467.0,0.23334125,0.066531575,347040
0,5,"MacBookPro18,3",high,2248777663.0,0.760140041,3.116607181,496162802.0,0.240389833,0.068560131,342390
0,6,"MacBookPro18,3",high,2311912354.0,0.770466166,3.23458483,514518684.0,0.24929025,0.071082467,346140
0,7,"MacBookPro18,3",high,2326953504.0,0.780065125,3.238008837,490064719.0,0.237435791,0.067723488,348526
1,0,"MacBookPro18,3",high,2406827799.0,0.792766166,3.407030687,500703405.0,0.242589583,0.069146247,353876
1,1,"MacBookPro18,3",high,2419136053.0,0.7968205,3.425790418,472588421.0,0.22896825,0.065196876,358786
1,2,"MacBookPro18,3",high,2392772901.0,0.788136666,3.387932854,504230585.0,0.244298458,0.069624165,351982
1,3,"MacBookPro18,3",high,2408105964.0,0.793187125,3.404755045,511151742.0,0.247652,0.070563858,351170
1,4,"MacBookPro18,3",high,2341543376.0,0.771262333,3.340346132,482649607.0,0.233843083,0.066582075,348392
1,5,"MacBookPro18,3",high,2424402025.0,0.79855475,3.432527466,475661417.0,0.230456833,0.065627808,352946
1,6,"MacBookPro18,3",high,2449598727.0,0.80685425,3.469043201,453598869.0,0.2197675,0.062585155,361316
1,7,"MacBookPro18,3",high,2396017319.0,0.789205333,3.392955372,480497330.0,0.232807416,0.066325088,349490
2,0,"MacBookPro18,3",high,2447141887.0,0.806047125,3.46670788,473755655.0,0.229534333,0.065393433,363398
2,1,"MacBookPro18,3",high,2412633120.0,0.794678375,3.419894467,474993922.0,0.230133958,0.065542963,359186
2,2,"MacBookPro18,3",high,2392514539.0,0.788051875,3.390756501,484236153.0,0.234612083,0.066857358,351378
2,3,"MacBookPro18,3",high,2434078665.0,0.801741958,3.454747044,498975426.0,0.241752416,0.0689013,368970
2,4,"MacBookPro18,3",high,2413231551.0,0.79487525,3.418389132,493516653.0,0.239108625,0.068080585,352980
2,5,"MacBookPro18,3",high,2478277807.0,0.8163045,3.511540515,483194207.0,0.234107041,0.066701091,366782
2,6,"MacBookPro18,3",high,2385006334.0,0.7855785,3.381017732,493374882.0,0.239039208,0.068096484,353986
2,7,"MacBookPro18,3",high,2423877934.0,0.798382416,3.434574243,495147403.0,0.2398985,0.068381734,367342
3,0,"MacBookPro18,3",high,2279637076.0,0.750879708,3.232747335,474417892.0,0.229854958,0.065415116,332976
3,1,"MacBookPro18,3",high,2249950028.0,0.7410935,3.190651518,458085898.0,0.221942166,0.063196216,326894
3,2,"MacBookPro18,3",high,2238188630.0,0.737221625,3.17318339,445185559.0,0.215691916,0.061405564,339236
3,3,"MacBookPro18,3",high,2349335994.0,0.773829583,3.331397436,434256401.0,0.210396583,0.05994994,339038
3,4,"MacBookPro18,3",high,2321646588.0,0.764709041,3.290763337,432689640.0,0.209636791,0.059670526,343130
3,5,"MacBookPro18,3",high,2302956629.0,0.758552833,3.266575099,454915614.0,0.220405041,0.062795801,333450
3,6,"MacBookPro18,3",high,2403345751.0,0.791623041,3.407540574,432112117.0,0.2093575,0.059671323,352316
3,7,"MacBookPro18,3",high,2375566562.0,0.782469416,3.368821855,438573430.0,0.212488666,0.060545771,340958
4,0,"MacBookPro18,3",high,2247708548.0,0.740355208,3.189062639,476340299.0,0.23078675,0.065757696,337226
4,1,"MacBookPro18,3",high,2273544122.0,0.748865208,3.226219901,447996769.0,0.217053708,0.061805702,340556
