sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"MacBookPro18,3",high,3287695910.0,1.026643458,4.597243899,0.0,0.0,0.0,448740
1,0,"MacBookPro18,3",high,3232993088.0,1.002588791,4.528848494,0.0,0.0,0.0,445834
2,0,"MacBookPro18,3",high,3390960214.0,1.05101975,4.78182412,0.0,0.0,0.0,473324
3,0,"MacBookPro18,3",high,3302823899.0,1.023625208,4.648280694,0.0,0.0,0.0,451640
4,0,"MacBookPro18,3",high,3288771021.0,1.019354541,4.608336064,0.0,0.0,0.0,447942
5,0,"MacBookPro18,3",high,3445284167.0,1.067665291,4.836838381,0.0,0.0,0.0,468088
6,0,"MacBookPro18,3",high,3343211626.0,1.03604925,4.745532296,0.0,0.0,0.0,456846
7,0,"MacBookPro18,3",high,3279792939.0,1.016298916,4.591846748,0.0,0.0,0.0,447042
8,0,"MacBookPro18,3",high,3327192212.0,1.031125416,4.694059186,0.0,0.0,0.0,453090
9,0,"MacBookPro18,3",high,3387051320.0,1.049689208,4.776022358,0.0,0.0,0.0,469270
10,0,"MacBookPro18,3",high,3452047015.0,1.070473625,4.849227069,0.0,0.0,0.0,470910
11,0,"MacBookPro18,3",high,3355323924.0,1.039901833,4.728407245,0.0,0.0,0.0,456600
12,0,"MacBookPro18,3",high,3384933900.0,1.049087875,4.728231432,0.0,0.0,0.0,457308
13,0,"MacBookPro18,3",high,3279010187.0,1.016272083,4.65112945,0.0,0.0,0.0,448720
14,0,"MacBookPro18,3",high,3321886330.0,1.029565791,4.677784628,0.0,0.0,0.0,453482
15,0,"MacBookPro18,3",high,3431075252.0,1.063353125,4.826933286,0.0,0.0,0.0,481382
16,0,"MacBookPro18,3",high,3271487925.0,1.013912833,4.607766576,0.0,0.0,0.0,445456
17,0,"MacBookPro18,3",high,3411367827.0,1.057206375,4.778938681,0.0,0.0,0.0,463110
18,0,"MacBookPro18,3",high,3378854494.0,1.047316625,4.777241619,0.0,0.0,0.0,457610
19,0,"MacBookPro18,3",high,3369057167.0,1.044147291,4.753344337,0.0,0.0,0.0,467094
20,0,"MacBookPro18,3",high,3390738271.0,1.050856583,4.774227472,0.0,0.0,0.0,465422
21,0,"MacBookPro18,3",high,3395951735.0,1.052565125,4.780657141,0.0,0.0,0.0,459214
22,0,"MacBookPro18,3",high,3387155213.0,1.049738375,4.773248887,0.0,0.0,0.0,458484
23,0,"MacBookPro18,3",high,3427181599.0,1.062141458,4.826542142,0.0,0.0,0.0,477518
24,0,"MacBookPro18,3",high,3417801557.0,1.0591855,4.821191236,0.0,0.0,0.0,465902
25,0,"MacBookPro18,3",high,3442062985.0,1.066745083,4.844447341,0.0,0.0,0.0,473930
26,0,"MacBookPro18,3",high,3280841338.0,1.016808666,4.624830491,0.0,0.0,0.0,444672
27,0,"MacBookPro18,3",high,3438823519.0,1.065729708,4.831958872,0.0,0.0,0.0,471814
28,0,"MacBookPro18,3",high,3354754970.0,1.039632375,4.744410104,0.0,0.0,0.0,458580
29,0,"MacBookPro18,3",high,3411574789.0,1.057244958,4.808820624,0.0,0.0,0.0,458954
30,0,"MacBookPro18,3",high,3372059620.0,1.045084625,4.749514468,0.0,0.0,0.0,472592
31,0,"MacBookPro18,3",high,3261752834.0,1.010848958,4.580710434,0.0,0.0,0.0,441478
32,0,"MacBookPro18,3",high,3393999717.0,1.051864041,4.801522162,0.0,0.0,0.0,466460
33,0,"MacBookPro18,3",high,3376523032.0,1.046426416,4.745603035,0.0,0.0,0.0,457156
34,0,"MacBookPro18,3",high,3401258533.0,1.054165,4.778726538,0.0,0.0,0.0,459704
35,0,"MacBookPro18,3",high,3416686938.0,1.058870625,4.838945975,0.0,0.0,0.0,479208
36,0,"MacBookPro18,3",high,3452420611.0,1.0701655,4.848859755,0.0,0.0,0.0,465702
37,0,"MacBookPro18,3",high,3440279220.0,1.066157333,4.86091127,0.0,0.0,0.0,473948
38,0,"MacBookPro18,3",high,3453397423.0,1.070293458,4.834143661,0.0,0.0,0.0,469172
39,0,"MacBookPro18,3",high,3310756174.0,1.027476041,4.69724114,0.0,0.0,0.0,454750
40,0,"MacBookPro18,3",high,3283607785.0,1.017725083,4.624567991,0.0,0.0,0.0,448242
41,0,"MacBookPro18,3",high,3367691119.0,1.043785916,4.748103179,0.0,0.0,0.0,455244
42,0,"MacBookPro18,3",high,3331524678.0,1.032914083,4.674698778,0.0,0.0,0.0,453444
43,0,"MacBookPro18,3",high,3253130725.0,1.008203083,4.557892335,0.0,0.0,0.0,446528
44,0,"MacBookPro18,3",high,3252875484.0,1.008154041,4.630679984,0.0,0.0,0.0,447384
45,0,"MacBookPro18,3",high,3323300131.0,1.029946291,4.680823104,35855.0,1.9208e-05,2.71e-06,452626
46,0,"MacBookPro18,3",high,3287001775.0,1.019595083,4.591512935,0.0,0.0,0.0,449438
47,0,"MacBookPro18,3",high,3369474921.0,1.044365208,4.759327117,10006.0,1.0625e-05,5.63e-07,456240
48,0,"MacBookPro18,3",high,3333516286.0,1.033090791,4.700138827,0.0,0.0,0.0,461892
49,0,"MacBookPro18,3",high,3441312912.0,1.06646075,4.828072007,0.0,0.0,0.0,473000
