sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"MacBookPro18,3",low,1810597074.0,0.748493,1.826545402,453734333.0,0.220320041,0.062585067,282528
0,1,"MacBookPro18,3",low,1864998629.0,0.771438375,1.87688986,468758219.0,0.227558375,0.064687348,287962
0,2,"MacBookPro18,3",low,1874194454.0,0.77627875,1.92960189,451995964.0,0.218991208,0.062415395,287962
0,3,"MacBookPro18,3",low,1809940558.0,0.748699666,1.872862768,471177765.0,0.228284125,0.065041194,282368
0,4,"MacBookPro18,3",low,1837933819.0,0.760146708,1.897269661,462664396.0,0.224159833,0.063899508,284842
0,5,"MacBookPro18,3",low,1840930972.0,0.758635916,1.863900984,473635484.0,0.229474541,0.065431912,285976
0,6,"MacBookPro18,3",low,1819001687.0,0.7490685,1.861070897,497415354.0,0.240996958,0.068715131,284266
0,7,"MacBookPro18,3",low,1822154711.0,0.751736791,1.856616155,467266178.0,0.226389375,0.064515834,283598
1,0,"MacBookPro18,3",low,1993699950.0,0.814422958,2.033240517,418028253.0,0.202534041,0.057660064,294004
1,1,"MacBookPro18,3",low,1947463266.0,0.795535291,2.009867202,433118603.0,0.209845666,0.059759671,291216
1,2,"MacBookPro18,3",low,1939633701.0,0.792336583,1.997450566,397551557.0,0.192612958,0.054868371,288958
1,3,"MacBookPro18,3",low,1877775873.0,0.767072,1.950438836,468742216.0,0.227104375,0.064653009,278492
1,4,"MacBookPro18,3",low,2017059370.0,0.823964958,2.048304369,424649558.0,0.205742041,0.058584899,299028
1,5,"MacBookPro18,3",low,1929101538.0,0.788034375,1.986630063,475779374.0,0.230514458,0.065665344,290206
1,6,"MacBookPro18,3",low,1963254349.0,0.801985666,2.025143774,424689864.0,0.205761541,0.058603437,293010
1,7,"MacBookPro18,3",low,1913272164.0,0.781568041,1.943273894,470918755.0,0.228159125,0.06499054,287960
2,0,"MacBookPro18,3",low,1844506435.0,0.753477083,1.88440401,432022909.0,0.209313541,0.059676006,267598
2,1,"MacBookPro18,3",low,1787225635.0,0.730082416,1.837742702,467803088.0,0.226649208,0.064564654,263180
2,2,"MacBookPro18,3",low,1772725785.0,0.724155166,1.864923276,494697411.0,0.239679916,0.068269546,264336
2,3,"MacBookPro18,3",low,1803881157.0,0.736882166,1.874758097,480375280.0,0.232740458,0.066292165,273286
2,4,"MacBookPro18,3",low,1819039653.0,0.743074208,1.862136134,442695719.0,0.214485541,0.061084932,264202
2,5,"MacBookPro18,3",low,1900861411.0,0.776498416,1.948224671,421313362.0,0.204125375,0.058163153,271926
2,6,"MacBookPro18,3",low,1823803247.0,0.745020375,1.870555999,460948543.0,0.223328208,0.063631907,265984
2,7,"MacBookPro18,3",low,1904262880.0,0.777887583,1.93541908,410596956.0,0.198933,0.056690748,274412
3,0,"MacBookPro18,3",low,1855068910.0,0.757792083,1.888309281,433534955.0,0.210046791,0.059797243,283056
3,1,"MacBookPro18,3",low,1884100323.0,0.769651458,1.962517388,425682925.0,0.206242708,0.058727542,285288
3,2,"MacBookPro18,3",low,1869460837.0,0.763671,1.92443244,460839508.0,0.223276625,0.063574,285424
3,3,"MacBookPro18,3",low,1950671341.0,0.796845583,2.011638092,402728054.0,0.195120458,0.055623743,292056
3,4,"MacBookPro18,3",low,1891052224.0,0.77249125,1.917378392,433062249.0,0.209818125,0.059705975,288814
3,5,"MacBookPro18,3",low,1906441953.0,0.778778083,1.9850928,450503037.0,0.218268583,0.062140257,290338
3,6,"MacBookPro18,3",low,1877391701.0,0.766910875,1.930824637,456263094.0,0.221058583,0.062954375,286176
3,7,"MacBookPro18,3",low,1772757131.0,0.72416825,1.815263227,501921580.0,0.24318025,0.069222372,274536
4,0,"MacBookPro18,3",low,1920559973.0,0.784548208,1.989938099,498634197.0,0.241587125,0.068794906,286322
4,1,"MacBookPro18,3",low,1934488850.0,0.790235208,1.977957077,494578148.0,0.239621416,0.068208753,289980
4,2,"MacBookPro18,3",low,1959633624.0,0.800506541,2.024327036,486240696.0,0.235582375,0.067116949,290528
4,3,"MacBookPro18,3",low,1984118338.0,0.810508625,2.038627262,481707668.0,0.233387458,0.06643521,292978
4,4,"MacBookPro18,3",low,1995336837.0,0.81509125,2.037975685,475032038.0,0.230152375,0.065541694,296316
4,5,"MacBookPro18,3",low,1960762352.0,0.80096775,2.028084572,470738764.0,0.228071541,0.064955822,294666
4,6,"MacBookPro18,3",low,1979266171.0,0.808526583,2.030997878,473673849.0,0.229493666,0.065410498,295660
4,7,"MacBookPro18,3",low,1931943978.0,0.789200208,1.971036645,492847159.0,0.23878325,0.067946795,279156
5,0,"MacBookPro18,3",low,1898071270.0,0.775358583,1.967625913,517880095.0,0.250911833,0.07147265,281030
5,1,"MacBookPro18,3",low,1999856615.0,0.81694025,2.04005372,458706001.0,0.222242666,0.063288938,294600
5,2,"MacBookPro18,3",low,1965555385.0,0.80292575,1.990264439,466448667.0,0.225993291,0.064368322,284374
5,3,"MacBookPro18,3",low,1944990821.0,0.794525125,2.035197199,498348126.0,0.241448833,0.068798472,280710
5,4,"MacBookPro18,3",low,1915443293.0,0.782455125,1.976323476,498225797.0,0.241389333,0.068744293,288890
5,5,"MacBookPro18,3",low,1970102430.0,0.804783166,2.041215476,493312763.0,0.2390085,0.068116633,295758
5,6,"MacBookPro18,3",low,1897531622.0,0.775138291,1.971692122,487329690.0,0.236109583,0.067282535,274434
5,7,"MacBookPro18,3",low,2004590266.0,0.818873666,2.029369127,452555462.0,0.21926875,0.062428616,299136
6,0,"MacBookPro18,3",low,1774602800.0,0.724922041,1.858657099,475538539.0,0.23039725,0.065588988,273998
6,1,"MacBookPro18,3",low,1828337397.0,0.7468725,1.883414623,458411773.0,0.2221005,0.063259245,275334
6,2,"MacBookPro18,3",low,1853940212.0,0.757330708,1.888986823,441703251.0,0.214004791,0.060955143,283198
6,3,"MacBookPro18,3",low,1768421139.0,0.72240125,1.814221659,449009900.0,0.2175445,0.061936368,278518
6,4,"MacBookPro18,3",low,1831239150.0,0.748057583,1.860646817,453962667.0,0.219956041,0.062664102,270344
6,5,"MacBookPro18,3",low,1885373529.0,0.770171708,1.954601873,412633277.0,0.19991975,0.05696476,269538
6,6,"MacBookPro18,3",low,1905223475.0,0.778280375,1.966581363,432513859.0,0.209551916,0.059725949,289390
6,7,"MacBookPro18,3",low,1851159537.0,0.756195041,1.903575109,455923642.0,0.220894416,0.062909101,284488
7,0,"MacBookPro18,3",low,1831311396.0,0.7480875,1.893511098,453377792.0,0.219660541,0.062576233,270530
7,1,"MacBookPro18,3",low,1895276880.0,0.774217291,1.929391321,432664372.0,0.209624875,0.059750002,284820
7,2,"MacBookPro18,3",low,1850775930.0,0.756044,1.902328989,448588803.0,0.217340333,0.061915992,272936
7,3,"MacBookPro18,3",low,1876678307.0,0.7666195,1.930730738,440456757.0,0.213400416,0.060774172,268452
7,4,"MacBookPro18,3",low,1887094567.0,0.770874666,1.954800064,453729259.0,0.219830833,0.062653204,285044
7,5,"MacBookPro18,3",low,1851311484.0,0.756257416,1.904491537,455994512.0,0.220928333,0.062943491,285228
7,6,"MacBookPro18,3",low,1825784018.0,0.745829083,1.882618428,460966371.0,0.223337583,0.063625279,278370
7,7,"MacBookPro18,3",low,1783006200.0,0.728354541,1.818773976,473783259.0,0.229546791,0.065400081,261960
8,0,"MacBookPro18,3",low,1894766329.0,0.774008666,1.965247985,452326846.0,0.2191515,0.062427111,289112
8,1,"MacBookPro18,3",low,1913464277.0,0.7816465,1.952472904,467652003.0,0.226576833,0.064497185,274748
8,2,"MacBookPro18,3",low,1860068312.0,0.759838333,1.932847957,470066459.0,0.227746583,0.064869754,280570
8,3,"MacBookPro18,3",low,1903114298.0,0.777418958,1.949576128,473206357.0,0.229268,0.065307893,290688
8,4,"MacBookPro18,3",low,1862062638.0,0.760649041,1.910473792,481296363.0,0.233186916,0.066413426,270158
8,5,"MacBookPro18,3",low,1849262476.0,0.75542,1.890600312,473895441.0,0.229600708,0.065421726,279192
8,6,"MacBookPro18,3",low,1921107851.0,0.784769,1.988572949,429242504.0,0.207967416,0.059232111,276820
8,7,"MacBookPro18,3",low,1930412255.0,0.788569541,1.99806563,436488593.0,0.2114775,0.060276871,291532
9,0,"MacBookPro18,3",low,1895485277.0,0.774303833,1.929690207,451354846.0,0.218680625,0.062278235,269842
9,1,"MacBookPro18,3",low,1882662730.0,0.769064125,1.907901477,438996436.0,0.212691625,0.060573576,287462
9,2,"MacBookPro18,3",low,1881446814.0,0.768569583,1.92834257,454640674.0,0.220273541,0.062739722,284020
9,3,"MacBookPro18,3",low,1829597076.0,0.74738675,1.902320827,454235182.0,0.22007625,0.062641451,278058
9,4,"MacBookPro18,3",low,1879750729.0,0.76787475,1.953299321,466345143.0,0.225942333,0.0643538,288240
9,5,"MacBookPro18,3",low,1882057849.0,0.768818833,1.917430565,431701441.0,0.209158208,0.059585278,277868
9,6,"MacBookPro18,3",low,1882577900.0,0.769029375,1.968739491,451691628.0,0.218844375,0.062331204,286980
9,7,"MacBookPro18,3",low,1856112748.0,0.758218708,1.926132689,470092059.0,0.227759416,0.064844323,279450
10,0,"MacBookPro18,3",low,1901676896.0,0.776831375,1.972703285,474279965.0,0.22978725,0.0654238,290722
10,1,"MacBookPro18,3",low,1952668489.0,0.79766175,1.984347575,472846022.0,0.229093208,0.065284367,293758
10,2,"MacBookPro18,3",low,1942986780.0,0.7937065,1.999312069,473536559.0,0.229427625,0.065326625,283940
10,3,"MacBookPro18,3",low,1974185164.0,0.806450958,2.04716167,469019747.0,0.227246625,0.064734513,282674
10,4,"MacBookPro18,3",low,1902336407.0,0.777100791,1.983888534,514796146.0,0.2494175,0.07095106,288998
10,5,"MacBookPro18,3",low,2010733565.0,0.821380916,2.037197436,453607839.0,0.219771791,0.062594505,298032
10,6,"MacBookPro18,3",low,1972090964.0,0.805595458,2.048064496,451516293.0,0.218758,0.062313282,293690
10,7,"MacBookPro18,3",low,1900650933.0,0.776412458,1.942050889,494258039.0,0.239466625,0.068245567,279604
11,0,"MacBookPro18,3",low,1854616106.0,0.75760725,1.879070682,473619838.0,0.229467958,0.065286445,284678
11,1,"MacBookPro18,3",low,1909190996.0,0.779903708,1.964926813,454389700.0,0.220151125,0.062720583,276998
11,2,"MacBookPro18,3",low,1908732583.0,0.779716958,1.967424212,455867924.0,0.220866666,0.062935617,285604
11,3,"MacBookPro18,3",low,1874750302.0,0.765832166,1.960218399,469476098.0,0.227460125,0.064790405,288062
11,4,"MacBookPro18,3",low,1902615437.0,0.777214791,1.940568429,466914599.0,0.226219208,0.064442506,273902
11,5,"MacBookPro18,3",low,1880610819.0,0.768226208,1.953640315,472791098.0,0.229066416,0.065218288,283382
11,6,"MacBookPro18,3",low,1874607990.0,0.765773583,1.936213609,475973648.0,0.230608166,0.065727899,273866
11,7,"MacBookPro18,3",low,1927268977.0,0.787285916,1.975836261,457874636.0,0.221839166,0.063221797,291476
12,0,"MacBookPro18,3",low,1966681112.0,0.803385583,1.994009972,477337617.0,0.231268791,0.065854441,287400
12,1,"MacBookPro18,3",low,1963646656.0,0.802146375,1.997604542,472477737.0,0.228914166,0.065177571,292366
12,2,"MacBookPro18,3",low,1956605062.0,0.799269583,2.031969036,453051045.0,0.219502875,0.062563131,294000
12,3,"MacBookPro18,3",low,1959958607.0,0.800639333,2.049995598,476967272.0,0.2310895,0.065827872,294526
12,4,"MacBookPro18,3",low,1931154555.0,0.788873083,1.963197147,473140458.0,0.229234916,0.065293694,294672
12,5,"MacBookPro18,3",low,1910473483.0,0.780424666,1.960207703,495650418.0,0.240141291,0.068417216,277528
12,6,"MacBookPro18,3",low,1979436349.0,0.808595875,2.062539549,473327346.0,0.229325958,0.065335522,295382
12,7,"MacBookPro18,3",low,1931440496.0,0.788989916,2.002818051,496626425.0,0.24061425,0.068544674,292144
13,0,"MacBookPro18,3",low,1971059101.0,0.805178333,2.036823135,494215293.0,0.239446875,0.068233917,287902
13,1,"MacBookPro18,3",low,1936160981.0,0.790918,2.020687343,494985232.0,0.239819208,0.068331005,293166
13,2,"MacBookPro18,3",low,1913921957.0,0.781833416,1.956356611,494871420.0,0.239764541,0.06831681,291928
13,3,"MacBookPro18,3",low,1914987790.0,0.782269166,1.987312591,490724248.0,0.237754625,0.067706183,287088
13,4,"MacBookPro18,3",low,1938628278.0,0.791926208,1.968292905,498980096.0,0.241754708,0.068904639,294332
13,5,"MacBookPro18,3",low,1966996271.0,0.803514458,2.001435361,489151828.0,0.236992125,0.067503111,295852
13,6,"MacBookPro18,3",low,1919445720.0,0.784091583,1.970816798,472102157.0,0.228733041,0.065219323,293394
13,7,"MacBookPro18,3",low,1958317360.0,0.799969,2.0408177,487225470.0,0.236059041,0.067302034,293408
14,0,"MacBookPro18,3",low,1947518952.0,0.79555925,1.974757175,473424618.0,0.229373708,0.065385439,294696
14,1,"MacBookPro18,3",low,1901957330.0,0.776947625,1.981385285,482271587.0,0.233659791,0.066556786,289218
14,2,"MacBookPro18,3",low,1968934873.0,0.804306291,2.04291795,464348424.0,0.224975583,0.064110334,290124
14,3,"MacBookPro18,3",low,1888618228.0,0.771497,1.944596291,494897452.0,0.239777,0.068314467,277056
14,4,"MacBookPro18,3",low,1954604939.0,0.798452375,2.007727967,473957492.0,0.229631291,0.06540311,292090
14,5,"MacBookPro18,3",low,1929261245.0,0.788099458,1.985560027,481019574.0,0.23305375,0.066354119,293208
14,6,"MacBookPro18,3",low,1964685608.0,0.80257075,2.011458082,477835950.0,0.231511083,0.065975353,293130
14,7,"MacBookPro18,3",low,1947883384.0,0.795706875,2.019566001,470084268.0,0.227755041,0.064862751,286690
