sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"MacBookPro18,3",low,2560600306.0,1.058715458,2.624785335,0.0,0.0,0.0,359702
1,0,"MacBookPro18,3",low,2510763442.0,1.025642375,2.595375184,0.0,0.0,0.0,337256
2,0,"MacBookPro18,3",low,2463557967.0,1.006361375,2.547562393,0.0,0.0,0.0,341040
3,0,"MacBookPro18,3",low,2444963559.0,0.998763208,2.522161959,0.0,0.0,0.0,338066
4,0,"MacBookPro18,3",low,2432860542.0,0.993936666,2.511406126,19834.0,9.583e-06,9.09e-07,324598
5,0,"MacBookPro18,3",low,2466464587.0,1.007546333,2.547735795,0.0,0.0,0.0,341092
6,0,"MacBookPro18,3",low,2462598072.0,1.005966916,2.540535206,0.0,0.0,0.0,340156
7,0,"MacBookPro18,3",low,2447125204.0,0.999646208,2.521050645,32239.0,2.2291e-05,1.503e-06,336552
8,0,"MacBookPro18,3",low,2463735412.0,1.006533916,2.551879965,0.0,0.0,0.0,327962
9,0,"MacBookPro18,3",low,2460921802.0,1.005282125,2.542346489,0.0,0.0,0.0,340656
10,0,"MacBookPro18,3",low,2464015982.0,1.006546166,2.530550414,0.0,0.0,0.0,339454
11,0,"MacBookPro18,3",low,2448081215.0,1.000036833,2.542501435,0.0,0.0,0.0,329348
12,0,"MacBookPro18,3",low,2444802756.0,0.998699875,2.524340394,0.0,0.0,0.0,336402
13,0,"MacBookPro18,3",low,2469441630.0,1.008762541,2.550856002,0.0,0.0,0.0,340976
14,0,"MacBookPro18,3",low,2459838010.0,1.004839416,2.537497508,0.0,0.0,0.0,337928
15,0,"MacBookPro18,3",low,2458772164.0,1.004404041,2.535489053,14276.0,1.4708e-05,6.65e-07,326514
16,0,"MacBookPro18,3",low,2451847059.0,1.001575166,2.529504888,0.0,0.0,0.0,341100
17,0,"MacBookPro18,3",low,2459319789.0,1.004627833,2.539322455,0.0,0.0,0.0,338948
18,0,"MacBookPro18,3",low,2609136876.0,1.066058708,2.681672201,10792.0,1.1125e-05,5.53e-07,355472
19,0,"MacBookPro18,3",low,2593801454.0,1.059567625,2.686955054,0.0,0.0,0.0,353872
20,0,"MacBookPro18,3",low,2610211363.0,1.066266708,2.680881726,11017.0,1.1333e-05,5.61e-07,354186
21,0,"MacBookPro18,3",low,2550609238.0,1.042036958,2.644395612,0.0,0.0,0.0,349910
22,0,"MacBookPro18,3",low,2584214068.0,1.055646958,2.665778923,0.0,0.0,0.0,352204
23,0,"MacBookPro18,3",low,2487070402.0,1.015963916,2.567553876,0.0,0.0,0.0,343836
24,0,"MacBookPro18,3",low,2587648017.0,1.057051583,2.673268414,0.0,0.0,0.0,352172
25,0,"MacBookPro18,3",low,2599232458.0,1.061781875,2.684714919,18765.0,9.125e-06,9.01e-07,352310
26,0,"MacBookPro18,3",low,2552827405.0,1.0428255,2.630010444,0.0,0.0,0.0,350492
27,0,"MacBookPro18,3",low,2490727080.0,1.017457583,2.574558926,0.0,0.0,0.0,343724
28,0,"MacBookPro18,3",low,2601258837.0,1.062727541,2.666296685,0.0,0.0,0.0,352826
29,0,"MacBookPro18,3",low,2596889594.0,1.060824875,2.700238283,0.0,0.0,0.0,354310
30,0,"MacBookPro18,3",low,2561884284.0,1.046527041,2.648957835,0.0,0.0,0.0,350630
31,0,"MacBookPro18,3",low,2621318194.0,1.070916583,2.698331091,0.0,0.0,0.0,354048
32,0,"MacBookPro18,3",low,2481796491.0,1.013928916,2.564279915,0.0,0.0,0.0,344642
33,0,"MacBookPro18,3",low,2511071753.0,1.025806375,2.587846403,0.0,0.0,0.0,343970
34,0,"MacBookPro18,3",low,2576905696.0,1.052665375,2.653333598,0.0,0.0,0.0,351754
35,0,"MacBookPro18,3",low,2500095110.0,1.021284541,2.588652782,0.0,0.0,0.0,343704
36,0,"MacBookPro18,3",low,2445996740.0,0.999185333,2.525406392,0.0,0.0,0.0,338468
37,0,"MacBookPro18,3",low,2592015212.0,1.058833708,2.679457013,0.0,0.0,0.0,354394
38,0,"MacBookPro18,3",low,2569108598.0,1.049476416,2.645207299,0.0,0.0,0.0,350498
39,0,"MacBookPro18,3",low,2536585430.0,1.036190708,2.617557038,0.0,0.0,0.0,344976
40,0,"MacBookPro18,3",low,2592849808.0,1.059174541,2.673859976,12173.0,1.2541e-05,6.65e-07,355024
41,0,"MacBookPro18,3",low,2550498258.0,1.041986916,2.604156393,0.0,0.0,0.0,347580
42,0,"MacBookPro18,3",low,2580103431.0,1.054437833,2.649120947,0.0,0.0,0.0,350240
43,0,"MacBookPro18,3",low,2587162906.0,1.056854916,2.662939526,0.0,0.0,0.0,351622
44,0,"MacBookPro18,3",low,2557318883.0,1.045137916,2.610817551,79749.0,3.8625e-05,5.977e-06,346656
45,0,"MacBookPro18,3",low,2565591601.0,1.048499041,2.640412117,0.0,0.0,0.0,349960
46,0,"MacBookPro18,3",low,2545288778.0,1.039859875,2.620341611,0.0,0.0,0.0,348918
47,0,"MacBookPro18,3",low,2469613193.0,1.009339541,2.541203301,0.0,0.0,0.0,327780
48,0,"MacBookPro18,3",low,2521317080.0,1.030181666,2.579269002,0.0,0.0,0.0,346154
49,0,"MacBookPro18,3",low,2595677926.0,1.060541833,2.692197081,0.0,0.0,0.0,353528
