sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"Mac13,2",high,2415948796.0,0.812327375,3.332243069,381784236.0,0.184973041,0.053993039,356930
0,1,"Mac13,2",high,2457932298.0,0.824916208,3.402505054,388739436.0,0.188343,0.055024861,366812
0,2,"Mac13,2",high,2455828188.0,0.827673375,3.398336925,376089163.0,0.18221325,0.053256392,367344
0,3,"Mac13,2",high,2412055915.0,0.811358625,3.334637734,392059888.0,0.189951083,0.055508501,356900
0,4,"Mac13,2",high,2409892500.0,0.809770041,3.346993893,399185125.0,0.193403791,0.056519224,356982
0,5,"Mac13,2",high,2400101295.0,0.811254291,3.302801215,374957793.0,0.181665708,0.053099879,356202
0,6,"Mac13,2",high,2426598970.0,0.813123458,3.360990133,402451182.0,0.194986291,0.056159379,361820
0,7,"Mac13,2",high,2453827926.0,0.825395333,3.399539752,391784666.0,0.189818291,0.05551754,366300
0,8,"Mac13,2",high,2405502605.0,0.808287625,3.319310197,394985692.0,0.191370083,0.055862412,349786
0,9,"Mac13,2",high,2431005301.0,0.815405333,3.378703039,374995161.0,0.181683333,0.053083754,361002
0,10,"Mac13,2",high,2457626143.0,0.826849166,3.41127011,385019000.0,0.186540625,0.054554298,366416
0,11,"Mac13,2",high,2393027063.0,0.803349541,3.31477066,393696975.0,0.190744291,0.055756346,356034
0,12,"Mac13,2",high,2465539353.0,0.829981,3.373081089,376439360.0,0.1823835,0.053030584,361328
0,13,"Mac13,2",high,2433296025.0,0.819697916,3.301437323,374707088.0,0.181544166,0.052565583,348592
0,14,"Mac13,2",high,2449305390.0,0.822190708,3.353961052,373176054.0,0.180802333,0.052519947,358430
0,15,"Mac13,2",high,2400983023.0,0.800739958,3.327811531,376243248.0,0.182288958,0.053297475,357348
0,16,"Mac13,2",high,2427084065.0,0.811926666,3.356567408,399565575.0,0.193588416,0.056530424,360368
0,17,"Mac13,2",high,2429957447.0,0.809012583,3.379373404,411971985.0,0.199599208,0.058341762,362490
0,18,"Mac13,2",high,2424426951.0,0.814699708,3.354624707,388970529.0,0.188465375,0.055087746,358292
0,19,"Mac13,2",high,2409382516.0,0.807316958,3.328557762,398524872.0,0.193083958,0.056364321,356480
1,0,"Mac13,2",high,2515092376.0,0.828433958,3.536632233,370738300.0,0.1796215,0.052358744,366308
1,1,"Mac13,2",high,2487201753.0,0.819237333,3.492731767,370329933.0,0.179423291,0.052268841,360164
1,2,"Mac13,2",high,2489065676.0,0.819851916,3.489181813,369473066.0,0.179008916,0.052249794,358448
1,3,"Mac13,2",high,2470508335.0,0.813739,3.469756863,370579955.0,0.179544583,0.052376237,365212
1,4,"Mac13,2",high,2527393408.0,0.832479083,3.556843543,371174819.0,0.179832666,0.052502813,371068
1,5,"Mac13,2",high,2522000160.0,0.830699125,3.548363152,385271865.0,0.186677458,0.054415167,370090
1,6,"Mac13,2",high,2379931108.0,0.78390425,3.345752005,387193677.0,0.187594166,0.055509669,347028
1,7,"Mac13,2",high,2500049542.0,0.823469125,3.514006162,378387955.0,0.183328125,0.053502076,362570
1,8,"Mac13,2",high,2450261716.0,0.807070708,3.430246525,392247248.0,0.190041916,0.055421209,369396
1,9,"Mac13,2",high,2507294934.0,0.825856208,3.509550685,371783534.0,0.180127541,0.052518158,367490
1,10,"Mac13,2",high,2572305334.0,0.847268833,3.614149699,351141616.0,0.170126833,0.04960895,369006
1,11,"Mac13,2",high,2516018740.0,0.828728833,3.532604419,370942125.0,0.179720583,0.052477148,369698
1,12,"Mac13,2",high,2468915983.0,0.813217833,3.462798024,355920512.0,0.1724425,0.050036071,361734
1,13,"Mac13,2",high,2434222903.0,0.801786541,3.379080201,385273658.0,0.186663916,0.053914704,350426
1,14,"Mac13,2",high,2472805537.0,0.814501416,3.427572831,374670941.0,0.1815265,0.052713229,360486
1,15,"Mac13,2",high,2517571037.0,0.829240541,3.542862238,386872589.0,0.187438333,0.054683856,366314
1,16,"Mac13,2",high,2441960898.0,0.804336291,3.430109846,412242926.0,0.199729708,0.058305818,358838
1,17,"Mac13,2",high,2525178805.0,0.831746916,3.539012963,351888650.0,0.170488625,0.04973469,366022
1,18,"Mac13,2",high,2586131661.0,0.851830125,3.623577177,311629815.0,0.150983458,0.044031776,375848
1,19,"Mac13,2",high,2509460106.0,0.826569041,3.524841199,359783556.0,0.1743145,0.050829731,367028
2,0,"Mac13,2",high,2555834576.0,0.841843833,3.589590704,371219527.0,0.179854416,0.052463046,365828
2,1,"Mac13,2",high,2522404723.0,0.830832666,3.549340858,371114413.0,0.179803583,0.052460382,360164
2,2,"Mac13,2",high,2499179730.0,0.823186666,3.504118551,373391351.0,0.180907,0.052747215,361460
2,3,"Mac13,2",high,2567822946.0,0.845792125,3.617560495,377222240.0,0.182762583,0.05333656,364470
2,4,"Mac13,2",high,2545274116.0,0.838365166,3.584775413,371928429.0,0.180198083,0.052578654,362576
2,5,"Mac13,2",high,2562533372.0,0.844050041,3.603898395,371873877.0,0.180171625,0.052576585,364206
2,6,"Mac13,2",high,2583524123.0,0.85097125,3.622673752,352775208.0,0.170918708,0.049532978,371840
2,7,"Mac13,2",high,2548725578.0,0.839505708,3.591765481,379368240.0,0.183803166,0.053624894,362938
