sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"Mac14,5",high,2200117954.0,0.674813458,2.872483298,738370470.0,0.304664875,0.132528563,341976
0,1,"Mac14,5",high,2117513109.0,0.650825291,2.773719141,830586235.0,0.343006708,0.148727535,338442
0,2,"Mac14,5",high,2254060222.0,0.702438875,2.929238164,700989028.0,0.289558958,0.125502089,345678
0,3,"Mac14,5",high,2247259880.0,0.703309666,2.905588411,678317753.0,0.280172416,0.121362098,345012
0,4,"Mac14,5",high,2125379664.0,0.668965166,2.726035093,759133790.0,0.31318275,0.13640529,337896
0,5,"Mac14,5",high,2081472503.0,0.65081275,2.687952652,802395177.0,0.331028041,0.143801623,334738
0,6,"Mac14,5",high,2369893661.0,0.733527458,3.107159744,604523978.0,0.249396416,0.108548185,363410
0,7,"Mac14,5",high,2218593935.0,0.690885125,2.874004186,727246949.0,0.300026791,0.130601472,344388
0,8,"Mac14,5",high,2141260788.0,0.662993625,2.780985794,751434731.0,0.310004625,0.134804572,338712
0,9,"Mac14,5",high,2079828892.0,0.638864166,2.708887986,841409263.0,0.347123041,0.151021491,335910
0,10,"Mac14,5",high,2112162103.0,0.647267333,2.765666732,771621614.0,0.318333916,0.138595536,339228
0,11,"Mac14,5",high,2147649976.0,0.662531833,2.798854343,799632589.0,0.3298905,0.143655176,340848
1,0,"Mac14,5",high,2266827711.0,0.694503875,2.972763022,709874950.0,0.2928525,0.127935217,350188
1,1,"Mac14,5",high,2121164680.0,0.649866833,2.754894786,796727396.0,0.328683541,0.143261424,334090
1,2,"Mac14,5",high,2240347798.0,0.686381625,2.939363348,761007468.0,0.313947041,0.137111186,347238
1,3,"Mac14,5",high,2128282698.0,0.652047083,2.790448867,762544331.0,0.314581291,0.137325798,336654
1,4,"Mac14,5",high,2274158406.0,0.696739791,2.980600444,753519106.0,0.310858083,0.135562114,349142
1,5,"Mac14,5",high,2134190529.0,0.653857708,2.793075948,772630595.0,0.318741666,0.139193031,336680
1,6,"Mac14,5",high,1966819250.0,0.602579583,2.589977406,834424510.0,0.344235125,0.150382358,316536
1,7,"Mac14,5",high,2123479520.0,0.650576125,2.792203274,736842177.0,0.303977291,0.13272498,334740
1,8,"Mac14,5",high,2153996276.0,0.659925125,2.828437081,750022987.0,0.309416291,0.135153579,336240
1,9,"Mac14,5",high,2079143260.0,0.636992375,2.737649579,777915434.0,0.320922166,0.140059193,319662
1,10,"Mac14,5",high,2243741402.0,0.687421166,2.937218333,727766758.0,0.300233583,0.131263436,342834
1,11,"Mac14,5",high,2217487189.0,0.679387875,2.896655068,768220500.0,0.316922208,0.138139036,345618
2,0,"Mac14,5",high,2188579992.0,0.670528791,2.867033347,747206960.0,0.308253375,0.134852513,341906
2,1,"Mac14,5",high,2146779525.0,0.65771425,2.831239314,771036390.0,0.318084708,0.139329456,323922
2,2,"Mac14,5",high,2190120827.0,0.670992541,2.854913325,765191330.0,0.315674,0.138161318,342790
2,3,"Mac14,5",high,2230139991.0,0.683253916,2.949208263,737867949.0,0.304401125,0.133163198,343742
2,4,"Mac14,5",high,2156363923.0,0.660651166,2.847099543,737178555.0,0.304116083,0.133146045,337074
2,5,"Mac14,5",high,2209447303.0,0.676914416,2.932984935,770386436.0,0.317816291,0.139296824,327690
2,6,"Mac14,5",high,2230161892.0,0.683260791,2.933429609,724267062.0,0.298790333,0.13078313,339266
2,7,"Mac14,5",high,2197680606.0,0.673313041,2.874097696,755513931.0,0.311680583,0.136439127,338932
2,8,"Mac14,5",high,2214960010.0,0.678603208,2.893215716,730520901.0,0.301370583,0.131916757,339994
2,9,"Mac14,5",high,2151756895.0,0.659239333,2.817604019,760862019.0,0.313887,0.137366968,337578
2,10,"Mac14,5",high,2190682772.0,0.671165416,2.892364169,761525279.0,0.314159625,0.137584879,339458
2,11,"Mac14,5",high,2246277138.0,0.688208625,2.927505017,700753510.0,0.289089,0.126462882,344584
3,0,"Mac14,5",high,2322820887.0,0.7116485,3.039716347,685587582.0,0.282834708,0.123768859,349278
3,1,"Mac14,5",high,2163635022.0,0.662878208,2.825782344,803499904.0,0.331478041,0.144910013,342746
3,2,"Mac14,5",high,2266774798.0,0.694478666,2.958926406,724039933.0,0.298696916,0.130721104,347604
3,3,"Mac14,5",high,2119635930.0,0.649403791,2.767529424,780671686.0,0.3220625,0.14097837,321042
3,4,"Mac14,5",high,2288152264.0,0.7010275,2.98541481,709350335.0,0.292637375,0.128029926,347600
3,5,"Mac14,5",high,2266223534.0,0.694308625,2.963194443,707790554.0,0.2920025,0.127739448,347708
3,6,"Mac14,5",high,2174333079.0,0.666156458,2.839487405,782522781.0,0.322824125,0.141227659,329320
3,7,"Mac14,5",high,2279159694.0,0.698271625,2.973780444,708902757.0,0.292453375,0.128013956,348932
3,8,"Mac14,5",high,2217550400.0,0.679396791,2.892864951,805241902.0,0.332197916,0.145626112,334170
3,9,"Mac14,5",high,2207740703.0,0.676391333,2.888312869,770300824.0,0.317784125,0.139092438,343162
3,10,"Mac14,5",high,2209250310.0,0.676853666,2.893775927,770959688.0,0.318053,0.139271046,335936
3,11,"Mac14,5",high,2324388041.0,0.71212875,3.035056804,701375187.0,0.289346666,0.126608954,352406
4,0,"Mac14,5",high,2253050293.0,0.69027925,2.947214944,841189751.0,0.347033541,0.152328069,350176
4,1,"Mac14,5",high,2339527945.0,0.716767375,3.072489911,772734874.0,0.318791916,0.139907812,355104
4,2,"Mac14,5",high,2402714612.0,0.736126916,3.146885299,730993251.0,0.301571,0.132192167,360086
4,3,"Mac14,5",high,2354163954.0,0.721251583,3.098907355,776366993.0,0.320292708,0.140505996,367516
4,4,"Mac14,5",high,2341310637.0,0.717314166,3.067111853,759464831.0,0.313325958,0.137368155,357650
4,5,"Mac14,5",high,2228003744.0,0.682599541,2.91248439,829737125.0,0.3423085,0.150304,349444
4,6,"Mac14,5",high,2286937120.0,0.700655291,2.987708895,803082178.0,0.331311958,0.145139779,360136
4,7,"Mac14,5",high,2331556416.0,0.714324875,3.077710471,793122064.0,0.327205083,0.143637791,358416
4,8,"Mac14,5",high,2285593344.0,0.700244833,2.975266697,834064370.0,0.344095041,0.150908551,362054
4,9,"Mac14,5",high,2320119339.0,0.710821416,3.03688037,803218839.0,0.331368083,0.14535655,354534
4,10,"Mac14,5",high,2133644772.0,0.653690583,2.797202708,921505203.0,0.380167708,0.166715416,336702
4,11,"Mac14,5",high,2419118181.0,0.74115125,3.198121937,718753056.0,0.296523541,0.130205065,361076
5,0,"Mac14,5",high,2183655922.0,0.669016416,2.854797706,748781577.0,0.308903666,0.135669708,340854
5,1,"Mac14,5",high,2197001377.0,0.673109416,2.872938727,749653529.0,0.309263416,0.135977912,342950
5,2,"Mac14,5",high,2124843666.0,0.650994208,2.779744126,741529685.0,0.305911666,0.134456742,335132
5,3,"Mac14,5",high,2157906058.0,0.661125583,2.824385078,774137655.0,0.319363541,0.140453063,330104
5,4,"Mac14,5",high,2157419238.0,0.660978041,2.847720908,743704370.0,0.306809416,0.134757453,328276
5,5,"Mac14,5",high,2230737394.0,0.683436916,2.918983807,749262337.0,0.309101541,0.135908764,345332
5,6,"Mac14,5",high,2206787254.0,0.676099375,2.887047885,750466367.0,0.309598208,0.135860885,334910
5,7,"Mac14,5",high,2178982858.0,0.667581125,2.851930666,748537903.0,0.308803208,0.135597619,327614
5,8,"Mac14,5",high,2127769698.0,0.651894875,2.808080997,748991469.0,0.308989083,0.135925968,330960
5,9,"Mac14,5",high,2237553278.0,0.685525375,2.925577591,748304237.0,0.3087065,0.135814656,345646
5,10,"Mac14,5",high,2211243484.0,0.677464833,2.893938911,725237406.0,0.299191125,0.131487229,343540
5,11,"Mac14,5",high,2164540752.0,0.663156208,2.831599563,739400144.0,0.3050335,0.134151196,339590
6,0,"Mac14,5",high,2244572846.0,0.687675791,2.957170512,756222524.0,0.311972375,0.137081745,343730
6,1,"Mac14,5",high,2250474637.0,0.689483791,2.947950715,744282738.0,0.307047375,0.134913475,346688
6,2,"Mac14,5",high,2205103443.0,0.675583708,2.895001104,759704071.0,0.313410125,0.137763138,341464
6,3,"Mac14,5",high,2255235586.0,0.690942833,2.963546051,716833616.0,0.29572375,0.130039864,347772
6,4,"Mac14,5",high,2290675642.0,0.701800666,3.016241421,722641465.0,0.298120791,0.131014487,350900
6,5,"Mac14,5",high,2210651719.0,0.677283708,2.86630742,785053461.0,0.3238665,0.142390429,344598
6,6,"Mac14,5",high,2291753680.0,0.70213075,3.012125468,740829286.0,0.305622708,0.134330835,350580
6,7,"Mac14,5",high,2226531967.0,0.682148833,2.917526843,743190241.0,0.306596666,0.134704638,343124
6,8,"Mac14,5",high,2335467758.0,0.715523708,3.076365144,732000447.0,0.30198075,0.132745953,351928
6,9,"Mac14,5",high,2299289263.0,0.704439291,3.02770807,707208027.0,0.291752083,0.128115901,350408
6,10,"Mac14,5",high,2313519130.0,0.708799208,3.039050017,710717513.0,0.293200416,0.128922217,351920
6,11,"Mac14,5",high,2226561383.0,0.682157458,2.926164879,772322690.0,0.318614916,0.13988737,345224
7,0,"Mac14,5",high,2172242913.0,0.665515958,2.855939626,741201767.0,0.305777958,0.134131597,326538
7,1,"Mac14,5",high,2214384255.0,0.678426916,2.866880196,737669447.0,0.30431825,0.133598972,342142
7,2,"Mac14,5",high,2228918750.0,0.682880125,2.927909838,730722202.0,0.301452375,0.132395116,335330
7,3,"Mac14,5",high,2132090315.0,0.653213958,2.796271633,758494137.0,0.312911208,0.137256722,334156
7,4,"Mac14,5",high,2284691935.0,0.699967125,3.005315107,703136468.0,0.290073541,0.127283805,352328
7,5,"Mac14,5",high,2373630458.0,0.727215166,3.143465842,645412030.0,0.26626025,0.116908575,354988
7,6,"Mac14,5",high,2179393340.0,0.667719,2.858795439,741020672.0,0.305702833,0.134168673,340520
7,7,"Mac14,5",high,2402950714.0,0.73619975,3.154600598,667627074.0,0.275423375,0.120860363,369046
