sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"Mac14,5",high,3444709204.0,1.010449458,4.985654457,0.0,0.0,0.0,478961
1,0,"Mac14,5",high,3216698120.0,1.02757475,4.631765913,24579.0,2.7916e-05,1.015e-06,436208
2,0,"Mac14,5",high,3451950889.0,1.014677791,4.965863714,0.0,0.0,0.0,469122
3,0,"Mac14,5",high,3629048625.0,1.065205625,5.255566373,0.0,0.0,0.0,495180
4,0,"Mac14,5",high,3570742866.0,1.049356708,5.197158744,0.0,0.0,0.0,483044
5,0,"Mac14,5",high,3368886622.0,1.070052416,4.811705166,0.0,0.0,0.0,458810
6,0,"Mac14,5",high,3600529912.0,1.056814125,5.245411104,0.0,0.0,0.0,486080
7,0,"Mac14,5",high,3412922199.0,1.002534333,4.958596682,0.0,0.0,0.0,468480
8,0,"Mac14,5",high,3637226401.0,1.067427958,5.217653891,0.0,0.0,0.0,493644
9,0,"Mac14,5",high,3607315304.0,1.058796958,5.251976671,0.0,0.0,0.0,479912
10,0,"Mac14,5",high,3641658636.0,1.068812416,5.22975044,0.0,0.0,0.0,495816
11,0,"Mac14,5",high,3613113807.0,1.060315166,5.254185644,0.0,0.0,0.0,496058
12,0,"Mac14,5",high,3648313071.0,1.070891541,5.251075735,0.0,0.0,0.0,495022
13,0,"Mac14,5",high,3626390404.0,1.069101708,5.264991099,0.0,0.0,0.0,493502
14,0,"Mac14,5",high,3588050966.0,1.05285325,5.178985084,0.0,0.0,0.0,488810
15,0,"Mac14,5",high,3622010996.0,1.062771958,5.264826235,0.0,0.0,0.0,491202
16,0,"Mac14,5",high,3572302421.0,1.048544208,5.140287368,0.0,0.0,0.0,479774
17,0,"Mac14,5",high,3631251503.0,1.065890333,5.245082917,0.0,0.0,0.0,494886
18,0,"Mac14,5",high,3432723559.0,1.007485833,5.00962457,0.0,0.0,0.0,460718
19,0,"Mac14,5",high,3566134474.0,1.045248666,5.161942746,0.0,0.0,0.0,490868
20,0,"Mac14,5",high,3640475067.0,1.069900666,5.231832646,0.0,0.0,0.0,493920
21,0,"Mac14,5",high,3617351954.0,1.065212083,5.244459657,0.0,0.0,0.0,492790
22,0,"Mac14,5",high,3612038052.0,1.060042083,5.214992466,0.0,0.0,0.0,491700
23,0,"Mac14,5",high,3654410422.0,1.072299041,5.256194399,0.0,0.0,0.0,484190
24,0,"Mac14,5",high,3641557990.0,1.068964083,5.289109345,0.0,0.0,0.0,496214
25,0,"Mac14,5",high,3614728574.0,1.060442291,5.209978692,0.0,0.0,0.0,494988
26,0,"Mac14,5",high,3633477962.0,1.070161125,5.240621315,0.0,0.0,0.0,494612
27,0,"Mac14,5",high,3629580730.0,1.065388541,5.26514099,0.0,0.0,0.0,495028
28,0,"Mac14,5",high,3640046873.0,1.068651666,5.267529977,0.0,0.0,0.0,493902
29,0,"Mac14,5",high,3515324363.0,1.031782875,5.117038533,0.0,0.0,0.0,471416
30,0,"Mac14,5",high,3480722436.0,1.021645625,5.065768495,0.0,0.0,0.0,478274
31,0,"Mac14,5",high,3465261165.0,1.017503416,5.023343517,0.0,0.0,0.0,467700
32,0,"Mac14,5",high,3331390013.0,1.020292041,4.803005983,0.0,0.0,0.0,450136
33,0,"Mac14,5",high,3349283148.0,1.026481625,4.848902476,0.0,0.0,0.0,452490
34,0,"Mac14,5",high,3459925454.0,1.023113583,4.98030068,15057.0,1.6625e-05,7.31e-07,478222
35,0,"Mac14,5",high,3375066335.0,0.996752791,4.910031803,0.0,0.0,0.0,459610
36,0,"Mac14,5",high,3437246195.0,1.013512166,4.952416177,0.0,0.0,0.0,459960
37,0,"Mac14,5",high,3602689689.0,1.064416916,5.231633447,0.0,0.0,0.0,493988
38,0,"Mac14,5",high,3563026277.0,1.045516333,5.132544952,0.0,0.0,0.0,486200
39,0,"Mac14,5",high,3549733369.0,1.0417395,5.168013651,0.0,0.0,0.0,473894
40,0,"Mac14,5",high,3527870482.0,1.069556291,5.092850112,25552.0,2.9375e-05,1.079e-06,484676
41,0,"Mac14,5",high,3246456927.0,1.003491791,4.683365785,0.0,0.0,0.0,442722
42,0,"Mac14,5",high,3322326060.0,1.003094791,4.769861824,0.0,0.0,0.0,449538
43,0,"Mac14,5",high,3323737327.0,1.027048666,4.826774359,0.0,0.0,0.0,450624
44,0,"Mac14,5",high,3434444507.0,1.008097083,4.979178625,0.0,0.0,0.0,463228
45,0,"Mac14,5",high,3633904592.0,1.066783083,5.224702172,0.0,0.0,0.0,495202
46,0,"Mac14,5",high,3633661676.0,1.066733,5.339018543,0.0,0.0,0.0,496464
47,0,"Mac14,5",high,3633435194.0,1.066634041,5.218413922,0.0,0.0,0.0,492646
48,0,"Mac14,5",high,3473310392.0,1.066871833,4.83428775,8578.0,1.0208e-05,8.48e-07,466558
49,0,"Mac14,5",high,3495035095.0,1.065751875,4.879301525,0.0,0.0,0.0,475610
