sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"Mac14,6",high,2306789075.0,0.706744375,3.235900865,798878132.0,0.32958725,0.161165933,365400
0,1,"Mac14,6",high,2362604304.0,0.723846875,3.313495153,741531482.0,0.30594875,0.149519615,374994
0,2,"Mac14,6",high,2298558407.0,0.704228208,3.209188736,789045600.0,0.325517833,0.159056867,363068
0,3,"Mac14,6",high,2350154400.0,0.720031375,3.290917313,774498229.0,0.319528625,0.156190763,371108
0,4,"Mac14,6",high,2308366652.0,0.707229458,3.207920253,796598569.0,0.328633583,0.160555475,365642
0,5,"Mac14,6",high,2173002075.0,0.665745333,3.007563969,902026046.0,0.372128625,0.181813473,344826
0,6,"Mac14,6",high,2274652559.0,0.696913,3.122272396,812614929.0,0.335240375,0.163868219,359942
0,7,"Mac14,6",high,2343779949.0,0.718084583,3.223982015,754936916.0,0.311446708,0.152272116,373064
0,8,"Mac14,6",high,2189772401.0,0.670887541,3.043211145,878813331.0,0.362550375,0.177239282,348306
0,9,"Mac14,6",high,2329808908.0,0.71379775,3.187332144,792765719.0,0.327052625,0.16004206,370010
0,10,"Mac14,6",high,2309615016.0,0.70759975,3.17601865,798845918.0,0.329561,0.161157397,368012
0,11,"Mac14,6",high,2271045693.0,0.695783375,3.154738481,797412984.0,0.328969083,0.160734388,360140
1,0,"Mac14,6",high,2143784036.0,0.656794166,2.981131155,741191934.0,0.305771958,0.149816576,325800
1,1,"Mac14,6",high,2142025095.0,0.656255416,2.976590365,737761715.0,0.304356333,0.148894555,319160
1,2,"Mac14,6",high,2284387053.0,0.699871041,3.16657861,669645556.0,0.276255791,0.135186409,344192
1,3,"Mac14,6",high,2166055002.0,0.663617333,3.010215724,714933531.0,0.294939,0.144275003,324076
1,4,"Mac14,6",high,2133073446.0,0.653515083,2.971724882,736126679.0,0.303681458,0.148662635,324840
1,5,"Mac14,6",high,2176212704.0,0.666729208,2.987390124,732305498.0,0.302106291,0.147615588,340720
1,6,"Mac14,6",high,2173102948.0,0.6657815,3.031907641,746363370.0,0.307905291,0.150881064,332370
1,7,"Mac14,6",high,2164759182.0,0.663220416,3.019533715,746232474.0,0.307851,0.150623367,322584
1,8,"Mac14,6",high,2186442757.0,0.669870583,3.047805184,754968321.0,0.311454625,0.152363415,341408
1,9,"Mac14,6",high,2136218456.0,0.654476416,2.993790988,719255248.0,0.296721375,0.145148481,324630
1,10,"Mac14,6",high,2205068355.0,0.675569416,3.049544024,699034079.0,0.288380416,0.141107765,329418
1,11,"Mac14,6",high,2200024776.0,0.674024708,3.052191732,708680160.0,0.29235875,0.143109525,333978
2,0,"Mac14,6",high,2295747554.0,0.703351541,3.19433195,721186734.0,0.297517958,0.14581152,350716
2,1,"Mac14,6",high,2280857539.0,0.6987895,3.270999338,727072498.0,0.29994625,0.147071668,350690
2,2,"Mac14,6",high,2252495821.0,0.690100333,3.169353155,726125739.0,0.299555916,0.146469271,345774
2,3,"Mac14,6",high,2207196683.0,0.676222083,3.069395015,763103664.0,0.314810333,0.154094951,344666
2,4,"Mac14,6",high,2223863299.0,0.681328625,3.164303312,737727998.0,0.304348291,0.149103954,344762
2,5,"Mac14,6",high,2241650131.0,0.686777583,3.142509275,739808829.0,0.305200083,0.149498327,346386
2,6,"Mac14,6",high,2330673410.0,0.714051625,3.29241353,680898889.0,0.280898125,0.137441308,352148
2,7,"Mac14,6",high,2337500972.0,0.716146166,3.289523104,691368190.0,0.285216208,0.13956121,352776
2,8,"Mac14,6",high,2184954497.0,0.669408041,3.03391245,749565182.0,0.309225291,0.151337498,340466
2,9,"Mac14,6",high,2340316531.0,0.717006625,3.287500967,706191679.0,0.2913315,0.14262438,352984
2,10,"Mac14,6",high,2348528269.0,0.719521666,3.299840077,724694812.0,0.298965375,0.146510205,366820
2,11,"Mac14,6",high,2306293084.0,0.706582583,3.265341211,735733379.0,0.303519125,0.148774955,352584
3,0,"Mac14,6",high,2077712251.0,0.636551875,2.887664307,724964264.0,0.299077208,0.146289277,327750
3,1,"Mac14,6",high,2169995924.0,0.664825041,3.001055033,734094712.0,0.302842833,0.148184432,338826
3,2,"Mac14,6",high,2356066076.0,0.721831625,3.27061917,657041289.0,0.271055708,0.133009457,359518
3,3,"Mac14,6",high,2247508203.0,0.688572458,3.141610196,720506576.0,0.297238041,0.145565199,346180
3,4,"Mac14,6",high,2249499846.0,0.689182666,3.096827487,684372152.0,0.282331625,0.138317584,344646
3,5,"Mac14,6",high,2268548404.0,0.6950185,3.136656568,700530820.0,0.28899625,0.141386614,346624
3,6,"Mac14,6",high,2245302290.0,0.687896708,3.149986805,710842109.0,0.293250708,0.143614009,346118
3,7,"Mac14,6",high,2182543220.0,0.668678541,3.054327594,712865575.0,0.294090083,0.144064619,341888
3,8,"Mac14,6",high,2193066762.0,0.671897625,3.027451903,712391434.0,0.29388975,0.144081305,335748
3,9,"Mac14,6",high,2187801595.0,0.670280041,3.02248486,724270705.0,0.298791208,0.146087828,340386
3,10,"Mac14,6",high,2191973564.0,0.671558708,3.02602353,698744287.0,0.288259333,0.141116848,329868
3,11,"Mac14,6",high,2246015311.0,0.688121625,3.114017568,681401991.0,0.2811055,0.137605223,344686
4,0,"Mac14,6",high,2248568854.0,0.688897625,3.147388495,683980583.0,0.282169375,0.138413215,339872
4,1,"Mac14,6",high,2184869162.0,0.66938175,3.046480503,695106826.0,0.2867595,0.140670203,338192
4,2,"Mac14,6",high,2196909052.0,0.673070458,3.051539,740264545.0,0.305387916,0.149893336,331978
4,3,"Mac14,6",high,2172767850.0,0.665677666,2.984893328,724999004.0,0.299091,0.146743651,340332
4,4,"Mac14,6",high,2176956467.0,0.666957291,3.018046608,722135233.0,0.297909791,0.146078597,334186
4,5,"Mac14,6",high,2241783251.0,0.686826291,3.10886902,686457507.0,0.283190541,0.138643344,342180
4,6,"Mac14,6",high,2202984552.0,0.674931958,3.067578632,723189072.0,0.298344583,0.146276609,343110
4,7,"Mac14,6",high,2162165807.0,0.662426,3.004357773,736254663.0,0.303734875,0.14898628,337346
4,8,"Mac14,6",high,2212423691.0,0.677823875,3.086550839,726720189.0,0.299801166,0.147051295,331518
4,9,"Mac14,6",high,2125846654.0,0.651299166,2.933691029,698167814.0,0.288021916,0.141159487,329440
4,10,"Mac14,6",high,2273245398.0,0.696468708,3.145738967,690696212.0,0.284939583,0.139632069,347348
4,11,"Mac14,6",high,2237416822.0,0.685481041,3.119845499,691317835.0,0.285195166,0.139913321,346172
5,0,"Mac14,6",high,2218903541.0,0.679809333,3.078228288,754747916.0,0.311362958,0.151441322,336110
5,1,"Mac14,6",high,2208784113.0,0.676713208,3.078827338,748099055.0,0.308620708,0.151451278,337862
5,2,"Mac14,6",high,2311741994.0,0.70825225,3.200724269,701770158.0,0.289507666,0.142116787,350360
5,3,"Mac14,6",high,2335727446.0,0.715600666,3.277659183,695161996.0,0.286797458,0.140629827,352400
5,4,"Mac14,6",high,2263244070.0,0.693393833,3.117326778,738894096.0,0.304823166,0.14946159,349094
5,5,"Mac14,6",high,2263815609.0,0.693568583,3.125653944,711553987.0,0.29354475,0.143937307,345304
5,6,"Mac14,6",high,2258302922.0,0.691883125,3.108901025,726775082.0,0.299823041,0.1471631,346114
5,7,"Mac14,6",high,2251631861.0,0.689836166,3.128082677,698400837.0,0.288118541,0.14134528,348062
5,8,"Mac14,6",high,2201044326.0,0.674337416,3.059702496,761371462.0,0.314096041,0.153949529,344162
5,9,"Mac14,6",high,2179783063.0,0.667823625,3.013184734,766401037.0,0.316177041,0.155025606,331120
5,10,"Mac14,6",high,2278561074.0,0.698086583,3.145154182,699987572.0,0.288773,0.141582801,348212
5,11,"Mac14,6",high,2248744353.0,0.688951041,3.122889399,716759928.0,0.295692333,0.145127657,345008
6,0,"Mac14,6",high,2234359500.0,0.684544166,3.141155916,707635783.0,0.29193175,0.144497956,344874
6,1,"Mac14,6",high,2298931279.0,0.704333291,3.192204705,697404412.0,0.287709375,0.141198543,344768
6,2,"Mac14,6",high,2239673497.0,0.686172208,3.104630384,730328352.0,0.301291625,0.147848854,346228
6,3,"Mac14,6",high,2245281215.0,0.687897625,3.132056167,719558177.0,0.296849375,0.145735161,343850
6,4,"Mac14,6",high,2228240387.0,0.682669416,3.110492659,733267876.0,0.302505541,0.148432784,332832
6,5,"Mac14,6",high,2218441723.0,0.679667708,3.054677294,736890108.0,0.304010416,0.149326892,331386
6,6,"Mac14,6",high,2160470212.0,0.661906583,3.019451152,716953536.0,0.295773625,0.1452833,328898
6,7,"Mac14,6",high,2136704987.0,0.654625875,2.949149485,750735570.0,0.30971125,0.152026725,320390
6,8,"Mac14,6",high,2208519191.0,0.676627958,3.084365521,737716203.0,0.304339708,0.149202771,343220
6,9,"Mac14,6",high,2212058505.0,0.677712166,3.088349894,718706086.0,0.296496875,0.145491385,341540
6,10,"Mac14,6",high,2275169200.0,0.697047416,3.150145927,681931409.0,0.281326208,0.138106228,347574
6,11,"Mac14,6",high,2204888637.0,0.675515416,3.071571749,714447878.0,0.294740291,0.144547201,339710
7,0,"Mac14,6",high,2224399605.0,0.681493333,3.087201344,740948674.0,0.305671,0.150126755,345034
7,1,"Mac14,6",high,2262788546.0,0.693254708,3.162065928,736705407.0,0.303920166,0.149350972,342944
7,2,"Mac14,6",high,2291203100.0,0.701959583,3.179922099,701038592.0,0.289207125,0.142001508,349910
7,3,"Mac14,6",high,2155185595.0,0.660287666,2.990009778,726962826.0,0.299900666,0.14728425,322970
7,4,"Mac14,6",high,2226767019.0,0.682218166,3.105075011,717260084.0,0.295899291,0.145376909,344720
7,5,"Mac14,6",high,2296660114.0,0.703631041,3.184484148,688526769.0,0.284044875,0.139528628,349664
7,6,"Mac14,6",high,2214956445.0,0.6786,3.063170053,730993818.0,0.301564666,0.148141648,337486
7,7,"Mac14,6",high,2309727237.0,0.707634958,3.209975,733742699.0,0.302698291,0.148594126,350394
7,8,"Mac14,6",high,2281031629.0,0.698843708,3.171581955,722622840.0,0.298110833,0.146467531,351382
7,9,"Mac14,6",high,2199493586.0,0.673862375,3.04761037,722356136.0,0.298001625,0.146133985,343976
7,10,"Mac14,6",high,2281729976.0,0.699057625,3.151086423,737859287.0,0.304396625,0.149644084,349744
7,11,"Mac14,6",high,2226440935.0,0.682121083,3.089091545,741702039.0,0.305981666,0.150278942,341184
8,0,"Mac14,6",high,2266293272.0,0.694328208,3.171719677,739806701.0,0.305216958,0.150015294,348590
8,1,"Mac14,6",high,2234523771.0,0.684597,3.102948576,741395862.0,0.305858208,0.150381316,346520
8,2,"Mac14,6",high,2219703579.0,0.68005425,3.093738367,749765485.0,0.309312375,0.152022948,344870
8,3,"Mac14,6",high,2234761900.0,0.684667375,3.135627383,757915737.0,0.312674291,0.153812747,346928
8,4,"Mac14,6",high,2243449873.0,0.68732975,3.140688022,776155496.0,0.320198875,0.157560832,348044
8,5,"Mac14,6",high,2269304980.0,0.69525075,3.184553887,760640156.0,0.3137985,0.154186824,349874
8,6,"Mac14,6",high,2285284771.0,0.70014675,3.233906612,762890287.0,0.314726958,0.15478867,349642
8,7,"Mac14,6",high,2177324666.0,0.667074208,3.082195088,827330167.0,0.341310625,0.168035168,344300
