sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"Mac14,13",high,2130964000.0,0.658597708,2.885870633,817230813.0,0.339277041,0.152578628,339828
0,1,"Mac14,13",high,2128644760.0,0.660551708,2.826961527,816403413.0,0.338969666,0.152487852,339603
0,2,"Mac14,13",high,2140464419.0,0.660733,2.859706776,812344249.0,0.336752791,0.151826879,340919
0,3,"Mac14,13",high,2123234792.0,0.654308791,2.880328872,800145385.0,0.330362166,0.150027384,341176
0,4,"Mac14,13",high,2135129310.0,0.665534125,2.875161908,776359198.0,0.3202885,0.145616039,341340
0,5,"Mac14,13",high,2139251290.0,0.661385625,2.854068371,776520656.0,0.320354541,0.145646887,342238
0,6,"Mac14,13",high,2120473642.0,0.664619791,2.851262716,782598246.0,0.322861625,0.146795997,340252
0,7,"Mac14,13",high,2133564991.0,0.657456666,2.897592093,794825594.0,0.3279065,0.149005169,340086
0,8,"Mac14,13",high,2131918007.0,0.662190833,2.849898939,800844591.0,0.330390125,0.1502157,340122
0,9,"Mac14,13",high,2148164757.0,0.675052125,2.89196591,748458134.0,0.3087785,0.140385355,342100
0,10,"Mac14,13",high,2121557927.0,0.662482916,2.810696511,800500291.0,0.330247916,0.150180667,339198
0,11,"Mac14,13",high,2142993077.0,0.667375041,2.84066142,781790326.0,0.322528458,0.146665527,340528
1,0,"Mac14,13",high,2236528067.0,0.685216791,3.035650983,843882140.0,0.34814275,0.158237985,349514
1,1,"Mac14,13",high,2293805269.0,0.702761583,3.103818584,811021463.0,0.334587916,0.152079641,354262
1,2,"Mac14,13",high,2284067677.0,0.699783791,3.086653216,814665671.0,0.33608875,0.152745029,352558
1,3,"Mac14,13",high,2373268213.0,0.7271075,3.216122025,767217369.0,0.316515708,0.143944946,356620
1,4,"Mac14,13",high,2296600489.0,0.703623708,3.108144447,790861370.0,0.326270541,0.148359076,353360
1,5,"Mac14,13",high,2395059710.0,0.733784583,3.256162176,759830700.0,0.313467541,0.142490013,357424
1,6,"Mac14,13",high,2322244400.0,0.711475291,3.153292789,804563118.0,0.331922291,0.150884057,353806
1,7,"Mac14,13",high,2327449860.0,0.713069583,3.157815034,761020972.0,0.313958458,0.14280265,356636
1,8,"Mac14,13",high,2216685056.0,0.679134416,3.002364348,862002778.0,0.355619,0.161817747,348830
