sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"Mac14,6",high,3728769128.0,1.029319291,6.336997608,0.0,0.0,0.0,515452
1,0,"Mac14,6",high,3906294089.0,1.065833666,6.857139423,0.0,0.0,0.0,525608
2,0,"Mac14,6",high,3937905777.0,1.068034583,6.891541337,0.0,0.0,0.0,536110
3,0,"Mac14,6",high,3762666323.0,1.021704375,6.5762506,0.0,0.0,0.0,509220
4,0,"Mac14,6",high,3950287457.0,1.071614708,6.931438796,0.0,0.0,0.0,535272
5,0,"Mac14,6",high,3897420204.0,1.056433125,6.77531413,0.0,0.0,0.0,521228
6,0,"Mac14,6",high,3690397579.0,1.002222458,6.49599227,34671.0,1.4333e-05,5.366e-06,500786
7,0,"Mac14,6",high,3914770643.0,1.06207475,6.86120862,0.0,0.0,0.0,538154
8,0,"Mac14,6",high,3714936781.0,1.007664125,6.464732289,0.0,0.0,0.0,499346
9,0,"Mac14,6",high,3857777303.0,1.046711916,6.790776913,0.0,0.0,0.0,514684
10,0,"Mac14,6",high,3780103289.0,1.030750125,6.550585445,0.0,0.0,0.0,518144
11,0,"Mac14,6",high,3871483421.0,1.053661541,6.802439152,0.0,0.0,0.0,522856
12,0,"Mac14,6",high,3873033851.0,1.056185708,6.685596698,0.0,0.0,0.0,511010
13,0,"Mac14,6",high,3876943136.0,1.061388625,6.770376026,9253.0,3.791e-06,1.144e-06,533012
14,0,"Mac14,6",high,3777127000.0,1.036009541,6.526097551,0.0,0.0,0.0,505118
15,0,"Mac14,6",high,3647393631.0,1.001220958,6.333345243,0.0,0.0,0.0,494432
16,0,"Mac14,6",high,3933945303.0,1.066771708,6.911299309,0.0,0.0,0.0,525508
17,0,"Mac14,6",high,3932112874.0,1.065984458,6.882478602,0.0,0.0,0.0,532406
18,0,"Mac14,6",high,3740242324.0,1.013952083,6.548152405,0.0,0.0,0.0,503266
19,0,"Mac14,6",high,3809009927.0,1.032813916,6.609863777,0.0,0.0,0.0,515612
20,0,"Mac14,6",high,3794149431.0,1.033007291,6.68004199,0.0,0.0,0.0,521096
21,0,"Mac14,6",high,3962183317.0,1.074088625,6.929428264,12558.0,5.583e-06,1.408e-06,520390
22,0,"Mac14,6",high,3893219769.0,1.0554515,6.778394647,0.0,0.0,0.0,535342
23,0,"Mac14,6",high,3830015454.0,1.038183166,6.743474044,0.0,0.0,0.0,512898
24,0,"Mac14,6",high,3942884847.0,1.069772625,6.901022061,0.0,0.0,0.0,538470
25,0,"Mac14,6",high,3870897732.0,1.049466958,6.729009716,0.0,0.0,0.0,516550
26,0,"Mac14,6",high,3726659927.0,1.010561416,6.585675382,0.0,0.0,0.0,512156
27,0,"Mac14,6",high,3936071824.0,1.067057166,6.86696044,0.0,0.0,0.0,526646
28,0,"Mac14,6",high,3719664203.0,1.008589041,6.533127196,0.0,0.0,0.0,504284
29,0,"Mac14,6",high,3737009477.0,1.013406791,6.518725983,0.0,0.0,0.0,501876
30,0,"Mac14,6",high,3869778655.0,1.053410916,6.796403212,0.0,0.0,0.0,531424
31,0,"Mac14,6",high,3716288859.0,1.008390916,6.523276527,0.0,0.0,0.0,501616
32,0,"Mac14,6",high,3757437754.0,1.019166875,6.54546397,0.0,0.0,0.0,506198
33,0,"Mac14,6",high,3674398761.0,1.005543541,6.40041979,0.0,0.0,0.0,496436
34,0,"Mac14,6",high,3852996545.0,1.049149,6.80700459,0.0,0.0,0.0,513810
35,0,"Mac14,6",high,3846340189.0,1.052615166,6.721008812,0.0,0.0,0.0,530698
36,0,"Mac14,6",high,3892092691.0,1.056945708,6.79098134,0.0,0.0,0.0,518588
37,0,"Mac14,6",high,3855307791.0,1.045877333,6.753266311,0.0,0.0,0.0,527298
38,0,"Mac14,6",high,3839299367.0,1.052871583,6.668894875,78753.0,3.25e-05,8.488e-06,514266
39,0,"Mac14,6",high,3743271212.0,1.018518541,6.548340051,0.0,0.0,0.0,503110
40,0,"Mac14,6",high,3910817449.0,1.061779708,6.842502609,0.0,0.0,0.0,534914
41,0,"Mac14,6",high,3848565026.0,1.044434375,6.762635785,0.0,0.0,0.0,513832
42,0,"Mac14,6",high,3713108483.0,1.006994458,6.541466836,0.0,0.0,0.0,502080
43,0,"Mac14,6",high,3868416113.0,1.051305375,6.773203334,13881.0,5.708e-06,1.492e-06,526962
44,0,"Mac14,6",high,3718657486.0,1.008076625,6.529529963,0.0,0.0,0.0,505482
45,0,"Mac14,6",high,3936152622.0,1.070667083,6.874981092,0.0,0.0,0.0,521036
46,0,"Mac14,6",high,3733622369.0,1.01285275,6.521282981,0.0,0.0,0.0,502228
47,0,"Mac14,6",high,3790092936.0,1.0273565,6.670832872,0.0,0.0,0.0,523520
48,0,"Mac14,6",high,3837659918.0,1.040129708,6.748942119,0.0,0.0,0.0,519506
49,0,"Mac14,6",high,3923791502.0,1.069709625,6.879386861,28728.0,1.1958e-05,4.446e-06,531748
