sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"Mac14,13",high,3593093239.0,1.031720041,5.376315781,0.0,0.0,0.0,492456
1,0,"Mac14,13",high,3531673755.0,1.008623916,5.321933842,0.0,0.0,0.0,486338
2,0,"Mac14,13",high,3503299973.0,1.000203375,5.298640165,0.0,0.0,0.0,467484
3,0,"Mac14,13",high,3678535883.0,1.050201833,5.579336465,0.0,0.0,0.0,500790
4,0,"Mac14,13",high,3538484912.0,1.010213,5.367373009,0.0,0.0,0.0,487060
5,0,"Mac14,13",high,3519854472.0,1.00487175,5.314614037,0.0,0.0,0.0,483026
6,0,"Mac14,13",high,3732523813.0,1.065550291,5.687582161,0.0,0.0,0.0,510252
7,0,"Mac14,13",high,3577341393.0,1.021421916,5.40801091,0.0,0.0,0.0,483854
8,0,"Mac14,13",high,3596464471.0,1.026858833,5.469988963,0.0,0.0,0.0,484698
9,0,"Mac14,13",high,3573393039.0,1.020230666,5.415967899,0.0,0.0,0.0,491866
10,0,"Mac14,13",high,3678533492.0,1.050206625,5.579977251,0.0,0.0,0.0,502164
11,0,"Mac14,13",high,3529549455.0,1.007686833,5.31236176,0.0,0.0,0.0,484912
12,0,"Mac14,13",high,3583277856.0,1.022988958,5.472604453,0.0,0.0,0.0,491630
13,0,"Mac14,13",high,3730540269.0,1.065006291,5.633542619,0.0,0.0,0.0,507854
14,0,"Mac14,13",high,3614778170.0,1.03199225,5.473237586,0.0,0.0,0.0,491450
15,0,"Mac14,13",high,3545069093.0,1.012050875,5.391042895,0.0,0.0,0.0,476586
16,0,"Mac14,13",high,3748592142.0,1.070147208,5.683707186,0.0,0.0,0.0,505284
17,0,"Mac14,13",high,3502186212.0,1.000152875,5.299020172,0.0,0.0,0.0,485986
18,0,"Mac14,13",high,3687005023.0,1.052568291,5.578286356,0.0,0.0,0.0,501426
19,0,"Mac14,13",high,3675003544.0,1.049046166,5.578074928,0.0,0.0,0.0,502754
20,0,"Mac14,13",high,3639730854.0,1.03901825,5.526372901,0.0,0.0,0.0,497504
21,0,"Mac14,13",high,3687002280.0,1.052465,5.57906084,0.0,0.0,0.0,501166
22,0,"Mac14,13",high,3602138115.0,1.028486333,5.446619384,0.0,0.0,0.0,493950
23,0,"Mac14,13",high,3530238892.0,1.008175708,5.364765646,0.0,0.0,0.0,479860
24,0,"Mac14,13",high,3713586640.0,1.060221958,5.606792391,0.0,0.0,0.0,505376
25,0,"Mac14,13",high,3683843020.0,1.051582333,5.567581725,0.0,0.0,0.0,503870
26,0,"Mac14,13",high,3569137890.0,1.018907166,5.412123365,0.0,0.0,0.0,477268
27,0,"Mac14,13",high,3538706917.0,1.010192208,5.355900993,0.0,0.0,0.0,489782
28,0,"Mac14,13",high,3608724444.0,1.030197416,5.463440014,0.0,0.0,0.0,491738
29,0,"Mac14,13",high,3555110501.0,1.014906416,5.382555388,0.0,0.0,0.0,485836
30,0,"Mac14,13",high,3550906918.0,1.013758916,5.354913367,0.0,0.0,0.0,477606
31,0,"Mac14,13",high,3736554842.0,1.066616708,5.684211461,0.0,0.0,0.0,505592
32,0,"Mac14,13",high,3678881431.0,1.050183791,5.578408758,0.0,0.0,0.0,510586
33,0,"Mac14,13",high,3573800441.0,1.020199916,5.410566449,0.0,0.0,0.0,481854
34,0,"Mac14,13",high,3538740110.0,1.010172041,5.366546922,0.0,0.0,0.0,487392
35,0,"Mac14,13",high,3716223145.0,1.060808375,5.624956581,0.0,0.0,0.0,506998
36,0,"Mac14,13",high,3560224067.0,1.016378583,5.402800872,0.0,0.0,0.0,484946
37,0,"Mac14,13",high,3713851254.0,1.060198833,5.629173256,0.0,0.0,0.0,506382
38,0,"Mac14,13",high,3538672898.0,1.010182625,5.364605752,0.0,0.0,0.0,480962
39,0,"Mac14,13",high,3749088507.0,1.070186458,5.683924259,0.0,0.0,0.0,515050
40,0,"Mac14,13",high,3681849397.0,1.051013208,5.576011365,0.0,0.0,0.0,503760
41,0,"Mac14,13",high,3536040516.0,1.009389125,5.362494092,0.0,0.0,0.0,472160
42,0,"Mac14,13",high,3713983010.0,1.060196708,5.632104488,0.0,0.0,0.0,510818
43,0,"Mac14,13",high,3538849926.0,1.010213916,5.360553587,0.0,0.0,0.0,482130
44,0,"Mac14,13",high,3558053897.0,1.015773416,5.350607226,0.0,0.0,0.0,488032
45,0,"Mac14,13",high,3586173621.0,1.023752708,5.473584892,0.0,0.0,0.0,488756
46,0,"Mac14,13",high,3627757240.0,1.035586416,5.473207045,0.0,0.0,0.0,490356
47,0,"Mac14,13",high,3619219753.0,1.033133708,5.518580224,0.0,0.0,0.0,489920
48,0,"Mac14,13",high,3714754848.0,1.06079275,5.62107019,0.0,0.0,0.0,507254
49,0,"Mac14,13",high,3557781073.0,1.015618208,5.364899819,0.0,0.0,0.0,486366
