sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"Mac14,6",low,2672382886.0,0.992706916,2.702495844,8202643.0,0.003865666,0.001309103,377508
1,0,"Mac14,6",low,2744359784.0,1.008002791,2.779590531,0.0,0.0,0.0,362780
2,0,"Mac14,6",low,2758309632.0,1.013025583,2.745914366,0.0,0.0,0.0,376074
3,0,"Mac14,6",low,2768442733.0,1.0165945,2.722089279,0.0,0.0,0.0,371100
4,0,"Mac14,6",low,2829106717.0,1.038683291,2.794435708,0.0,0.0,0.0,385206
5,0,"Mac14,6",low,2805253658.0,1.030849791,2.758849023,0.0,0.0,0.0,371822
6,0,"Mac14,6",low,2892774258.0,1.062030166,2.84555469,0.0,0.0,0.0,393956
7,0,"Mac14,6",low,2820351011.0,1.035441791,2.792324383,0.0,0.0,0.0,383644
8,0,"Mac14,6",low,2887666793.0,1.060193375,2.848595112,0.0,0.0,0.0,386802
9,0,"Mac14,6",low,2816267192.0,1.034097625,2.767703697,0.0,0.0,0.0,378996
10,0,"Mac14,6",low,2906462931.0,1.067078083,2.847329556,0.0,0.0,0.0,394252
11,0,"Mac14,6",low,2891538290.0,1.061993833,2.948918538,0.0,0.0,0.0,393678
12,0,"Mac14,6",low,2893063154.0,1.062319041,2.916354026,0.0,0.0,0.0,385838
13,0,"Mac14,6",low,2818874949.0,1.034902416,2.878766661,0.0,0.0,0.0,379520
14,0,"Mac14,6",low,2833052019.0,1.040161416,2.87568999,0.0,0.0,0.0,387006
15,0,"Mac14,6",low,2789408502.0,1.02502375,2.835470272,0.0,0.0,0.0,369398
16,0,"Mac14,6",low,2771678114.0,1.01796675,2.810780027,0.0,0.0,0.0,383050
17,0,"Mac14,6",low,2894973472.0,1.064548,2.940317288,0.0,0.0,0.0,391432
18,0,"Mac14,6",low,2725416876.0,1.001133541,2.766532093,45629.0,1.9208e-05,6.126e-06,365504
19,0,"Mac14,6",low,2764114593.0,1.014889166,2.749349642,0.0,0.0,0.0,368576
20,0,"Mac14,6",low,2819806496.0,1.035217083,2.806662972,0.0,0.0,0.0,383956
21,0,"Mac14,6",low,2892021013.0,1.062474041,2.855299481,0.0,0.0,0.0,394982
22,0,"Mac14,6",low,2806558377.0,1.031303458,2.760358,0.0,0.0,0.0,373362
23,0,"Mac14,6",low,2730792028.0,1.003437958,2.671418017,0.0,0.0,0.0,372200
24,0,"Mac14,6",low,2783360570.0,1.02287775,2.74245974,0.0,0.0,0.0,367094
25,0,"Mac14,6",low,2842074364.0,1.043755458,2.807158599,0.0,0.0,0.0,389324
26,0,"Mac14,6",low,2904569390.0,1.066458541,2.850212282,0.0,0.0,0.0,394786
27,0,"Mac14,6",low,2790437541.0,1.024931458,2.760863148,0.0,0.0,0.0,367256
28,0,"Mac14,6",low,2786576661.0,1.024139875,2.843012778,0.0,0.0,0.0,386760
29,0,"Mac14,6",low,2914707039.0,1.071336041,2.965458576,0.0,0.0,0.0,396278
30,0,"Mac14,6",low,2772540357.0,1.019716041,2.830492515,0.0,0.0,0.0,366982
31,0,"Mac14,6",low,2745239717.0,1.010216416,2.785286383,0.0,0.0,0.0,378626
32,0,"Mac14,6",low,2854993446.0,1.050175916,2.886214257,19411.0,8.541e-06,2.517e-06,377988
33,0,"Mac14,6",low,2899514565.0,1.065157875,2.908258031,0.0,0.0,0.0,388442
34,0,"Mac14,6",low,2835796905.0,1.045322916,2.870513723,0.0,0.0,0.0,386968
35,0,"Mac14,6",low,2889026971.0,1.063978166,2.929364838,0.0,0.0,0.0,390866
36,0,"Mac14,6",low,2847093955.0,1.047146875,2.79900057,0.0,0.0,0.0,374458
37,0,"Mac14,6",low,2877409304.0,1.059014875,2.850576835,658233.0,0.000295041,0.000105347,392206
38,0,"Mac14,6",low,2897020953.0,1.067608958,2.854125362,0.0,0.0,0.0,394156
39,0,"Mac14,6",low,2816386315.0,1.0352645,2.811985392,0.0,0.0,0.0,385594
40,0,"Mac14,6",low,2869270909.0,1.05568225,2.843798142,65822.0,2.7833e-05,6.704e-06,380604
41,0,"Mac14,6",low,2776373236.0,1.021947041,2.745689322,635764.0,0.000263333,0.000119328,381750
42,0,"Mac14,6",low,2720336412.0,1.000581583,2.665049526,14158.0,5.875e-06,1.66e-06,360710
43,0,"Mac14,6",low,2882713721.0,1.059624,2.888211731,0.0,0.0,0.0,393256
44,0,"Mac14,6",low,2880681742.0,1.058823708,2.953560423,23933.0,1.0458e-05,1.586e-06,393746
45,0,"Mac14,6",low,2736678513.0,1.006727083,2.751296679,0.0,0.0,0.0,362896
46,0,"Mac14,6",low,2796415041.0,1.027962208,2.836029775,0.0,0.0,0.0,380890
47,0,"Mac14,6",low,2785771445.0,1.02542625,2.797702615,0.0,0.0,0.0,368472
48,0,"Mac14,6",low,2862071620.0,1.053566125,2.896448083,13186.0,1.4541e-05,6.48e-07,388380
49,0,"Mac14,6",low,2727853547.0,1.003593333,2.77473612,205211.0,8.6291e-05,2.5888e-05,363228
