sample, thread_id, device, powermode, p_cycles, p_time, p_energy, e_cycles, e_time, e_energy, items
0,0,"Mac14,14",high,3700920901.0,1.019818708,6.453417605,8534389.0,0.00365525,0.001484778,517342
1,0,"Mac14,14",high,3878968875.0,1.057847208,6.752100606,0.0,0.0,0.0,522000
2,0,"Mac14,14",high,3932105446.0,1.065851916,6.94365582,0.0,0.0,0.0,539548
3,0,"Mac14,14",high,3847050802.0,1.046735291,6.797874271,0.0,0.0,0.0,517220
4,0,"Mac14,14",high,3896394249.0,1.066203833,6.861013323,0.0,0.0,0.0,538596
5,0,"Mac14,14",high,3798915738.0,1.030155625,6.744148944,0.0,0.0,0.0,512034
6,0,"Mac14,14",high,3856036563.0,1.06806675,6.830613685,0.0,0.0,0.0,533934
7,0,"Mac14,14",high,3805281806.0,1.042221708,6.752773579,0.0,0.0,0.0,512880
8,0,"Mac14,14",high,3786792954.0,1.043357125,6.696401187,0.0,0.0,0.0,519660
9,0,"Mac14,14",high,3868257908.0,1.061528333,6.807844326,0.0,0.0,0.0,525558
10,0,"Mac14,14",high,3926658204.0,1.06391725,7.002960153,0.0,0.0,0.0,536430
11,0,"Mac14,14",high,3854358577.0,1.045808666,6.817006079,0.0,0.0,0.0,517554
12,0,"Mac14,14",high,3800112993.0,1.036764208,6.772876048,0.0,0.0,0.0,526356
13,0,"Mac14,14",high,3727612210.0,1.009790416,6.601412805,0.0,0.0,0.0,507974
14,0,"Mac14,14",high,3819264833.0,1.035461,6.825361713,0.0,0.0,0.0,514976
15,0,"Mac14,14",high,3914924254.0,1.066734458,6.922988939,0.0,0.0,0.0,539450
16,0,"Mac14,14",high,3778385000.0,1.023596583,6.761584259,0.0,0.0,0.0,510860
17,0,"Mac14,14",high,3953206181.0,1.070641708,7.031481574,0.0,0.0,0.0,541464
18,0,"Mac14,14",high,3804204322.0,1.040105958,6.760694998,0.0,0.0,0.0,514196
19,0,"Mac14,14",high,3831590432.0,1.037787833,6.767059632,0.0,0.0,0.0,529750
20,0,"Mac14,14",high,3774582235.0,1.022549666,6.771533908,0.0,0.0,0.0,511398
21,0,"Mac14,14",high,3862497962.0,1.046094166,6.829767076,0.0,0.0,0.0,530980
22,0,"Mac14,14",high,3889108533.0,1.0542575,6.959598747,0.0,0.0,0.0,522260
23,0,"Mac14,14",high,3815517388.0,1.037552333,6.73291618,0.0,0.0,0.0,526774
24,0,"Mac14,14",high,3893567478.0,1.054733333,6.965844408,0.0,0.0,0.0,524660
25,0,"Mac14,14",high,3722066043.0,1.008224375,6.639009294,0.0,0.0,0.0,503522
26,0,"Mac14,14",high,3705025858.0,1.011829166,6.577625014,0.0,0.0,0.0,516028
27,0,"Mac14,14",high,3868021895.0,1.061015083,6.86827696,0.0,0.0,0.0,523258
28,0,"Mac14,14",high,3884012377.0,1.065686416,6.869375202,0.0,0.0,0.0,532892
29,0,"Mac14,14",high,3730819930.0,1.030811083,6.584839954,0.0,0.0,0.0,509996
30,0,"Mac14,14",high,3888163426.0,1.065328958,6.871954681,0.0,0.0,0.0,524770
31,0,"Mac14,14",high,3753227789.0,1.025871875,6.600148098,0.0,0.0,0.0,521216
32,0,"Mac14,14",high,3890356302.0,1.063702958,6.84423795,0.0,0.0,0.0,520588
33,0,"Mac14,14",high,3831798076.0,1.047802583,6.72750018,0.0,0.0,0.0,530420
34,0,"Mac14,14",high,3811495124.0,1.057670458,6.671512295,39166.0,1.6833e-05,4.601e-06,514208
35,0,"Mac14,14",high,3810032151.0,1.055147083,6.634750583,15238.0,1.7083e-05,6.55e-07,525444
36,0,"Mac14,14",high,3695592525.0,1.018312,6.468781339,0.0,0.0,0.0,501710
37,0,"Mac14,14",high,3876356134.0,1.060896125,6.837362493,0.0,0.0,0.0,524148
38,0,"Mac14,14",high,3827091803.0,1.048900833,6.725134161,0.0,0.0,0.0,528492
39,0,"Mac14,14",high,3891681229.0,1.062387,6.844929089,0.0,0.0,0.0,524990
40,0,"Mac14,14",high,3896767081.0,1.0649955,6.856705152,0.0,0.0,0.0,538934
41,0,"Mac14,14",high,3680806103.0,1.006938375,6.453219673,0.0,0.0,0.0,501044
42,0,"Mac14,14",high,3922952635.0,1.070172083,6.886456645,0.0,0.0,0.0,536208
43,0,"Mac14,14",high,3742301578.0,1.017809708,6.613743508,0.0,0.0,0.0,510920
44,0,"Mac14,14",high,3783005088.0,1.024472375,6.676542998,0.0,0.0,0.0,508932
45,0,"Mac14,14",high,3764341979.0,1.020131625,6.617418861,0.0,0.0,0.0,506816
46,0,"Mac14,14",high,3703380861.0,1.002817708,6.499426212,0.0,0.0,0.0,509590
47,0,"Mac14,14",high,3698274333.0,1.001648666,6.506057346,0.0,0.0,0.0,507800
48,0,"Mac14,14",high,3707493050.0,1.003989875,6.5050937,0.0,0.0,0.0,507250
49,0,"Mac14,14",high,3707303403.0,1.006131958,6.548022926,0.0,0.0,0.0,504374
